epoch,acquisition_month,sensor_key,scene_count,positive_core_scene_count,median_valid_fraction_core,maximum_valid_fraction_core,median_valid_fraction_context,median_cloud_cover_scene_pct
2025,1,LC08,11,9,0.1995697098742528,0.8956136726837076,0.216970263179735,46.85
2025,1,LC09,9,5,0.11226402414436412,0.888123340997233,0.047961176640998825,75.0
2025,1,LE07,4,1,0.0,0.2036311664801989,5.44973710009e-05,57.5
2025,2,LC08,10,7,0.2411079854507498,0.998854200824894,0.2353623981916319,42.345
2025,2,LC09,6,3,0.13292665966442962,0.6772911129436356,0.11285268472754796,40.519999999999996
2025,3,LC08,10,6,0.0348898633648286,0.6835895489744053,0.0538213183270177,52.730000000000004
2025,3,LC09,7,6,0.36815792522790547,0.879957818655098,0.3550810829109508,58.8
2025,4,LC08,6,4,0.24390875850995286,0.6972430741614988,0.24292428976788127,62.455
2025,4,LC09,9,6,0.1005779243941857,0.6600389909912651,0.070350464978786,63.14
2025,5,LC08,5,3,0.1962785991340438,0.7393345427932371,0.1851189847784153,60.89
2025,5,LC09,9,7,0.22806555268518666,0.840719223234683,0.24389248474646522,41.96
2025,6,LC08,3,2,0.2265190139921592,0.3860788542799668,0.1849455443622457,59.25
2025,6,LC09,4,4,0.49114367156634686,0.812897413430821,0.47219380123663224,55.275
2025,8,LC08,1,1,0.0104119851793241,0.0104119851793241,0.0065724249579145,69.29
2025,8,LC09,2,2,0.02520046415551278,0.05017441410992389,0.025327155542587364,70.1
2025,9,LC09,2,1,0.019950736223583017,0.039901472447166034,0.027479300500887593,71.13499999999999
2025,10,LC08,1,1,0.1114861407207017,0.1114861407207017,0.1248891037133188,75.21
2025,10,LC09,4,2,0.022082664142164064,0.09168671967706814,0.04150867236104282,73.41999999999999
2025,11,LC08,6,4,0.020078267363617248,0.3512004778691,0.027006627201717502,71.86
2025,11,LC09,4,4,0.6227761454372069,0.9939280562599422,0.6541665999388446,6.215
2025,12,LC08,7,7,0.2496175546665457,0.5696419891008178,0.274024677313304,43.55
2025,12,LC09,7,7,0.2961469863420814,0.7286036358444906,0.29711709961961447,43.97
