acquisition_date,acquisition_month,acquisition_year,candidate_for_composite,cloud_cover_land_pct,cloud_cover_scene_pct,collection_id,day_of_year,earth_engine_asset_id,epoch,has_positive_core_coverage,landsat7_orbit_drift_period,landsat_product_id,landsat_scene_id,relative_year,sensor_key,sensor_role,slc_off,system_index,valid_area_context_m2,valid_area_core_m2,valid_fraction_context,valid_fraction_core,wrs_path,wrs_row,selected_window_name,selected_sensor_mode
2024-11-04,11,2024,True,84.76,84.76,LANDSAT/LC08/C02/T1_L2,309,LANDSAT/LC08/C02/T1_L2/LC08_185057_20241104,2025,True,False,LC08_L2SP_185057_20241104_20241113_02_T1,LC81850572024309LGN00,-1,LC08,primary,False,LC08_185057_20241104,17573787.579118088,58441.13220214844,0.0221973232431165,0.000201709648709,185,57,Nov-Jan_3m,primary_only
2024-11-12,11,2024,True,3.93,3.93,LANDSAT/LC09/C02/T1_L2,317,LANDSAT/LC09/C02/T1_L2/LC09_185057_20241112,2025,True,False,LC09_L2SP_185057_20241112_20241116_02_T1,LC91850572024317LGN00,-1,LC09,primary,False,LC09_185057_20241112,673529094.333424,252634354.29258654,0.8507296991758005,0.8719678236201476,185,57,Nov-Jan_3m,primary_only
2024-11-12,11,2024,True,8.5,8.5,LANDSAT/LC09/C02/T1_L2,317,LANDSAT/LC09/C02/T1_L2/LC09_185058_20241112,2025,True,False,LC09_L2SP_185058_20241112_20241116_02_T1,LC91850582024317LGN00,-1,LC09,primary,False,LC09_185058_20241112,320085531.191116,108238249.28158824,0.40429770584779207,0.3735844672542663,185,58,Nov-Jan_3m,primary_only
2024-11-20,11,2024,True,13.75,13.75,LANDSAT/LC08/C02/T1_L2,325,LANDSAT/LC08/C02/T1_L2/LC08_185057_20241120,2025,True,False,LC08_L2SP_185057_20241120_20241203_02_T1,LC81850572024325LGN00,-1,LC08,primary,False,LC08_185057_20241120,339628518.7849677,101752958.71050283,0.4289823113037272,0.3512004778691,185,57,Nov-Jan_3m,primary_only
2024-11-20,11,2024,True,37.9,37.9,LANDSAT/LC08/C02/T1_L2,325,LANDSAT/LC08/C02/T1_L2/LC08_185058_20241120,2025,True,False,LC08_L2SP_185058_20241120_20241203_02_T1,LC81850582024325LGN00,-1,LC08,primary,False,LC08_185058_20241120,131283079.65087987,29328277.201330572,0.1658227028318637,0.1012265893662074,185,58,Nov-Jan_3m,primary_only
2024-11-28,11,2024,True,0.2,0.2,LANDSAT/LC09/C02/T1_L2,333,LANDSAT/LC09/C02/T1_L2/LC09_185057_20241128,2025,True,False,LC09_L2SP_185057_20241128_20241129_02_T1,LC91850572024333LGN00,-1,LC09,primary,False,LC09_185057_20241128,786697218.076303,287969768.95778453,0.9936715329852975,0.9939280562599422,185,57,Nov-Jan_3m,primary_only
2024-11-28,11,2024,True,18.23,18.23,LANDSAT/LC09/C02/T1_L2,333,LANDSAT/LC09/C02/T1_L2/LC09_185058_20241128,2025,True,False,LC09_L2SP_185058_20241128_20241129_02_T1,LC91850582024333LGN00,-1,LC09,primary,False,LC09_185058_20241128,362288129.4612674,107635292.77569152,0.4576035007018888,0.37150336203935375,185,58,Nov-Jan_3m,primary_only
2024-12-06,12,2024,True,42.65,42.65,LANDSAT/LC08/C02/T1_L2,341,LANDSAT/LC08/C02/T1_L2/LC08_185057_20241206,2025,True,False,LC08_L2SP_185057_20241206_20241210_02_T1,LC81850572024341LGN00,-1,LC08,primary,False,LC08_185057_20241206,388915661.7654075,165041796.49307933,0.4912365430418252,0.5696419891008178,185,57,Nov-Jan_3m,primary_only
2024-12-06,12,2024,True,57.92,57.92,LANDSAT/LC08/C02/T1_L2,341,LANDSAT/LC08/C02/T1_L2/LC08_185058_20241206,2025,True,False,LC08_L2SP_185058_20241206_20241210_02_T1,LC81850582024341LGN00,-1,LC08,primary,False,LC08_185058_20241206,216947395.7646551,80866392.42590548,0.274024677313304,0.2791104654197807,185,58,Nov-Jan_3m,primary_only
2024-12-14,12,2024,True,11.53,11.53,LANDSAT/LC09/C02/T1_L2,349,LANDSAT/LC09/C02/T1_L2/LC09_185057_20241214,2025,True,False,LC09_L2SP_185057_20241214_20241215_02_T1,LC91850572024349LGN00,-1,LC09,primary,False,LC09_185057_20241214,246085814.95849177,85802366.37587148,0.3108292026170907,0.2961469863420814,185,57,Nov-Jan_3m,primary_only
2024-12-14,12,2024,True,43.97,43.97,LANDSAT/LC09/C02/T1_L2,349,LANDSAT/LC09/C02/T1_L2/LC09_185058_20241214,2025,True,False,LC09_L2SP_185058_20241214_20241215_02_T1,LC91850582024349LGN00,-1,LC09,primary,False,LC09_185058_20241214,157140751.02134797,47588149.51458359,0.1984833394271631,0.1642505639367009,185,58,Nov-Jan_3m,primary_only
2024-12-22,12,2024,True,15.12,15.12,LANDSAT/LC08/C02/T1_L2,357,LANDSAT/LC08/C02/T1_L2/LC08_185057_20241222,2025,True,False,LC08_L2SP_185057_20241222_20241228_02_T1,LC81850572024357LGN00,-1,LC08,primary,False,LC08_185057_20241222,314040261.3406173,132486800.1298419,0.3966619694785397,0.4572783740798063,185,57,Nov-Jan_3m,primary_only
