epoch,index_name,threshold,valid_area_ha,candidate_built_area_ha,candidate_nonbuilt_area_ha,candidate_built_fraction,change_from_previous_epoch_ha,quality_flag
2005,ibi,-10299.64614868164,1759.5323407033402,1759.4424419240434,0.089898779296875,0.9999489075720763,,PASS
2005,ibui,-0.17199289871104967,1759.5323407033402,395.5364693527641,1363.9958713505764,0.22479636219397692,,PASS
2005,ndbi,-0.22670226164325458,1759.5323407033402,464.72139249444695,1294.8109482088935,0.2641164255660588,,PASS
2005,ndbsui,-0.11922073596359206,1759.5323407033402,619.3211614388739,1140.2111792644664,0.35198055023604274,,PASS
2005,vbswir1_bi,0.43758810491772593,1759.5323407033402,1252.1421899375766,507.3901507657638,0.7116335181637277,,PASS
2010,ibi,-2175.7214965820312,7832.69157057634,7832.242089613205,0.4494809631347656,0.999942614750104,6072.799647689162,PASS
2010,ibui,-0.046867263681580576,7832.69157057634,3259.9702543774893,4572.72131619885,0.4162005135787079,2864.4337850247252,PASS
2010,ndbi,-0.14843226221576813,7832.69157057634,3469.585859188568,4363.105711387772,0.44296214499523195,3004.864466694121,PASS
2010,ndbsui,-0.0644524275233183,7832.69157057634,3792.080058765055,4040.611511811285,0.48413499045590896,3172.7588973261813,PASS
2010,vbswir1_bi,0.5897822438894713,7832.69157057634,4071.674364017932,3761.0172065584065,0.5198308049449127,2819.5321740803556,PASS
2015,ibi,-158813.41015625,17245.411515109507,17245.32161236903,0.08990274047851562,0.9999947868602382,9413.079522755823,PASS
2015,ibui,-0.05469426766836907,17245.501409018198,8361.773359873956,8883.728049144242,0.484866932051122,5101.803105496467,PASS
2015,ndbi,-0.14057678437402407,17245.501409018198,8723.521980151487,8521.979428866709,0.5058433369521915,5253.936120962919,PASS
2015,ndbsui,-0.06638607182457155,17242.17496173426,10142.589320067906,7099.5856416663555,0.5882430344534526,6350.50926130285,PASS
2015,vbswir1_bi,0.9912593632683961,17245.501409018198,159.85549701377718,17085.645912004416,0.009269402682034161,-3911.818867004155,PASS
2020,ibi,-62098.37890625,9031.964483822525,9031.87458758229,0.089896240234375,0.9999900468784619,-8213.44702478674,PASS
2020,ibui,-2.5869623225178474e-06,9032.054378750503,4213.829438646384,4818.22494010412,0.46654163736659504,-4147.943921227572,PASS
2020,ndbi,-0.11323624558439056,9032.054378750503,4553.462874475744,4478.591504274758,0.5041447586042624,-4170.059105675743,PASS
2020,ndbsui,-0.05470199763121585,9030.581828847871,5074.526916475854,3956.0549123720175,0.5619269071086271,-5068.062403592052,PASS
2020,vbswir1_bi,-46.59364318847656,9032.054378750503,9031.78469804982,0.26968070068359373,0.9999701418205234,8871.929201036042,PASS
2025,ibi,4715.6485595703125,301.66539193634634,0.17980009155273438,301.4855918447936,0.0005960249215152713,-9031.694787490736,PASS
2025,ibui,0.20291774036983648,301.66539193634634,196.61263192749024,105.0527600088561,0.6517573350574367,-4017.2168067188936,PASS
2025,ndbi,0.00017613643107065554,301.66539193634634,216.48100855712892,85.18438337921742,0.7176196353435466,-4336.981865918615,PASS
2025,ndbsui,-0.016547685522320013,301.66539193634634,228.95725765459844,72.70813428174786,0.758977541921382,-4845.569658821255,PASS
2025,vbswir1_bi,0.7266269589381058,301.66539193634634,116.30568940077839,185.35970253556795,0.3855453509407528,-8915.479008649041,PASS
