experiment_id,fold,completed_iterations,final_iteration_zero_based,stop_reason,convergence_demonstrated,eligible_checkpoint_count,full_pass_count,final_patience,limiting_gates_final,optimization_elapsed_seconds,final_diagnostic_elbo_endpoint_relative_change,final_diagnostic_elbo_relative_range,final_spatial_x_relative_change,final_spatial_y_relative_change,final_kernel_variance_relative_change,final_temporal_ls_relative_change,final_beta_time_absolute_change,final_site_median_relative_change,final_site_max_relative_change,final_beta_time
EARLY-STOP-A01,1,4000,3999,MAX_ITERATIONS,False,51,0,0,ELBO|PARAMETER|CVI_SITE,2683.828388707945,0.000108033409114,0.0055324935790255,0.0058633038867936,0.0090252500355477,0.0169289685425499,0.0620794231076557,0.0119429976953622,0.0916461414559561,0.0985900336204389,-0.463627499433218
EARLY-STOP-A01,2,4000,3999,MAX_ITERATIONS,False,51,0,0,ELBO|PARAMETER|CVI_SITE,4040.726310750004,0.0076000533595191,0.0114145453439888,0.0222992606151099,0.0013057240867113,0.0215798782777374,0.0664839046149551,0.0189467277844862,0.1155169352317612,0.1206739507677208,-0.5470874179896501
EARLY-STOP-A01,3,4000,3999,MAX_ITERATIONS,False,51,0,0,ELBO|PARAMETER|CVI_SITE,4737.643108875025,0.0087100118960808,0.0156414490877683,0.0069898429134965,0.0293936692233942,0.0105137329860334,0.0685555809015941,0.0207093012626627,0.1283416976968239,0.1318850622208362,-0.4745634483844559
COMB-A02,1,4000,3999,MAX_ITERATIONS,False,51,0,0,ELBO|PARAMETER|CVI_SITE,3855.873324041022,0.0030246474784797,0.0123098555888099,0.0041613048188631,0.0167852636901623,0.0147725182802648,0.0775956639111702,0.0136371897809837,0.1162454082191757,0.1276871814975779,-0.3430162545185653
COMB-A02,2,4000,3999,MAX_ITERATIONS,False,51,0,0,ELBO|PARAMETER|CVI_SITE,5590.071369250072,0.0024501431598808,0.0188977936284556,0.0093339130104937,0.0104840682494957,0.0219993632846688,0.0804389784684176,0.0229792242469217,0.1512898963190411,0.160880880926767,-0.4624912618708107
COMB-A02,3,4000,3999,MAX_ITERATIONS,False,51,0,0,ELBO|PARAMETER|CVI_SITE,6762.978698249906,0.00789484926998,0.0078673971512305,0.00339556805678,0.0244010742165673,0.0093959434272798,0.0783246795777923,0.0261358492258038,0.167927859435693,0.1718562950252981,-0.4391742662808801
