metric,opt_a03_macro,comb_a02_macro,delta_comb_a02_minus_opt_a03
pr_auc,0.1483202772988668,0.1691869820033881,0.020866704704521316
roc_auc,0.7762301467615155,0.8043046237107134,0.028074476949197957
log_loss,0.24309153132026892,0.23593271933074642,-0.007158811989522507
brier_score,0.061913931767105024,0.06459912163594883,0.002685189868843807
ece,0.05664901413229584,0.065194801193285,0.008545787060989157
probability_bias,0.0160599097091047,0.04967707471418334,0.033617165005078636
calibration_slope,0.6392589006257676,0.9893640221233827,0.3501051214976151
