experiment_id,fold,iteration,completed_iterations,diagnostic_loss_fixed,diagnostic_elbo_endpoint_relative_change,diagnostic_elbo_relative_range,spatial_lengthscale_x_relative_change_window,spatial_lengthscale_y_relative_change_window,kernel_variance_relative_change_window,temporal_lengthscale_relative_change_window,temporal_trend_absolute_change_window,site_relative_change_since_checkpoint,early_stop_elbo_plateau_pass,early_stop_parameter_stability_pass,early_stop_site_stability_pass,early_stop_convergence_gate_pass,early_stop_consecutive_passes
EARLY-STOP-A01,1,1499,1500,0.169609676495319,0.0017832956747231,0.0090416076965245,0.0364196013283259,0.0540439716903309,0.0031053759379889,0.1441191060360367,0.0239542336754696,0.0769512328588932,False,False,False,False,0
EARLY-STOP-A01,1,1549,1550,0.1682303205179976,0.0121351117180088,0.0153761335353133,0.0400283444010587,0.0500327928851405,0.004691565013754,0.1396851327700082,0.021381111002455,0.0750356061392311,False,False,False,False,0
EARLY-STOP-A01,1,1599,1600,0.1692467860370665,0.0061163901116879,0.0154068705225829,0.0478432194390759,0.0396918700636029,0.0056187298820647,0.1373798183663644,0.0175005451780236,0.0757165020472789,False,False,False,False,0
EARLY-STOP-A01,1,1649,1650,0.1695014311481382,0.0022797036644949,0.0154244665802718,0.04701002295516,0.0359697376927977,0.0072585142439085,0.1324112061957197,0.0179246545786861,0.0838697767417864,False,False,False,False,0
EARLY-STOP-A01,1,1699,1700,0.169422218016407,0.008331536024119,0.0154329978440249,0.0403927240615018,0.0347601841220478,0.0046098093040644,0.1315249894328791,0.0123662529406173,0.0822633762987539,False,False,False,False,0
EARLY-STOP-A01,1,1749,1750,0.1692017368707906,0.0024051671635584,0.0081457467959101,0.0330667382071524,0.036912952201667,0.0007547090265014,0.1342040632837692,0.0145805978004974,0.0801339118729455,False,False,False,False,0
EARLY-STOP-A01,1,1799,1800,0.1697631677790454,0.0091115992427998,0.0090521851288507,0.0295936655150376,0.0346227007279383,0.0057053887420744,0.1386010803037705,0.0129674661451482,0.0803782999161654,False,False,False,False,0
EARLY-STOP-A01,1,1849,1850,0.1683272628054714,0.0054330321604672,0.0084796952563588,0.0289536300650136,0.0363791332622227,0.0042210412472136,0.135063802550325,0.0131075221211373,0.0789863893765669,False,False,False,False,0
EARLY-STOP-A01,1,1899,1900,0.16920343272858,0.0017580879260995,0.0084807808883643,0.0376199890695385,0.0224062027070182,0.0108196863202129,0.1370657075092899,0.0085125346483362,0.0798467959386441,False,False,False,False,0
EARLY-STOP-A01,1,1949,1950,0.1677661434691656,0.0097748368934763,0.0118025638452509,0.0342174229944105,0.0234657639616657,0.0123176206332891,0.1334614482256395,0.0235097976445999,0.0817703415791838,False,False,False,False,0
