experiment_id,horizon,fold,source_path,source_sha256,step_years,n_logged_points,iteration_first,iteration_last,elbo_first,elbo_last,elbo_smoothed_last,elbo_tail_mean,elbo_tail_std,elbo_tail_range,elbo_tail_slope_per_100_iterations,gradient_clip_norm,gradient_p50,gradient_p90,gradient_p95,fraction_gradient_above_clip,median_gradient_to_clip_ratio,site_precision_initial,site_precision_final,site_precision_min,site_precision_max,site_precision_tail_range,spatial_lengthscale_x_initial_km,spatial_lengthscale_x_final_km,spatial_lengthscale_x_change_abs_km,spatial_lengthscale_x_change_pct,spatial_lengthscale_y_initial_km,spatial_lengthscale_y_final_km,spatial_lengthscale_y_change_abs_km,spatial_lengthscale_y_change_pct,kernel_variance_initial,kernel_variance_final,kernel_variance_change_pct,temporal_lengthscale_initial_steps,temporal_lengthscale_final_steps,temporal_lengthscale_change_pct,temporal_lengthscale_initial_years,temporal_lengthscale_final_years,linear_intercept_initial,linear_intercept_final
annual_1000,annual_1y,1,reports/modeling/st_svgp_annual/metrics/st_svgp_training_history.csv,16ce2376854cb0be120384a999d595f309be836e998a8d09359576df2fb72465,1.0,21,0.0,999.0,-219798.20924726597,-183314.4116669078,-196282.6343495631,-196282.6343495631,18250.264403086072,51986.052726185095,-493.5635016196537,10.0,52314.23563518742,91878.1297224504,93951.11085026832,1.0,5231.4235635187415,0.0009900000756746,2.5825278974563934,0.0009900000756746,24.392802735601236,1.3514903730464847,2.002000983824504,3.704331640366932,1.7023306565424283,85.0314595395651,2.002000983702679,3.75661171335076,1.754610729648081,87.642850524626,0.999000510370724,0.5995791008590317,-39.982102648122684,7.492503820234345,3.091208176723397,-58.74265464669842,7.492503820234345,3.091208176723397,-0.0009999929112447,-0.2596522506639014
annual_1000,annual_1y,2,reports/modeling/st_svgp_annual/metrics/st_svgp_training_history.csv,16ce2376854cb0be120384a999d595f309be836e998a8d09359576df2fb72465,1.0,21,0.0,999.0,-310678.8540401003,-240743.76623561527,-242499.8989246224,-242499.8989246224,17546.85705180931,48832.99018440489,-11837.276926592354,10.0,73598.19800772963,144162.17320020508,149742.1854107005,1.0,7359.819800772963,0.0009900000472449,1.74478415227728,0.0009900000472449,10.319739841340006,0.767858965849445,2.00200098336538,3.649443883487671,1.6474429001222908,82.28981473090616,2.002000983704532,3.625981063568379,1.623980079863847,81.11784624894692,0.99900051139196,0.6202793330190488,-37.91000845887646,7.492503813605355,3.085723152233729,-58.81586143966345,7.492503813605355,3.085723152233729,-0.0009999929045357,-0.2898781312889841
annual_1000,annual_1y,3,reports/modeling/st_svgp_annual/metrics/st_svgp_training_history.csv,16ce2376854cb0be120384a999d595f309be836e998a8d09359576df2fb72465,1.0,21,0.0,999.0,-383743.1440622497,-226109.2457519458,-255571.20554558374,-255571.20554558374,23952.784865796166,61805.85103529706,29273.20263135591,10.0,74359.43638256776,155346.62218436316,156409.50615704322,1.0,7435.943638256776,0.000990000047235,3.922488635930061,0.000990000047235,8.843174297891702,0.8143940718452178,2.0020009836609014,3.654943940367897,1.6529429567069958,82.56454268490863,2.0020009837870845,3.614134470407074,1.6121334866199897,80.52610861211457,0.9990005131614966,0.6537302774652641,-34.56156740135896,7.492503809434663,3.0284456255439083,-59.58032584874433,7.492503809434663,3.0284456255439083,-0.0009999929084168,-0.3029830965647933
annual_1500,annual_1y,1,reports/modeling/st_svgp_annual/experiments/convergence_1500/metrics/st_svgp_training_history.csv,813dde139c2b6cdcafafd3640ed3870ead04189eb3f65f5331e09ca43d7895aa,1.0,31,0.0,1499.0,-219798.20924726603,-208518.0850671249,-198128.0179529525,-198128.0179529525,9046.653131010955,21055.054740230815,-1996.7748360889927,10.0,53974.37681530777,84934.64923744365,92914.62028635954,1.0,5397.437681530777,0.0009900000756738,2.306681130634719,0.0009900000756738,24.392802735601332,0.9441151401354799,2.002000983824504,4.120212829625614,2.11821184580111,105.80473550790191,2.002000983702679,4.184321697144557,2.182320713441878,109.00697508178538,0.999000510370724,0.5848829042032468,-41.453192652904676,7.492503820234345,2.2317189172284175,-70.21397691915203,7.492503820234345,2.2317189172284175,-0.0009999929112447,-0.3025682654829861
annual_1500,annual_1y,2,reports/modeling/st_svgp_annual/experiments/convergence_1500/metrics/st_svgp_training_history.csv,813dde139c2b6cdcafafd3640ed3870ead04189eb3f65f5331e09ca43d7895aa,1.0,31,0.0,1499.0,-310678.8540401009,-248405.09702039475,-241955.94255130133,-241955.94255130127,24967.56941202932,70056.3935862543,-9245.642550745835,10.0,73181.25531227032,134732.41906032574,146952.1793054528,1.0,7318.125531227032,0.0009900000472447,2.7679162860807174,0.0009900000472447,10.319739841339931,0.8521074322010973,2.00200098336538,4.149352838445437,2.147351855080057,107.26027973624372,2.002000983704532,3.8985282574988296,1.8965272737942978,94.73158551025963,0.99900051139196,0.6187428554599745,-38.06380993760979,7.492503813605355,2.1978923798198178,-70.66544863375648,7.492503813605355,2.1978923798198178,-0.0009999929045357,-0.3551782513402989
annual_1500,annual_1y,3,reports/modeling/st_svgp_annual/experiments/convergence_1500/metrics/st_svgp_training_history.csv,813dde139c2b6cdcafafd3640ed3870ead04189eb3f65f5331e09ca43d7895aa,1.0,31,0.0,1499.0,-383743.14406224806,-271441.1664108506,-244047.38430080895,-244047.38430080895,24441.558636442605,69754.14148861397,-30405.632329333264,10.0,74359.43638256776,148550.54826135797,155878.06417070306,1.0,7435.943638256776,0.0009900000472417,2.5915716072730226,0.0009900000472417,8.843174297891757,1.5708351648386802,2.0020009836609014,4.0816835309572275,2.079682547296326,103.88019607729535,2.0020009837870845,3.948140499443869,1.9461395156567844,97.20971824775881,0.9990005131614966,0.6704846908122926,-32.884449809696626,7.492503809434663,2.1672547729051095,-71.07435874538932,7.492503809434663,2.1672547729051095,-0.0009999929084168,-0.3671157758311759
annual_3000,annual_1y,1,reports/modeling/st_svgp_annual/experiments/convergence_3000/metrics/st_svgp_training_history.csv,d0639a79ca454e514c37ed84379c53dd7a9a81d27792a6e43c3e4fea08787696,1.0,61,0.0,2999.0,-219798.2092472661,-199305.50565467097,-201677.35671385887,-201677.35671385887,7133.990277535088,21030.433751143864,4385.1806874005115,10.0,51813.94750850328,71098.2790876306,91165.11941508012,1.0,5181.394750850328,0.000990000075674,1.5405616374682911,0.000990000075674,24.39280273560135,0.2995972809812204,2.002000983824504,4.62153658461361,2.619535600789106,130.84586980496385,2.002000983702679,4.977376335219596,2.9753753515169166,148.6200744024607,0.999000510370724,0.6159628515284552,-38.342088403951415,7.492503820234345,1.0561101881689274,-85.90444244663868,7.492503820234345,1.0561101881689274,-0.0009999929112447,-0.3971726692824542
annual_3000,annual_1y,2,reports/modeling/st_svgp_annual/experiments/convergence_3000/metrics/st_svgp_training_history.csv,d0639a79ca454e514c37ed84379c53dd7a9a81d27792a6e43c3e4fea08787696,1.0,61,0.0,2999.0,-310678.85404010117,-218098.546865466,-230229.34746784292,-230229.34746784292,8231.022089172615,23947.646187958977,3474.190828481306,10.0,66620.98148088975,114028.5547584272,137375.00386929905,1.0,6662.098148088975,0.0009900000472442,1.951982732772917,0.0009900000472442,10.319739841339963,0.5483439592511339,2.00200098336538,4.745412482651866,2.743411499286486,137.03347411322392,2.002000983704532,4.559606883492306,2.5576058997877738,127.75247967436772,0.99900051139196,0.6967874556045841,-30.251541649992404,7.492503813605355,1.0345621699363463,-86.19203679205711,7.492503813605355,1.0345621699363463,-0.0009999929045357,-0.5152923566004153
annual_3000,annual_1y,3,reports/modeling/st_svgp_annual/experiments/convergence_3000/metrics/st_svgp_training_history.csv,d0639a79ca454e514c37ed84379c53dd7a9a81d27792a6e43c3e4fea08787696,1.0,61,0.0,2999.0,-383743.14406224707,-290474.1213894205,-258166.98748237756,-258166.9874823775,18450.111780759853,56262.62927343469,-16855.00601363283,10.0,78803.24144975733,142929.84346473005,155346.62218436314,1.0,7880.324144975733,0.0009900000472405,2.0223968786350417,0.0009900000472405,8.843174297891647,0.7697154937895945,2.0020009836609014,4.703963098882976,2.701962115222075,134.96307630584724,2.0020009837870845,4.616363322890617,2.6143623391035327,130.587465254791,0.9990005131614966,0.7863007351233805,-21.291258136093816,7.492503809434663,1.0254025028260183,-86.31428786816475,7.492503809434663,1.0254025028260183,-0.0009999929084168,-0.574527980489324
five_year_canonical,five_year_5y,1,reports/modeling/st_svgp/metrics/st_svgp_training_history.csv,f4103e278f53438261a0dfb1de8bdd74b29b749f4280e32728e6cdaafd388055,5.0,21,0.0,999.0,-74404.28715316622,-51594.04343061192,-50998.62431962393,-50998.62431962393,2240.4183450969886,6453.330411752548,-2262.523374566494,10.0,10615.118293039504,21418.64542566827,34668.69119853465,1.0,1061.5118293039504,3.790406272465795,23.60817661121651,3.790406272465795,68.53097395157826,7.21230805353084,2.002000980721976,4.7378616824602044,2.7358607017382286,136.65631176422318,2.0020009799261507,3.568017561044325,1.5660165811181743,78.22256816157707,0.9990005105930296,0.4798070724021864,-51.97128857147811,1.5,1.5,0.0,7.5,7.5,-0.0009999916041627,-0.3482441348893026
five_year_canonical,five_year_5y,2,reports/modeling/st_svgp/metrics/st_svgp_training_history.csv,f4103e278f53438261a0dfb1de8bdd74b29b749f4280e32728e6cdaafd388055,5.0,21,0.0,999.0,-143391.3497683168,-103688.94757187334,-104946.30389986993,-104946.30389986995,6960.489428061595,19284.057700468198,6762.7880375520235,10.0,24581.348509958032,47750.25469821512,52250.39620965819,1.0,2458.1348509958034,1.5754212412803732,18.37200435343294,1.5754212412803732,58.9414680633853,15.216326430633718,2.002000981502805,4.3598192751750675,2.3578182936722625,117.77308380250457,2.0020009810372215,3.9273220523321113,1.9253210712948898,96.16983655509478,0.9990005103378355,0.4892147165985057,-51.02958291452061,1.498500814587591,0.7663929372431434,-48.85602131260331,7.4925040729379555,3.831964686215717,-0.0009999917066269,-0.3024344895547398
five_year_canonical,five_year_5y,3,reports/modeling/st_svgp/metrics/st_svgp_training_history.csv,f4103e278f53438261a0dfb1de8bdd74b29b749f4280e32728e6cdaafd388055,5.0,21,0.0,999.0,-164107.35215172562,-134541.02592884706,-141498.21118456445,-141498.21118456445,4901.346894079696,13166.54108444482,2026.6345560557402,10.0,35363.435860029735,54952.64763714941,73487.93071011313,1.0,3536.3435860029736,0.1300298658116288,14.1820389937451,0.1300298658116288,51.252237857326705,12.728894983085778,2.002000982159618,4.123683393277425,2.1216824111178068,105.97809042176817,2.0020009821940574,3.9145825989912177,1.9125816167971603,95.5335004232166,0.9990005106696488,0.4990640697526461,-50.04366219811899,1.498500769874591,0.7846782998935097,-47.63577599234873,7.492503849372954,3.9233914994675483,-0.0009999923375048,-0.2999412495917539
