epoch,native_crs,native_nominal_scale_m,native_population_total_core,reconstructed_population_total_30m_core,relative_difference_pct,maximum_native_population_count,maximum_corrected_density_per_km2,maximum_implied_people_per_30m_cell
2000,,100.0,1596255.069121863,1595883.192105293,-0.023296841699273763,643.24951171875,64754.5625,58.27910625
2005,,100.0,1980363.817584523,1980106.8448894995,-0.012976034642813916,764.8169555664062,76992.5,69.29325
2010,,100.0,2459882.689605479,2459521.1054694904,-0.014699243078405451,891.5935668945312,89754.8359375,80.77935234374999
2015,,100.0,3084345.6702105906,3083792.2805521768,-0.01794188192843001,1076.5140380859375,108370.359375,97.5333234375
2020,,100.0,3864311.367318584,3863853.6641979017,-0.011844364420354286,1352.216064453125,136124.703125,122.5122328125
2025,,100.0,4694650.398145079,4694093.65449384,-0.011859107793377911,1649.169921875,166018.40625,149.416565625
