year,old_v2_ndbi_threshold,annual_ndbi_threshold,old_v2_raw_built_fraction,annual_raw_built_fraction,built_fraction_delta_percentage_points,old_v2_window,annual_window
2000,-0.1484851399199717,-0.1406589466877592,0.3408385071213784,0.3533482923798487,1.2509785258470296,Mar-May_3m,Jan-Dec
2005,-0.1093581098222681,-0.1093463920561624,0.3965239673541715,0.3884539841735085,-0.8069983180662987,Oct-Dec_3m,Jan-Dec
2010,-0.078143945619763,-0.0703223640319317,0.5136125352552009,0.5019965580872212,-1.1615977167979685,Feb-Jan_12m,Jan-Dec
2015,-0.1327915884504363,-0.1172139423201719,0.5124275736134084,0.5385235402239141,2.6095966610505728,Mar-May_3m,Jan-Dec
2020,-0.0390659755322917,-0.042964617584949,0.6994231526780584,0.6928795558815019,-0.6543596796556583,Dec-Feb_3m,Jan-Dec
2025,-0.0820124902691509,-0.0742126680631688,0.6236406622612197,0.649077476583285,2.5436814322065238,Nov-Jan_3m,Jan-Dec
