period_start,period_end,sum_annual_new_built_area_ha,old_v2_new_built_area_ha,difference_ha,largest_single_year_transition,largest_single_year_new_built_area_ha,largest_single_year_share_of_annual_block
2010,2015,878.6567474946144,1297.26,-418.6032525053856,2014-2015,334.51884070008515,0.3807161802989916
2015,2020,2813.962733866422,4002.39,-1188.427266133578,2015-2016,1033.8503589604875,0.36740016010800663
2020,2025,852.1942934805118,478.26,373.93429348051177,2024-2025,259.2631370310585,0.30423007876781494
