fold,validation_origin,validation_target_year,temporal_lengthscale_steps,temporal_lengthscale_years,spatial_lengthscale_x_km,spatial_lengthscale_y_km,kernel_variance,mean_latent_variance,median_latent_variance,natural_gradient_gamma,minimum_natural_gradient_gamma,minimum_site_precision_eigenvalue
1,2010,2011,1.619329461977344,1.619329461977344,3.6868727380548503,3.5062785177895996,1.3909017016619647,0.6607726598267599,0.6547141071293341,0.01,0.01,0.57156985247323
2,2015,2016,1.5362225270973986,1.5362225270973986,3.773329688934868,3.2774888793807806,1.648010543643363,0.8337783138642308,0.8286593263752356,0.01,0.01,0.05984270129728259
3,2018,2019,1.5192647228712324,1.5192647228712324,3.7948459569759243,3.3992033402885484,1.8746146094973217,0.978956732711854,0.9634782158029739,0.01,0.01,0.12490468083818315
