fold,latent_variance_available,spearman_log_loss,spearman_absolute_error
1,True,-0.3557513629823089,-0.3557513629823089
2,True,-0.34445401843975576,-0.34445401843975576
3,True,-0.4836518326692293,-0.4836518326692293
overall,True,-0.29796554031846145,-0.29796554031846145
