fold,earlier_window_first_iteration,earlier_window_last_iteration,earlier_window_logged_points,final_window_first_iteration,final_window_last_iteration,final_window_logged_points,temporal_lengthscale_years_earlier_window_mean,temporal_lengthscale_years_final_window_mean,temporal_lengthscale_years_relative_window_mean_difference,spatial_lengthscale_x_km_earlier_window_mean,spatial_lengthscale_x_km_final_window_mean,spatial_lengthscale_x_km_relative_window_mean_difference,spatial_lengthscale_y_km_earlier_window_mean,spatial_lengthscale_y_km_final_window_mean,spatial_lengthscale_y_km_relative_window_mean_difference,kernel_variance_earlier_window_mean,kernel_variance_final_window_mean,kernel_variance_relative_window_mean_difference,earlier_late_window_mean_elbo,final_window_mean_elbo,final_window_elbo_standard_deviation,final_window_elbo_minimum,final_window_elbo_maximum,elbo_all_finite
1,1000,1200,5,1300,1499,5,2.8829792147818276,2.370715250071618,0.17768562537103672,3.816690675932601,4.044494382784544,0.059686185283086786,3.8392049616539508,4.115976732509479,0.07209090778427552,0.5936480192005967,0.5859245241368861,0.013010226285452842,-212210.46751294046,-198128.0179529525,10114.465684900902,-209619.79566042553,-188564.74092019472,True
2,1000,1200,5,1300,1499,5,2.875686929233365,2.3498625647825224,0.18285174199787563,3.771712226315276,4.0827513836969445,0.08246630143507376,3.7006181042012436,3.8476403908567938,0.039729116195113046,0.6154207960647896,0.6157769346595576,0.0005786911931564388,-243613.64206567415,-241955.94255130127,27914.591219121005,-280618.5972323583,-210562.203646104,True
3,1000,1200,5,1300,1499,5,2.8332463584670244,2.3170873479260514,0.18217936078818417,3.747491499684364,4.021422319633034,0.07309711575643131,3.7041443824177973,3.8856714685380567,0.049006482301797216,0.6519377739752121,0.6625181508289429,0.016229120747547135,-261865.34143266425,-244047.38430080895,27326.493293566367,-271441.1664108506,-201687.02492223663,True
