fold,baseline_temporal_lengthscale_years,extended_temporal_lengthscale_years,relative_temporal_lengthscale_change,baseline_spatial_lengthscale_x_km,extended_spatial_lengthscale_x_km,relative_spatial_x_change,baseline_spatial_lengthscale_y_km,extended_spatial_lengthscale_y_km,relative_spatial_y_change,baseline_kernel_variance,extended_kernel_variance,baseline_mean_latent_variance,extended_mean_latent_variance,baseline_median_latent_variance,extended_median_latent_variance,baseline_log_loss,extended_log_loss,baseline_brier_score,extended_brier_score,baseline_pr_auc,extended_pr_auc,baseline_roc_auc,extended_roc_auc,baseline_ece,extended_ece,baseline_calibration_slope,extended_calibration_slope,baseline_probability_bias,extended_probability_bias
1,3.091208176723397,2.2317189172284175,-0.27804315023714016,3.704331640366932,4.120212829625614,0.11226888670731618,3.75661171335076,4.184321697144557,0.1138552547961618,0.5995791008590317,0.5848829042032468,0.1233653424241295,0.1846280199677107,0.1177650136200591,0.1809981397080075,0.1318080075786198,0.159568562315512,0.0325863835461169,0.0397696388214087,0.1135971974465126,0.1313428001633457,0.8763659279094184,0.8899135864024732,0.0804315648392436,0.1073573532746614,1.0713816132900675,1.329110520855212,0.0804315648392436,0.1073573532746614
2,3.085723152233729,2.1978923798198178,-0.28772210876118876,3.649443883487671,4.149352838445437,0.13698222822925485,3.625981063568379,3.8985282574988296,0.07516509026173268,0.6202793330190488,0.6187428554599745,0.1283315559101064,0.2020916675244473,0.1227711696367768,0.1978935847586039,0.4266734901999577,0.3807785485662138,0.1081069684173651,0.1067874993033636,0.2314337172089313,0.235851772257908,0.6832828425297992,0.7136965835894253,0.0629014944718166,0.0545573967433677,0.2943310005976062,0.408611689624224,-0.0293890405607899,-0.0100135420943762
3,3.0284456255439083,2.1672547729051095,-0.284367282468256,3.654943940367897,4.0816835309572275,0.11675680873681904,3.614134470407074,3.948140499443869,0.09241660258401353,0.6537302774652641,0.6704846908122926,0.1528375429450116,0.2287884498493353,0.142540304814776,0.2208722540463092,0.18986938366881,0.1662601831735095,0.0449510801109083,0.0438254234245217,0.1114303611508574,0.1391895520173807,0.7572697580944302,0.7944062459877559,0.0314663156498504,0.0215118886336791,0.4011940756294326,0.7223345364225324,-0.0059546804778327,0.0204374152273768
