fold,validation_origin,validation_target_year,temporal_lengthscale_steps,temporal_lengthscale_years,spatial_lengthscale_x_km,spatial_lengthscale_y_km,kernel_variance,mean_latent_variance,median_latent_variance,natural_gradient_gamma,minimum_natural_gradient_gamma,minimum_site_precision_eigenvalue
1,2010,2011,2.469634234064943,2.469634234064943,3.9283496126079367,3.971307724910796,0.5891229375866901,0.16245936571330377,0.158331968809947,0.01,0.01,2.2310937444256274
2,2015,2016,2.3673033292608436,2.3673033292608436,3.990960293984923,3.8059414058699024,0.6136868371528077,0.18185659855331188,0.1772942036602032,0.01,0.01,2.6725237112864875
3,2018,2019,2.2733533345052725,2.2733533345052725,3.995322077939189,3.849745177168749,0.6569614301608085,0.21156880578183926,0.20333787689821675,0.01,0.01,2.744934253913997
