run,iteration,minibatch_elbo,spatial_lengthscale_x_km,spatial_lengthscale_y_km,temporal_lengthscale_steps,kernel_variance
fold_1,1,-195105.703125,2.0,2.0,1.0,0.9993680119514465
fold_1,100,-150049.484375,2.110755681991577,2.1103341579437256,1.0,0.9429983496665955
fold_1,200,-125458.953125,2.2250895500183105,2.2338695526123047,1.0,0.9032841920852661
fold_1,300,-105640.9140625,2.3280365467071533,2.336081027984619,1.0,0.8684142827987671
fold_1,400,-97486.65625,2.419687509536743,2.4363529682159424,1.0,0.8513311743736267
fold_1,500,-73695.2109375,2.510723114013672,2.525137424468994,1.0,0.8300775289535522
fold_1,600,-85182.4609375,2.5840604305267334,2.606541872024536,1.0,0.8230735063552856
fold_1,700,-61558.3984375,2.6605870723724365,2.680759906768799,1.0,0.8082143068313599
fold_1,800,-75304.4453125,2.7219057083129883,2.7487435340881348,1.0,0.805694580078125
fold_1,900,-42772.6640625,2.7859103679656982,2.81064772605896,1.0,0.7933232188224792
fold_1,1000,-70443.5390625,2.8395464420318604,2.8691353797912598,1.0,0.7926173806190491
fold_2,1,-361966.5625,2.0,2.0,1.0,0.9993680119514465
fold_2,100,-262085.859375,2.1145682334899902,2.109715461730957,1.0501960515975952,0.9431328177452087
fold_2,200,-210014.84375,2.2267115116119385,2.22737979888916,1.168187141418457,0.9046847820281982
fold_2,300,-154311.15625,2.3446686267852783,2.342454195022583,1.3116878271102905,0.8771336674690247
fold_2,400,-181424.796875,2.4252259731292725,2.4310646057128906,1.3678501844406128,0.8569295406341553
fold_2,500,-108947.1015625,2.5029923915863037,2.5051040649414062,1.367912769317627,0.8290503621101379
fold_2,600,-198293.90625,2.5732662677764893,2.5737500190734863,1.4070322513580322,0.817691445350647
fold_2,700,-95152.734375,2.6395459175109863,2.637399911880493,1.4644347429275513,0.8122557997703552
fold_2,800,-162108.4375,2.702108383178711,2.703092575073242,1.4719953536987305,0.791860818862915
fold_2,900,-126943.734375,2.7553656101226807,2.749328136444092,1.4789984226226807,0.780644416809082
fold_2,1000,-111710.1640625,2.8087823390960693,2.7962234020233154,1.5108634233474731,0.7673763632774353
fold_3,1,-500338.21875,2.0,2.0,1.0,0.9993680119514465
fold_3,100,-352054.4375,2.1119089126586914,2.1137592792510986,1.0525410175323486,0.942970335483551
fold_3,200,-274109.28125,2.2304604053497314,2.23089337348938,1.1718101501464844,0.9052724242210388
fold_3,300,-203180.921875,2.3401198387145996,2.345597267150879,1.3193784952163696,0.8765780925750732
fold_3,400,-238166.890625,2.4537899494171143,2.4635212421417236,1.471912145614624,0.8654194474220276
fold_3,500,-256627.09375,2.5532593727111816,2.55987811088562,1.5734903812408447,0.8689472079277039
fold_3,600,-189951.75,2.606975793838501,2.6109683513641357,1.575443148612976,0.8264519572257996
fold_3,700,-196676.125,2.6521518230438232,2.6576950550079346,1.580312728881836,0.8078934550285339
fold_3,800,-135674.65625,2.692898750305176,2.704521894454956,1.595544457435608,0.7883634567260742
fold_3,900,-149375.6875,2.7636559009552,2.7819719314575195,1.6475944519042969,0.7974668741226196
fold_3,1000,-179977.671875,2.8195080757141113,2.8355469703674316,1.6887263059616089,0.8030798435211182
