method,fold,calibration_rows,evaluation_rows,observed_prevalence,mean_predicted_probability,log_loss,brier_score,pr_auc,roc_auc,ece,calibration_intercept,calibration_slope,probability_bias,absolute_probability_bias,calibration_folds,coefficient_a,coefficient_b,coefficient_c,monotonic_direction,mapping_monotonic_increasing,pr_auc_difference_from_raw,roc_auc_difference_from_raw,pr_auc_ranking_preserved,roc_auc_ranking_preserved
raw,2,100628,93706,0.1227562802808785,0.17170415167048364,0.33447290147548614,0.10107090276484053,0.2941365782467475,0.7674902312372656,0.05043849985319203,-0.6325432190962084,0.8517326717069581,0.048947871389605144,0.048947871389605144,1,,,,identity,True,0.0,0.0,True,True
platt,2,100628,93706,0.1227562802808785,0.009944834662479654,0.5958980862265334,0.11714032775935121,0.2941365782467475,0.7674902312372656,0.11281144561839884,0.746175462750122,0.4683593626316378,-0.11281144561839884,0.11281144561839884,1,-2.9429653799539426,1.8188764476998895,,increasing,True,0.0,0.0,True,True
beta,2,100628,93706,0.1227562802808785,0.009892126379353754,0.5932385997127112,0.11719190993088187,0.2941365782467475,0.7674902312372656,0.11286415390152472,0.8087737738887272,0.4834516896076475,-0.11286415390152474,0.11286415390152474,1,1.693910513730154,-1.9866962945974702,-3.16605031846387,increasing,True,0.0,0.0,True,True
raw,3,194334,80192,0.044904728651237034,0.14103474884059955,0.20732612815242352,0.05358371436494546,0.17512859847830903,0.8352120327279581,0.09613002018936252,-1.1303145336306126,1.2339356370313315,0.09613002018936251,0.09613002018936251,"1,2",,,,identity,True,0.0,0.0,True,True
platt,3,194334,80192,0.044904728651237034,0.04924432860845136,0.1547830927704334,0.03978705724720875,0.17512859847830903,0.8352120327279581,0.017061314100087058,1.5679364728171346,1.664033243138039,0.004339599957214328,0.004339599957214328,"1,2",-1.6196372311472051,0.7420545030539251,,increasing,True,0.0,0.0,True,True
beta,3,194334,80192,0.044904728651237034,0.049287885875631786,0.15480116266823923,0.03978754515220183,0.17512859847830903,0.8352120327279581,0.017086948438830817,1.5688609535144227,1.6648766417268293,0.004383157224394751,0.004383157224394751,"1,2",0.7404989918146891,-0.7449092430834464,-1.622195020789219,increasing,True,0.0,0.0,True,True
