group_type,fold,rows,positive_prevalence,mean_predicted_probability,mean_signed_error,mean_absolute_error,mean_per_cell_log_loss,median_per_cell_log_loss,mean_latent_variance,median_latent_variance,y_true,distance_context
fold,1.0,168945,0.1999112137086034,0.23441198626532078,0.03450077255671739,0.22964783717797949,0.34566334330069926,0.1403519933460658,,,,
fold,2.0,140194,0.10281467109862048,0.43511767353207575,0.3323030024334553,0.3881261923697771,0.613321582443331,0.405070978865231,,,,
fold,3.0,127706,0.34822952719527667,0.24295835823201406,-0.10527116896326258,0.33406465625136417,0.5578526345034001,0.30957081833938394,,,,
true_class,,344186,0.0,0.25399745848972216,0.25399745848972216,0.25399745848972216,0.37319802833314764,0.18401759332075135,,,0.0,
true_class,,92659,1.0,0.47710951975938154,-0.5228904802406185,0.5228904802406185,0.9408011248234434,0.7150994309328362,,,1.0,
distance_context,,166260,0.37676530734993385,0.4996467176158598,0.12288141026592599,0.44533259064128533,0.7127974271743277,0.5686578536247715,,,,near_built
distance_context,,130329,0.15030423006391516,0.246662398827417,0.09635816876350183,0.29754321872824213,0.4562660978659171,0.2585643460923539,,,,intermediate
distance_context,,140256,0.07435689025781428,0.11701697746646672,0.04266008720865244,0.1643663842024998,0.26842932561970506,0.08140219123069777,,,,peripheral
fold_x_distance_context,1.0,62794,0.40042042233334396,0.4441884677316402,0.043768045398296304,0.37691332939869854,0.5566387851266349,0.4419384726716941,,,,near_built
fold_x_distance_context,1.0,49911,0.12969084971248823,0.16625342436702728,0.036562574654539076,0.2077512970672197,0.31385333988131,0.11911365311197274,,,,intermediate
fold_x_distance_context,1.0,56240,0.03835348506401138,0.0606772352999876,0.02232375023597622,0.08465297400159792,0.1383318565767899,0.030633571938123952,,,,peripheral
fold_x_distance_context,2.0,51789,0.21157002452258203,0.6715721559930193,0.4600021314704372,0.5469259813724884,0.9781880782226745,0.9384383327728064,,,,near_built
fold_x_distance_context,2.0,46046,0.05868044998479781,0.3781880271163512,0.31950757713155337,0.37019315408569525,0.5211751902432367,0.4264378599356416,,,,intermediate
fold_x_distance_context,2.0,42359,0.01782383908968578,0.20790837460359907,0.1900845355139133,0.21346820724660165,0.2673951400185601,0.1835987393468812,,,,peripheral
fold_x_distance_context,3.0,51677,0.5135747044139559,0.3947373539746843,-0.11883735043927159,0.42665695114767554,0.6365838184431706,0.5434807796182185,,,,near_built
fold_x_distance_context,3.0,34372,0.30297916909112066,0.18722632423473246,-0.11575284485638822,0.3306040146829146,0.5761066394743097,0.22338876848214506,,,,intermediate
fold_x_distance_context,3.0,41657,0.1804498643685335,0.10065666366832951,-0.079793200700204,0.2220560418200337,0.445122047775704,0.07762902907422299,,,,peripheral
fold_x_true_class,1.0,135171,0.0,0.16507456063663198,0.16507456063663198,0.16507456063663198,0.22128624304365416,0.07627032151427314,,,0.0,
fold_x_true_class,1.0,33774,1.0,0.5119156624557483,-0.4880843375442518,0.4880843375442518,0.8434479414781446,0.5971932968522542,,,1.0,
fold_x_true_class,2.0,125780,0.0,0.4014940790914468,0.4014940790914468,0.4014940790914468,0.6407128548135476,0.4416143985324476,,,0.0,
fold_x_true_class,2.0,14414,1.0,0.7285251737917063,-0.27147482620829366,0.27147482620829366,0.3742988102270253,0.22722047955948865,,,1.0,
fold_x_true_class,3.0,83235,0.0,0.17551691648714063,0.17551691648714063,0.17551691648714063,0.21564475212315687,0.12246421450966313,,,0.0,
fold_x_true_class,3.0,44471,1.0,0.36918642604327395,-0.630813573956726,0.630813573956726,1.1983525803089707,1.009753756786242,,,1.0,
