fold,y_true,low_error_upper,high_error_lower
1,0,0.023747657525398928,0.27970934625709304
1,1,0.35558084407046564,1.0740185872467127
2,0,0.1928056738977435,0.951689489763377
2,1,0.1474172143094658,0.4234771746702071
3,0,0.055998536720067854,0.29803536421554777
3,1,0.6276193143769971,1.5977212149502693
