fold,tren_elbo_tail_range,ind_elbo_tail_range,tren_elbo_tail_slope_per_100_iterations,ind_elbo_tail_slope_per_100_iterations,tren_gradient_p50,ind_gradient_p50,tren_gradient_p90,ind_gradient_p90,tren_gradient_p95,ind_gradient_p95,tren_fraction_gradient_above_clip,ind_fraction_gradient_above_clip,tren_median_gradient_to_clip_ratio,ind_median_gradient_to_clip_ratio,tren_site_precision_min,ind_site_precision_min,tren_site_precision_max,ind_site_precision_max,tren_site_precision_tail_range,ind_site_precision_tail_range,tren_spatial_lengthscale_x_initial_km,ind_spatial_lengthscale_x_initial_km,tren_spatial_lengthscale_x_final_km,ind_spatial_lengthscale_x_final_km,tren_spatial_lengthscale_y_initial_km,ind_spatial_lengthscale_y_initial_km,tren_spatial_lengthscale_y_final_km,ind_spatial_lengthscale_y_final_km,tren_kernel_variance_initial,ind_kernel_variance_initial,tren_kernel_variance_final,ind_kernel_variance_final,tren_temporal_lengthscale_initial_years,ind_temporal_lengthscale_initial_years,tren_temporal_lengthscale_final_years,ind_temporal_lengthscale_final_years,tren_linear_intercept_initial,ind_linear_intercept_initial,tren_linear_intercept_final,ind_linear_intercept_final,tren_beta_time_initial,tren_beta_time_final,ind_beta_time_initial,ind_beta_time_final
1,21069.521754003857,20069.759439385176,-1983.4539111068475,-1740.16272441403,54361.40723527041,54743.29804277213,85913.40140075354,86092.81358139431,93969.79717873488,94184.52405869098,1.0,1.0,5436.140723527041,5474.329804277213,0.000990000075674,0.000990000075675,23.946009396766307,24.16599004487362,0.93220392846112,1.069471260365201,2.002000983642102,2.0020009836401385,4.116194479595778,4.135327018745038,2.0020009835132098,2.00200098351117,4.177571011722713,4.013838189677533,0.9990005105951396,0.9990005105975556,0.5850211456822949,0.5949878697172467,7.492503821479682,7.492503821493087,2.232847107745252,2.218468146832034,-0.0009999928872838,-0.0009999928870258,-0.2539487919104092,-0.2476368659166293,-0.0009999923559922,-0.2963026184274863,-0.0009999923554206,-0.2929617067101416
2,70102.82244114584,70054.91712269888,-9317.055771976651,-9077.128865656456,72747.56884673498,73695.87477745478,136271.15278853112,136096.3496182575,147955.15366019815,147579.67604118533,1.0,1.0,7274.756884673499,7369.587477745478,0.0009900000472408,0.0009900000472448,9.845332883044764,9.94502056296583,0.9152015940480068,0.901629287596839,2.0020009828758445,2.00200098287396,4.137894342592689,4.051973615836376,2.0020009832610737,2.0020009832593666,3.89113409823512,3.868277819569816,0.9990005120562544,0.9990005120588116,0.6190215066900459,0.6260710603635627,7.492503815621137,7.492503815628897,2.193995821638323,2.188180727955981,-0.0009999928475112,-0.0009999928472917,-0.2972333080845081,-0.2928724576130369,-0.0009999926574735,-0.292797523463745,-0.0009999926571665,-0.2901511543541569
3,69565.38512253066,71743.38340795072,-30366.155959452895,-30599.92309245084,79797.15148076779,79114.07828884418,153893.12937169665,152518.44611298662,158147.4018104584,158452.229155213,1.0,1.0,7979.715148076779,7911.4078288844175,0.0009900000472412,0.0009900000472412,8.416511422098246,8.625310140917696,1.611559991661823,1.517241532749206,2.002000983073101,2.0020009830708783,4.068272776440263,3.9833230559983344,2.002000983221708,2.0020009832195695,3.9497500131986665,3.927200632361988,0.9990005143448558,0.9990005143493312,0.6712824158622536,0.6775140512186254,7.49250381133016,7.492503811337326,2.1641663306737593,2.162012590650186,-0.000999992834518,-0.0009999928342385,-0.302681278542575,-0.3003635952399583,-0.0009999927255996,-0.2515814471578372,-0.000999992725258,-0.2466164433394201
