scope,fold,distance_context,feature,mean_absolute_shap,rank
fold_x_distance_context,2,peripheral,recent_local_growth_5y_t,0.036007195219851275,5
fold_x_distance_context,2,peripheral,savi_t,0.011103559804920757,6
fold_x_distance_context,2,peripheral,slope_degrees,0.009740861663568686,7
fold_x_distance_context,3,near_built,built_fraction_11x11_t,0.006010667049331249,8
fold_x_distance_context,3,near_built,built_fraction_x_recent_growth_t,0.001446838739611294,9
fold_x_distance_context,3,near_built,elevation_m,0.04335569924028189,3
fold_x_distance_context,3,near_built,log_distance_to_built_m_t,0.0323239335555184,4
fold_x_distance_context,3,near_built,log_population_density_t,0.07042119522379642,2
fold_x_distance_context,3,near_built,ndbi_t,0.09628967052882323,1
fold_x_distance_context,3,near_built,recent_local_growth_5y_t,0.017406325179908914,5
fold_x_distance_context,3,near_built,savi_t,0.01310880051310111,6
fold_x_distance_context,3,near_built,slope_degrees,0.009813235830150199,7
fold_x_distance_context,3,peripheral,built_fraction_11x11_t,0.0052775652594971995,8
fold_x_distance_context,3,peripheral,built_fraction_x_recent_growth_t,0.0011384984329653703,9
fold_x_distance_context,3,peripheral,elevation_m,0.03724385674723157,3
fold_x_distance_context,3,peripheral,log_distance_to_built_m_t,0.036149530690801276,4
fold_x_distance_context,3,peripheral,log_population_density_t,0.0687167878179015,2
fold_x_distance_context,3,peripheral,ndbi_t,0.11661090125971559,1
fold_x_distance_context,3,peripheral,recent_local_growth_5y_t,0.014866151886270681,6
fold_x_distance_context,3,peripheral,savi_t,0.020388423346440795,5
fold_x_distance_context,3,peripheral,slope_degrees,0.010263340699162554,7
