fold,validation_origin,validation_target_year,temporal_lengthscale_steps,temporal_lengthscale_years,spatial_lengthscale_x_km,spatial_lengthscale_y_km,kernel_variance,mean_latent_variance,median_latent_variance,natural_gradient_gamma,minimum_natural_gradient_gamma,minimum_site_precision_eigenvalue
1,2010,2011,2.2184681468320346,2.2184681468320346,4.135327018745038,4.013838189677533,0.5949878697172467,0.19034240640538153,0.18712721785628972,0.01,0.01,2.710960047321781
2,2015,2016,2.188180727955981,2.188180727955981,4.051973615836376,3.868277819569816,0.6260710603635627,0.2066682057098507,0.20302840086706056,0.01,0.01,2.6513804850365745
3,2018,2019,2.162012590650186,2.162012590650186,3.9833230559983344,3.9272006323619877,0.6775140512186254,0.2327552458675109,0.22564890822710088,0.01,0.01,2.4843369063988363
