epoch,index_name,threshold_strategy,threshold_value,classification_direction,histogram_bucket_count,histogram_valid_pixel_count,histogram_min,histogram_max,histogram_mean,threshold_region,minimum_observation_count,status,failure_reason,source_composite_asset,source_count_asset,formula_version,grid_version,threshold_record_sha256,candidate_valid_pixel_count_core,candidate_built_pixel_count_core,candidate_nonbuilt_pixel_count_core,candidate_built_fraction_core,candidate_built_area_ha_core
2015,ndbsui,epoch_specific_otsu,-0.06638607182457155,greater_than,107,191794,-0.3034968674182892,0.2405441701412201,-0.05587855893048606,core,1,PASS,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2015,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2015,1,1,00ce3648604fde48ecb89fd2968de1d9bb74b8648e786c227bce07103c46d940,191794,112823,78971,0.5882430344534526,10142.589320067906
2015,vbswir1_bi,epoch_specific_otsu,0.9912593632683961,greater_than,42,191831,-12.038434028625488,12.852977752685547,0.6630060926964174,core,1,PASS,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2015,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2015,1,1,8e521ea00c7b8a094c34d218f4aa5162d0864e03af281dba2b9223c95bd38123,191831,1778,190053,0.009269402682034161,159.85549701377718
2020,ibi,epoch_specific_otsu,-62098.37890625,greater_than,23,100467,-93095.6953125,47191.27734375,-0.07025936097251015,core,1,PASS,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2020,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2020,1,1,237df6f87cd420fe3ce7ce0add13f44ac3094f1034a146675a078ed2ed89ba64,100467,100466,1,0.9999900468784619,9031.87458758229
2020,ibui,epoch_specific_otsu,-2.5869623225178474e-06,greater_than,117,100468,-0.8357632756233215,1.6545032262802124,-0.019692658001625507,core,1,PASS,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2020,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2020,1,1,7efd30d4f3424c0339bbaffbec9a78f991f82faa4d80079c8e4149843b5d8340,100468,46874,53594,0.46654163736659504,4213.829438646384
2020,ndbi,epoch_specific_otsu,-0.11323624558439056,greater_than,232,100468,-0.5789747635523478,0.3631986081600189,-0.11157664314582882,core,1,PASS,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2020,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2020,1,1,f723060b97492d9e063e944efc01b0bd68e763d649e38195b8ac56647ee4884d,100468,50651,49816,0.5041447586042624,4553.462874475744
2020,ndbsui,epoch_specific_otsu,-0.05470199763121585,greater_than,101,100451,-0.2717781662940979,0.2661985158920288,-0.04701910650878555,core,1,PASS,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2020,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2020,1,1,691c363ac6eb4dc3d3d4de68f8c9f7f523a08894129a67cff2f836aa8e3ffb57,100451,56447,44004,0.5619269071086271,5074.526916475854
2020,vbswir1_bi,epoch_specific_otsu,-46.59364318847656,greater_than,35,100468,-137.80709838867188,52.92961502075195,0.6423029465574327,core,1,PASS,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2020,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2020,1,1,6ec82d3a87ecae4ef089c1f2c67e619f2a2c11d20f760adf9ae88be4991e7993,100468,100465,3,0.9999701418205234,9031.78469804982
2025,ibi,epoch_specific_otsu,4715.6485595703125,greater_than,19,3356,-8190.55322265625,12662.2470703125,4.589194603108382,core,1,PASS,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2025,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2025,1,1,b32969ece9614f4b364176fa210a018c0f7f0312cb03118ba47ecba08834e861,3356,2,3354,0.0005960249215152713,0.17980009155273438
2025,ibui,epoch_specific_otsu,0.20291774036983648,greater_than,151,3356,-0.5897546410560608,0.6892502903938293,0.25187415976471167,core,1,PASS,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2025,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2025,1,1,899b9d37167ef355411eb63cfc3c38e5845c4257aecebe02e5a278623e0a5709,3356,2187,1169,0.6517573350574367,196.61263192749024
2025,ndbi,epoch_specific_otsu,0.00017613643107065554,greater_than,156,3356,-0.3707534372806549,0.24833732843399048,0.0407387807663998,core,1,PASS,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2025,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2025,1,1,65015f1401464e61c0559e5b1a57708e07a609d367c3c7f9b1ca7c586737f34c,3356,2408,948,0.7176196353435466,216.48100855712892
2025,ndbsui,epoch_specific_otsu,-0.016547685522320013,greater_than,218,3356,-0.16105851531028748,0.0792907103896141,-6.048664004019315e-05,core,1,PASS,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2025,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2025,1,1,743d535c0b8a680504a21a8d11588c4556f2d82edb6339ed413109ce4ed0661e,3356,2547,809,0.758977541921382,228.95725765459844
2025,vbswir1_bi,epoch_specific_otsu,0.7266269589381058,greater_than,133,3356,0.25051406025886536,1.5186182260513306,0.6982104994792777,core,1,PASS,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/composite_2025,projects/urban-sprawl-ssa/assets/sprawlgp/v1/landsat/valid_count_2025,1,1,c587704fcbf56d99cf8249c2f05f1417b825863d3c89549dfe600f5ab119291f,3356,1294,2062,0.3855453509407528,116.30568940077839
