epoch,acquisition_month,sensor_key,scene_count,positive_core_scene_count,median_valid_fraction_core,maximum_valid_fraction_core,median_valid_fraction_context,median_cloud_cover_scene_pct
2000,2,LE07,3,2,0.015526905539321192,0.056200007669942736,0.010236236773862048,72.0
2000,2,LT05,1,1,0.9288684247459292,0.9288684247459292,0.8154552928859043,64.0
2000,3,LE07,5,4,0.05827231575420734,0.2522056105380081,0.097467415767743,50.0
2000,4,LE07,3,0,0.0,0.0,0.0,73.0
2000,5,LE07,5,4,0.019877276796696795,0.9706612313316593,0.04307927662904046,73.0
2000,6,LE07,2,2,0.14148110877947076,0.16051307407000348,0.15705383101736708,73.5
2000,7,LE07,1,0,0.0,0.0,0.0,91.0
2000,10,LE07,7,1,0.0,0.03152757866190153,0.0,85.0
2000,11,LE07,4,3,0.04314612284048972,0.20982367244200936,0.07746573027679036,84.5
2000,12,LE07,10,10,0.06679138722044628,0.7303458139535156,0.10689707045725384,45.5
2005,1,LE07,7,5,0.104610447783321,0.7363132381306495,0.16798012345349247,39.0
2005,2,LE07,6,4,0.011245322206550242,0.75419127090601,0.015272967332451202,74.0
2005,3,LE07,4,4,0.0538154565190576,0.15634049666658387,0.05517342704967254,74.5
2005,4,LE07,5,3,9.532486951154665e-05,0.7411858705491349,0.01673259712820605,39.0
2005,5,LE07,2,0,0.0,0.0,0.0004406107889281183,77.5
2005,7,LE07,1,1,0.05734228027042752,0.05734228027042752,0.09042452341700336,62.0
2005,8,LE07,1,1,0.007906225044681189,0.007906225044681189,0.015055644178510061,88.0
2005,10,LE07,1,1,0.08063098790176154,0.08063098790176154,0.06636136718476024,44.0
2005,11,LE07,7,5,0.11211303951564955,0.7327498463457367,0.09555110036858026,35.0
2005,12,LE07,7,3,0.0,0.6059375898868017,0.0,59.0
2010,1,LE07,7,5,0.08659745048075301,0.7516076546023943,0.16922799355469223,32.0
2010,2,LE07,6,3,0.0010192416620041906,0.7368480525912148,0.00046996763376655183,77.0
2010,3,LE07,7,4,0.004551921690065322,0.386779132513751,0.005081226074063892,82.0
2010,5,LE07,5,3,0.00011791933306923999,0.25206352025917605,0.005085814243104539,84.0
2010,7,LE07,1,0,0.0,0.0,0.0,88.0
2010,9,LE07,3,3,0.0005397240450286249,0.27034545800423415,0.002566527850955313,62.0
2010,10,LE07,3,1,0.0,0.033243018610880255,0.0,95.0
2010,11,LE07,8,6,0.034040334794312004,0.34107751658905344,0.04312038822347471,63.0
2010,12,LE07,12,10,0.07910465135997324,0.7547161229046729,0.12558609028171683,48.0
2015,1,LC08,10,9,0.37277776223022074,0.9988759215315823,0.35488069932430844,44.900000000000006
2015,1,LE07,11,10,0.0838476453409242,0.7355609422231408,0.1674763365724742,38.0
2015,2,LC08,7,1,0.0,0.11324719198284146,0.0,99.97
2015,2,LE07,10,6,0.024590421813856497,0.3393084295626647,0.03459090861198448,79.5
2015,3,LC08,6,4,0.15026728475956908,0.27845060213314593,0.14782354315274063,70.745
2015,3,LE07,12,7,0.002468477002422559,0.6031369889134685,0.02320419735092974,69.5
2015,4,LC08,7,4,0.3017998345745521,0.693808118101605,0.2574084675715563,71.43
2015,4,LE07,10,6,0.00527160864561388,0.6020313367719243,0.011583203257682797,84.0
2015,5,LC08,10,9,0.2869458720924506,0.9490599091442404,0.24839544674381386,36.730000000000004
2015,5,LE07,10,9,0.10985165436736002,0.6682229037719429,0.1478817878346414,43.0
2015,6,LC08,3,3,0.003454007653131867,0.01149007082782565,0.012897141628375347,68.28
2015,6,LE07,4,2,0.012626838945833411,0.13925442501154864,0.021914584992439944,71.0
2015,7,LC08,3,3,0.37107471373710127,0.5934748983637005,0.3558215331126683,59.16
2015,8,LC08,2,0,0.0,0.0,0.004814229811755707,84.97999999999999
2015,8,LE07,2,2,0.004896617593188165,0.009790132058062364,0.0031756405788082183,59.5
2015,9,LE07,5,2,0.0,0.08691931718200067,0.0013499225091404112,60.0
2015,10,LC08,7,7,0.038741225847751824,0.21888628475264346,0.12558751874435253,71.44
2015,10,LE07,8,4,0.011774628723543434,0.18751370199100975,0.02301294774197999,83.5
2015,11,LC08,8,8,0.27207254643451373,0.6184552701442015,0.2832179848015751,34.0
2015,11,LE07,6,4,0.007465481532690483,0.20400088958818738,0.005332454261445532,83.5
2015,12,LC08,9,7,0.159083846460528,0.9915052804394313,0.1989727287040516,66.65
2015,12,LE07,11,9,0.07410559564034151,0.7570089969168675,0.08412086160198243,42.0
2020,1,LC08,11,10,0.3454191422919914,0.998841787843124,0.3763931823859598,42.91
2020,1,LE07,9,7,0.08813624875770493,0.7627245796008212,0.16514319316149584,51.0
2020,2,LC08,10,7,0.32884413690989484,0.9709303200176734,0.29321334826186596,46.19
2020,2,LE07,10,4,0.0,0.2708065883109847,0.0,91.5
2020,3,LC08,10,8,0.1547939024497733,0.7185351346708913,0.11155247318661236,66.08
2020,3,LE07,8,4,7.912734158794012e-05,0.5235902005616756,0.0011094797097264044,69.0
2020,4,LC08,8,3,0.0,0.5591149091426342,0.0,77.67
2020,4,LE07,12,12,0.0853209640667628,0.7426286600185782,0.16826658984347664,47.0
2020,5,LC08,10,7,0.061411486529616754,0.26696450009035805,0.03418892003123554,66.565
2020,5,LE07,9,8,0.0890113295329388,0.7291806601454268,0.17067889070252446,63.0
2020,6,LC08,2,1,0.06005214047254459,0.12010428094508918,0.0757210347099711,85.27000000000001
2020,6,LE07,3,2,0.00041268762478772347,0.17608667160768787,0.00022256701329546866,62.0
2020,7,LC08,1,1,0.00022963002691285246,0.00022963002691285246,0.00017940482763865868,64.52
2020,7,LE07,3,3,0.008573247584927082,0.03536815369673047,0.03584452973705051,80.0
2020,8,LC08,1,1,0.3117414819336662,0.3117414819336662,0.32980807877458024,69.1
2020,8,LE07,4,1,0.0,0.024586648856149237,0.0,96.5
2020,9,LC08,6,4,0.08440549988014076,0.6222617233721421,0.12634275375859366,83.365
2020,9,LE07,1,0,0.0,0.0,0.0,67.0
2020,10,LC08,7,7,0.28111645161429905,0.8827579698374267,0.23835442033087112,78.16
2020,10,LE07,4,3,0.009823473936813034,0.038489666788665056,0.01477974556908125,70.5
2020,11,LC08,8,5,0.002364096970705481,0.2924739405097051,0.014194051503373531,64.455
2020,11,LE07,8,6,0.05764107295185196,0.7335723479742694,0.06426245626331759,68.0
2020,12,LC08,10,10,0.34891986478096226,0.8012836952838913,0.3396111783079311,43.480000000000004
2020,12,LE07,7,6,0.09381734327151013,0.7566441987167511,0.1649152232052754,53.0
2025,1,LC08,11,9,0.1995697098742529,0.8956136726837076,0.21697026317973503,46.85
2025,1,LE07,4,1,0.0,0.20363116648019894,5.449737100093159e-05,57.5
2025,2,LC08,10,7,0.24110798545074982,0.9988542008248941,0.2353623981916319,42.345
2025,3,LC08,10,6,0.03488986336482862,0.6835895489741947,0.05382131832705629,52.730000000000004
2025,4,LC08,6,4,0.24390875850995292,0.6972430741614989,0.24292428976788133,62.455
2025,5,LC08,5,3,0.1962785991340438,0.7393345427932372,0.1851189847784153,60.89
2025,6,LC08,3,2,0.22651901399215926,0.3860788542797562,0.1849455443622458,59.25
2025,8,LC08,1,1,0.010411985179324188,0.010411985179324188,0.006572424957914526,69.29
2025,10,LC08,1,1,0.11148614072070173,0.11148614072070173,0.1248891037133188,75.21
2025,11,LC08,6,4,0.0200782673636173,0.3512004778691,0.027006627201717565,71.86
2025,12,LC08,7,7,0.24961755466654575,0.5696419891008178,0.27402467731330404,43.55
