epoch,catalogue_scene_count,candidate_scene_count,selected_scene_count,selected_sensors,first_selected_date,last_selected_date,median_selected_scene_cloud_cover_pct,median_selected_scene_valid_fraction_core,window_name,window_start,window_end,sensor_mode,sensors,protocol_scene_count,mean_valid_observations_all_core,minimum_valid_observations_all_core,p25_valid_observations_all_core,median_valid_observations_all_core,p75_valid_observations_all_core,p90_valid_observations_all_core,maximum_valid_observations_all_core,mean_valid_observations_covered,p25_valid_observations_covered,median_valid_observations_covered,p75_valid_observations_covered,footprint_area_ha,footprint_pct_of_core,coverage_ge_1_area_ha,coverage_ge_1_pct_of_core,coverage_ge_3_area_ha,coverage_ge_3_pct_of_core,coverage_ge_5_area_ha,coverage_ge_5_pct_of_core,valid_composite_area_ha,valid_composite_pct_of_core,valid_ndbi_area_ha,valid_ndbi_pct_of_core,final_state_valid_area_ha,final_state_valid_pct_of_core,loss_core_to_scene_footprint_percentage_points,loss_scene_footprint_to_valid_observation_percentage_points,loss_valid_observation_to_composite_percentage_points,loss_composite_to_ndbi_percentage_points,loss_ndbi_to_final_state_percentage_points,dominant_loss_stage,dominant_loss_percentage_points
2005,41,27,2,LE07,2005-07-19,2005-08-20,75.0,0.0326242526575543,Jul-Sep_3m,2005-07-01,2005-10-01,primary_plus_supplemental,"LT05,LE07",2,0.06531850176522101,0.0,0.0,0.0,0.0,0.0,2.0,1.07439523812768,1.0,1.0,1.0,28940.420800271713,99.88790246095478,1759.5323407033402,6.073028310059009,0.0,0.0,0.0,0.0,1759.5323407033402,6.073028310059009,1759.5323407033402,6.073028310059009,1759.5323407033402,6.073028310059009,0.11209753904522302,93.81487415089578,0.0,0.0,0.0,scene_footprint_to_valid_observation,93.81487415089578
2010,52,35,1,LE07,2010-09-19,2010-09-19,62.0,0.2703454580042341,Jul-Sep_3m,2010-07-01,2010-10-01,primary_plus_supplemental,"LT05,LE07",1,0.27065583921425634,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28940.420800265616,99.88790246093374,7832.69157057634,27.034545800423416,0.0,0.0,0.0,0.0,7832.69157057634,27.034545800423416,7832.69157057634,27.034545800423416,7832.69157057634,27.034545800423416,0.11209753906625508,72.85335666051033,0.0,0.0,0.0,scene_footprint_to_valid_observation,72.85335666051033
2015,161,116,2,LC08,2015-07-07,2015-07-07,56.285,0.4284935899407497,Jul-Sep_3m,2015-07-01,2015-10-01,primary_only,LC08,2,0.8579503652565811,0.0,0.0,1.0,2.0,2.0,2.0,1.4397520626725195,1.0,1.0,2.0,28940.420800265616,99.88790246093374,17245.501409018198,59.52287199010233,0.0,0.0,0.0,0.0,17245.501409018198,59.52287199010233,17245.501409018198,59.52287199010233,17245.501409018194,59.522871990102324,0.11209753906625508,40.365030470831414,0.0,0.0,7.105427357601002e-15,scene_footprint_to_valid_observation,40.365030470831414
2020,162,64,1,LC08,2020-08-05,2020-08-05,69.1,0.3117414819336662,Jul-Sep_3m,2020-07-01,2020-10-01,primary_only,LC08,1,0.31209123721644594,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28940.42080026561,99.88790246093372,9032.054378750503,31.174148193387687,0.0,0.0,0.0,0.0,9032.054378750501,31.17414819338768,9032.054378750503,31.174148193387687,9032.0543787444,31.17414819336662,0.1120975390662835,68.71375426754602,7.105427357601002e-15,-7.105427357601002e-15,2.106759211528697e-11,scene_footprint_to_valid_observation,68.71375426754602
2025,127,91,19,"LC08,LC09",2024-11-04,2025-01-31,37.9,0.3715033620393537,Nov-Jan_3m,2024-11-01,2025-02-01,primary_only,"LC08,LC09",19,7.902907690165547,2.0,6.0,7.0,10.000000000000002,12.000000000000005,18.0,7.902907690165544,6.0,7.000000000000001,10.000000000000002,28940.420800265616,99.88790246093374,28940.42080026561,99.88790246093372,28935.10000490079,99.86953772836524,26936.486215662826,92.97131946767408,28940.420800271713,99.88790246095478,28940.42080026561,99.88790246093372,28940.420800265616,99.88790246093374,0.11209753906625508,2.842170943040401e-14,-2.106048668792937e-11,2.106048668792937e-11,-2.842170943040401e-14,core_to_scene_footprint,0.11209753906625508
