run,iteration,phase,minibatch_elbo,scheduled_natural_gradient_gamma,applied_natural_gradient_gamma,natural_gradient_backtracks,spatial_lengthscale_x_km,spatial_lengthscale_y_km,temporal_lengthscale_steps,kernel_variance
fold_1,1,adam+natgrad,-191221.23398570105,1.0000000000000004e-06,1.0000000000000004e-06,0,2.0,2.0,1.0,0.9993679999118515
fold_1,100,adam+natgrad,-129970.82846994478,2.636461008347559e-06,2.636461008347559e-06,0,2.0901024900792304,2.0913479054597888,1.0,0.9456534979206213
fold_1,200,adam+natgrad,-73681.72092971626,7.019326542364449e-06,7.019326542364449e-06,0,2.1893657564948397,2.1916942840875278,1.0,0.9247058489871108
fold_1,300,adam+natgrad,-80586.45490082286,1.8688288942009938e-05,1.8688288942009938e-05,0,2.261929801442218,2.2657398970703486,1.0,0.9016272468883969
fold_1,400,adam+natgrad,-58091.74610808203,4.9755790882811085e-05,4.9755790882811085e-05,0,2.314789484568379,2.3136896587940945,1.0,0.8953269503198668
fold_1,500,adam+natgrad,-61484.31119969477,0.00013247005833738861,0.00013247005833738861,0,2.3652978344649336,2.358454248788613,1.0,0.8782578304371529
fold_1,600,adam+natgrad,-59518.51613000861,0.0003526889241343253,0.0003526889241343253,0,2.3982830576490786,2.3845752950990122,1.0,0.8717598705279169
fold_1,700,adam+natgrad,-53669.98583416701,0.0009390006977291413,0.0009390006977291413,0,2.4450999838255303,2.4210617246220885,1.0,0.8564925463887202
fold_1,800,adam+natgrad,-59321.54826519912,0.0025000000000000005,0.0025000000000000005,0,2.472163261898107,2.440827317502419,1.0,0.8480312237038895
fold_1,900,adam+natgrad,-48836.90438968085,0.0025000000000000005,0.0025000000000000005,0,2.518838990261522,2.478282065578728,1.0,0.8318064287264897
fold_1,1000,adam+natgrad,-57776.92709453497,0.0025000000000000005,0.0025000000000000005,0,2.547964072475807,2.4985704437380085,1.0,0.8231354511691744
fold_2,1,adam+natgrad,-348327.1318133236,1.0000000000000004e-06,1.0000000000000004e-06,0,2.0,2.0,1.0,0.9993679999118252
fold_2,100,adam+natgrad,-221292.81288560684,2.636461008347559e-06,2.636461008347559e-06,0,2.0839690537756344,2.086446969931311,1.001040998987399,0.946531118967396
fold_2,200,adam+natgrad,-166627.94249952462,7.019326542364449e-06,7.019326542364449e-06,0,2.166377138968534,2.169902794153761,1.0838194632662128,0.9193449160342527
fold_2,300,adam+natgrad,-111910.73518691746,1.8688288942009938e-05,1.8688288942009938e-05,0,2.232550573706627,2.239670536065296,1.1840939282600207,0.8842524123698274
fold_2,400,adam+natgrad,-130779.3931735869,4.9755790882811085e-05,4.9755790882811085e-05,0,2.2784363181348146,2.292297782089367,1.215036640035975,0.8708448292696288
fold_2,500,adam+natgrad,-78168.64827336144,0.00013247005833738861,0.00013247005833738861,0,2.328466571982076,2.337288020265357,1.2150640891869566,0.8504610731940807
fold_2,600,adam+natgrad,-150079.10289142354,0.0003526889241343253,0.0003526889241343253,0,2.365430949754929,2.370516540506643,1.2195257984342867,0.8365535667018891
fold_2,700,adam+natgrad,-85164.83653666492,0.0009390006977291413,0.0009390006977291413,0,2.3995047743829714,2.407395692293825,1.2247451528141697,0.8179949779716575
fold_2,800,adam+natgrad,-161034.97746996523,0.0025000000000000005,0.0025000000000000005,0,2.4386567436461952,2.442345821627637,1.2254871550600168,0.8029597240380162
fold_2,900,adam+natgrad,-98142.06912056987,0.0025000000000000005,0.0025000000000000005,0,2.4751324672887027,2.4788231767897884,1.2260083170319405,0.7901232976718686
fold_2,1000,adam+natgrad,-107718.91752061526,0.0025000000000000005,0.0025000000000000005,0,2.514073447312068,2.5199825581042257,1.2244712060061802,0.7709650186512241
fold_3,1,adam+natgrad,-474445.36779793433,1.0000000000000004e-06,1.0000000000000004e-06,0,2.0,2.0,1.0,0.9993679999118167
fold_3,100,adam+natgrad,-294413.8641530961,2.636461008347559e-06,2.636461008347559e-06,0,2.0798676522853348,2.081545034930412,1.0019162606446177,0.9465317406895625
fold_3,200,adam+natgrad,-222889.18891436368,7.019326542364449e-06,7.019326542364449e-06,0,2.1571816134311477,2.1578481572095187,1.0834844083674886,0.9180852415370292
fold_3,300,adam+natgrad,-151610.96399045555,1.8688288942009938e-05,1.8688288942009938e-05,0,2.2200322548845777,2.223317410235991,1.1819239590682187,0.8801368524377664
fold_3,400,adam+natgrad,-193330.56477457684,4.9755790882811085e-05,4.9755790882811085e-05,0,2.2871068064484237,2.2888966702545486,1.2639404777747407,0.8714097805069665
fold_3,500,adam+natgrad,-140119.3085821785,0.00013247005833738861,0.00013247005833738861,0,2.3279737344934492,2.3289400178589714,1.2996241864227918,0.8628842969641742
fold_3,600,adam+natgrad,-181527.4659958968,0.0003526889241343253,0.0003526889241343253,0,2.3703162184493927,2.369240497695879,1.2999583805003974,0.8415811726869605
fold_3,700,adam+natgrad,-145878.78857067373,0.0009390006977291413,0.0009390006977291413,0,2.4015663984546856,2.3965879430138126,1.2951143074576925,0.8268892651372992
fold_3,800,adam+natgrad,-120162.67507111019,0.0025000000000000005,0.0025000000000000005,0,2.44482065412779,2.436846530683518,1.3005211326195056,0.803405669680703
fold_3,900,adam+natgrad,-159406.78456585712,0.0025000000000000005,0.0025000000000000005,0,2.4778393370357032,2.4774321232398964,1.303746791280992,0.7914838957081873
fold_3,1000,adam+natgrad,-128307.2632876857,0.0025000000000000005,0.0025000000000000005,0,2.5048745375082526,2.501073085180932,1.3076388439323454,0.7812324998823023
