run,iteration,phase,minibatch_elbo,scheduled_natural_gradient_gamma,applied_natural_gradient_gamma,natural_gradient_backtracks,spatial_lengthscale_x_km,spatial_lengthscale_y_km,temporal_lengthscale_steps,kernel_variance
final_fit,1,adam+natgrad,-586319.1163095173,1.0000000000000004e-06,1.0000000000000004e-06,0,2.0,2.0,1.0,0.9993679999118122
final_fit,100,adam+natgrad,-359943.1114938686,2.636461008347559e-06,2.636461008347559e-06,0,2.078732601010829,2.080897658586871,1.0026935216022201,0.9467644123111341
final_fit,200,adam+natgrad,-273948.35490019165,7.019326542364449e-06,7.019326542364449e-06,0,2.153226302781099,2.1501423435630325,1.0839065286211795,0.9188800801687028
final_fit,300,adam+natgrad,-187398.25282677525,1.8688288942009938e-05,1.8688288942009938e-05,0,2.2122646325279116,2.2128152008384347,1.1796976786048572,0.880319791253134
final_fit,400,adam+natgrad,-239739.57230450408,4.9755790882811085e-05,4.9755790882811085e-05,0,2.2768905193914764,2.275165563180619,1.25881866049764,0.871051980287416
final_fit,500,adam+natgrad,-247481.428191532,0.00013247005833738861,0.00013247005833738861,0,2.3203869159970267,2.316851726717433,1.2815312914413552,0.8556040561762545
final_fit,600,adam+natgrad,-250675.53187366718,0.0003526889241343253,0.0003526889241343253,0,2.368347801550719,2.359726083426351,1.258550810536323,0.8289339215192444
final_fit,700,adam+natgrad,-272131.248771563,0.0009390006977291413,0.0009390006977291413,0,2.4128895385520135,2.399039901946415,1.2513669257521551,0.8108735220541515
final_fit,800,adam+natgrad,-140833.81390604767,0.0025000000000000005,0.0025000000000000005,0,2.453158655650084,2.4300273553159975,1.250697371569022,0.7941977288930395
final_fit,900,adam+natgrad,-215762.83606328542,0.0025000000000000005,0.0025000000000000005,0,2.4933604902386213,2.46718851187891,1.2575278105280308,0.7714499673880526
final_fit,1000,adam+natgrad,-195485.6082488462,0.0025000000000000005,0.0025000000000000005,0,2.522959957355034,2.498571644345124,1.2649899091370835,0.7571447898634789
final_fit,1100,adam+natgrad,-184192.79296020707,0.0025000000000000005,0.0025000000000000005,0,2.5526984296744426,2.5308215881755576,1.26437539591567,0.7451491797717281
final_fit,1200,adam+natgrad,-236923.27242751533,0.0025000000000000005,0.0025000000000000005,0,2.594083465177129,2.5738497659522084,1.2497366112717512,0.7244637651349115
