run,iteration,minibatch_elbo,spatial_lengthscale_x_km,spatial_lengthscale_y_km,temporal_lengthscale_steps,kernel_variance
fold_1,1,-195105.703125,2.0,2.0,1.0,0.9993680119514465
fold_1,100,-150049.46875,2.110755681991577,2.1103341579437256,1.0,0.9429983496665955
fold_1,200,-125458.9765625,2.2250893115997314,2.2338695526123047,1.0,0.9032842516899109
fold_1,300,-105640.921875,2.328036308288574,2.336081027984619,1.0,0.8684143424034119
fold_1,400,-97486.65625,2.419687271118164,2.4363529682159424,1.0,0.8513311743736267
fold_1,500,-73695.2109375,2.510723114013672,2.525137424468994,1.0,0.830077588558197
fold_1,600,-85182.4609375,2.5840604305267334,2.606541633605957,1.0,0.8230736255645752
fold_1,700,-61558.390625,2.6605870723724365,2.6807596683502197,1.0,0.8082143068313599
fold_1,800,-75304.4453125,2.7219057083129883,2.7487432956695557,1.0,0.8056946992874146
fold_1,900,-42772.671875,2.7859103679656982,2.810647487640381,1.0,0.7933233380317688
fold_1,1000,-70443.5390625,2.8395462036132812,2.8691351413726807,1.0,0.7926174402236938
fold_2,1,-361894.40625,2.0,2.0,1.0,0.9993680119514465
fold_2,100,-259084.9375,2.114410161972046,2.1095356941223145,1.0512821674346924,0.9431463479995728
fold_2,200,-212631.4375,2.225945234298706,2.226564884185791,1.169470191001892,0.9049600958824158
fold_2,300,-155343.75,2.3451879024505615,2.3428728580474854,1.3143768310546875,0.8780668377876282
fold_2,400,-180762.234375,2.4262239933013916,2.4316933155059814,1.3712158203125,0.8573951721191406
fold_2,500,-107755.7734375,2.503293752670288,2.5050084590911865,1.3712786436080933,0.8289680480957031
fold_2,600,-199031.140625,2.5739433765411377,2.5741026401519775,1.4099351167678833,0.8180000185966492
fold_2,700,-95220.171875,2.6399011611938477,2.637143135070801,1.46731698513031,0.8119549751281738
fold_2,800,-162087.171875,2.703238010406494,2.703775405883789,1.4749888181686401,0.7916038036346436
fold_2,900,-127351.46875,2.7567505836486816,2.750227212905884,1.4818475246429443,0.7804241180419922
fold_2,1000,-111527.515625,2.809563636779785,2.796445608139038,1.5132660865783691,0.7666511535644531
fold_3,1,-500214.53125,2.0,2.0,1.0,0.9993680119514465
fold_3,100,-347554.71875,2.1117186546325684,2.113536834716797,1.0533007383346558,0.9429933428764343
fold_3,200,-274450.40625,2.2296323776245117,2.2300140857696533,1.1730237007141113,0.9055029153823853
fold_3,300,-204095.96875,2.3409476280212402,2.347212314605713,1.3215367794036865,0.8777106404304504
fold_3,400,-234510.671875,2.4544057846069336,2.464869737625122,1.4738914966583252,0.865947425365448
fold_3,500,-256675.515625,2.5538058280944824,2.5612030029296875,1.5760670900344849,0.868813693523407
fold_3,600,-188941.75,2.6078197956085205,2.6123416423797607,1.5780551433563232,0.8260213732719421
fold_3,700,-196496.484375,2.6531519889831543,2.6587893962860107,1.582760214805603,0.807537317276001
fold_3,800,-135511.40625,2.694889783859253,2.7068326473236084,1.597825050354004,0.7885149121284485
fold_3,900,-149788.453125,2.7639505863189697,2.782426357269287,1.649541974067688,0.7961112856864929
fold_3,1000,-179317.296875,2.8208909034729004,2.8372764587402344,1.6915661096572876,0.8020949959754944
