feature,coefficient_standardised
ndbi_t,0.26718419790267944
savi_t,0.0844830796122551
distance_to_built_m_t,-0.2067522555589676
built_fraction_11x11_t,0.06450867652893066
recent_local_growth_5y_t,0.06431647390127182
elevation_m,-0.02167193964123726
slope_degrees,-0.022933505475521088
log_population_density_t,0.3793712258338928
