iterations,fold,spatial_lengthscale_y_km,spatial_lengthscale_x_km,kernel_variance,mean_latent_variance,median_latent_variance,temporal_lengthscale_years,calibration_intercept,pr_auc,roc_auc,ece,probability_bias,calibration_slope,log_loss,absolute_probability_bias,brier_score,observed_prevalence,marginal_empirical_coverage,marginal_positive_class_coverage,marginal_negative_class_coverage,marginal_average_set_size,marginal_singleton_rate,marginal_both_labels_rate,marginal_empty_set_rate,mondrian_empirical_coverage,mondrian_positive_class_coverage,mondrian_negative_class_coverage,mondrian_average_set_size,mondrian_singleton_rate,mondrian_both_labels_rate,mondrian_empty_set_rate,pr_auc_prevalence_lift
1000,1,3.75661171335076,3.704331640366932,0.5995791008590317,0.1233653424241295,0.1177650136200591,3.091208176723397,-2.0092534709195524,0.1135971974465126,0.8763659279094184,0.0804315648392436,0.0804315648392436,1.0713816132900675,0.1318080075786198,0.0804315648392436,0.0325863835461169,0.01703303255555114,,,,,,,,,,,,,,,6.669229162571569
1000,2,3.625981063568379,3.649443883487671,0.6202793330190488,0.1283315559101064,0.1227711696367768,3.085723152233729,-0.998970385112296,0.2314337172089313,0.6832828425297992,0.0629014944718166,-0.0293890405607899,0.2943310005976062,0.4266734901999577,0.0293890405607899,0.1081069684173651,0.1227562802808785,0.7314366209207521,0.0001738676866904,0.8337651910514214,0.8069707382664931,0.8069707382664931,0.0,0.1930292617335069,0.7686807675068832,0.3985047378944623,0.8204810043429072,0.9951230444155124,0.9951230444155124,0.0,0.0048769555844876,1.885310606344442
1000,3,3.614134470407074,3.654943940367897,0.6537302774652641,0.1528375429450116,0.142540304814776,3.0284456255439083,-1.3365792330704442,0.1114303611508574,0.7572697580944302,0.0314663156498504,-0.0059546804778327,0.4011940756294326,0.18986938366881,0.0059546804778327,0.0449510801109083,0.044904728651237034,0.9149541101356744,0.0013885031935573,0.9579062814168766,0.9531374700718276,0.9531374700718276,0.0,0.0468625299281723,0.9246059457302476,0.6959178006109414,0.935357940227964,1.2612480047885075,0.7387519952114924,0.2612480047885075,0.0,2.4814838993084023
1500,1,4.184321697144557,4.120212829625614,0.5848829042032468,0.1846280199677107,0.1809981397080075,2.2317189172284175,-2.1133629241282104,0.1313428001633457,0.8899135864024732,0.1073573532746614,0.1073573532746614,1.329110520855212,0.159568562315512,0.1073573532746614,0.0397696388214087,0.01703303255555114,,,,,,,,,,,,,,,7.71106376594933
1500,2,3.8985282574988296,4.149352838445437,0.6187428554599745,0.2020916675244473,0.1978935847586039,2.1978923798198178,-0.8743113553214394,0.235851772257908,0.7136965835894253,0.0545573967433677,-0.0100135420943762,0.408611689624224,0.3807785485662138,0.0100135420943762,0.1067874993033636,0.1227562802808785,0.7410197852858942,0.0006085369034165,0.8446285415374135,0.8162124090239686,0.8162124090239686,0.0,0.1837875909760314,0.7780825133929524,0.3808571676953838,0.8336678710022749,0.9816233752374448,0.9816233752374448,0.0,0.018376624762555225,1.9213010667825372
1500,3,3.948140499443869,4.0816835309572275,0.6704846908122926,0.2287884498493353,0.2208722540463092,2.1672547729051095,-1.0134577909796136,0.1391895520173807,0.7944062459877559,0.0215118886336791,0.0204374152273768,0.7223345364225324,0.1662601831735095,0.0204374152273768,0.0438254234245217,0.044904728651237034,0.9123353950518756,0.0066648153290752,0.9549163739864998,0.9488851755786112,0.9488851755786112,0.0,0.0511148244213886,0.9201167198723065,0.8183837822826993,0.9248997924038073,1.2946303870710296,0.7053696129289705,0.2946303870710295,0.0,3.0996635810546493
3000,1,4.977376335219596,4.62153658461361,0.6159628515284552,0.4511418363438761,0.4501186252877751,1.0561101881689274,-2.9429653799539426,0.1503948221193295,0.8944957760532594,0.2055909644531785,0.2055909644531784,1.8188764476998895,0.2820361507637166,0.2055909644531784,0.0789197305758597,0.01703303255555114,,,,,,,,,,,,,,,8.829597526385
3000,2,4.559606883492306,4.745412482651866,0.6967874556045841,0.5189918720150865,0.5178232139287084,1.0345621699363463,-0.6325432190962084,0.2941365782467475,0.7674902312372656,0.050438499853192,0.0489478713896051,0.8517326717069581,0.3344729014754861,0.0489478713896051,0.1010709027648405,0.1227562802808785,0.7896612810278958,0.0278188298704685,0.8962689926158413,0.8718972104240924,0.8718972104240924,0.0,0.1281027895759076,0.8215055599427998,0.3302616708684691,0.8902473145748938,0.9715706571617612,0.9715706571617612,0.0,0.0284293428382387,2.396102077822283
3000,3,4.616363322890617,4.703963098882976,0.7863007351233805,0.5940553438397775,0.5896197415975248,1.0254025028260183,-1.1303145336306126,0.175128598478309,0.8352120327279581,0.0961300201893625,0.0961300201893625,1.2339356370313317,0.2073261281524235,0.0961300201893625,0.0535837143649454,0.044904728651237034,0.9001895450917797,0.0211052485420716,0.941520544189265,0.9334596967278532,0.9334596967278532,0.0,0.0665403032721468,0.9043296089385476,0.8486531519022493,0.9069472914572208,1.2324546089385475,0.7675453910614525,0.2324546089385475,0.0,3.9000034904672463
