bin,cell_count,mean_predicted_probability,observed_conversion_rate,absolute_calibration_gap,model,fold
0,10063,0.0240687884916678,0.00029812183245553017,0.02377066665921227,st_svgp_annual_convergence_3000,1
1,10063,0.055512983959752855,0.00029812183245553017,0.05521486212729732,st_svgp_annual_convergence_3000,1
2,10063,0.08234365249419891,0.0016893570505813376,0.08065429544361757,st_svgp_annual_convergence_3000,1
3,10062,0.11402026140466076,0.0012919896640826874,0.11272827174057808,st_svgp_annual_convergence_3000,1
4,10063,0.15212594227110166,0.0019874788830368676,0.15013846338806477,st_svgp_annual_convergence_3000,1
5,10063,0.1962366511602076,0.002881844380403458,0.19335480677980416,st_svgp_annual_convergence_3000,1
6,10062,0.2524358313211703,0.007255018882925859,0.24518081243824447,st_svgp_annual_convergence_3000,1
7,10063,0.32635348903287664,0.01411110006956176,0.3122423889633149,st_svgp_annual_convergence_3000,1
8,10063,0.4290483970486123,0.02941468746894564,0.39963370957966665,st_svgp_annual_convergence_3000,1
9,10063,0.5940861430410491,0.11110006956176091,0.48298607347928824,st_svgp_annual_convergence_3000,1
0,9371,0.01634399579506584,0.023796819976523317,0.007452824181457478,st_svgp_annual_convergence_3000,2
1,9371,0.030185462284822873,0.02486394194856472,0.005321520336258153,st_svgp_annual_convergence_3000,2
2,9370,0.04623891505877959,0.02977588046958378,0.01646303458919581,st_svgp_annual_convergence_3000,2
3,9371,0.0677647550373707,0.05260911322164123,0.015155641815729468,st_svgp_annual_convergence_3000,2
4,9370,0.09635123362974025,0.06691568836712913,0.02943554526261112,st_svgp_annual_convergence_3000,2
5,9371,0.1358311399291839,0.094226870131256,0.04160426979792789,st_svgp_annual_convergence_3000,2
6,9370,0.18841683083881738,0.13137673425827107,0.05704009658054632,st_svgp_annual_convergence_3000,2
7,9371,0.25952118526765183,0.18824031586810372,0.07128086939954811,st_svgp_annual_convergence_3000,2
8,9370,0.35627831482451106,0.25805763073639276,0.09822068408811829,st_svgp_annual_convergence_3000,2
9,9371,0.5201097340535836,0.35769928502827875,0.16241044902530488,st_svgp_annual_convergence_3000,2
0,8020,0.014662391761915236,0.0012468827930174563,0.01341550896889778,st_svgp_annual_convergence_3000,3
1,8019,0.029061260464854334,0.004738745479486221,0.024322514985368113,st_svgp_annual_convergence_3000,3
2,8019,0.044122308151942895,0.0038658186806334953,0.0402564894713094,st_svgp_annual_convergence_3000,3
3,8019,0.06157809257904,0.00710811821922933,0.054469974359810665,st_svgp_annual_convergence_3000,3
4,8019,0.08372448074354664,0.011597456041900486,0.07212702470164616,st_svgp_annual_convergence_3000,3
5,8019,0.11253912019920605,0.021698466142910586,0.09084065405629546,st_svgp_annual_convergence_3000,3
6,8019,0.1501654426167219,0.03641351789499938,0.11375192472172252,st_svgp_annual_convergence_3000,3
7,8019,0.2007179863023994,0.06621773288439955,0.13450025341799984,st_svgp_annual_convergence_3000,3
8,8019,0.2769238511666455,0.1017583239805462,0.1751655271860993,st_svgp_annual_convergence_3000,3
9,8020,0.4368314265583145,0.19438902743142145,0.24244239912689303,st_svgp_annual_convergence_3000,3
