fold,earlier_window_first_iteration,earlier_window_last_iteration,earlier_window_logged_points,final_window_first_iteration,final_window_last_iteration,final_window_logged_points,temporal_lengthscale_years_earlier_window_mean,temporal_lengthscale_years_final_window_mean,temporal_lengthscale_years_relative_window_mean_difference,temporal_lengthscale_years_drift_interpretation,spatial_lengthscale_x_km_earlier_window_mean,spatial_lengthscale_x_km_final_window_mean,spatial_lengthscale_x_km_relative_window_mean_difference,spatial_lengthscale_x_km_drift_interpretation,spatial_lengthscale_y_km_earlier_window_mean,spatial_lengthscale_y_km_final_window_mean,spatial_lengthscale_y_km_relative_window_mean_difference,spatial_lengthscale_y_km_drift_interpretation,kernel_variance_earlier_window_mean,kernel_variance_final_window_mean,kernel_variance_relative_window_mean_difference,kernel_variance_drift_interpretation,earlier_late_window_mean_elbo,final_window_mean_elbo,final_window_elbo_standard_deviation,elbo_all_finite
1,2000,2400,9,2600,2999,9,1.5120234779558468,1.1439619439535906,0.2434231606640463,still materially drifting,4.405788538058236,4.577827220871902,0.039048329561792654,slowly stabilizing,4.598035862673691,4.864626524863455,0.05797924812938402,still materially drifting,0.5984466829387273,0.6140647139054942,0.026097614728304915,slowly stabilizing,-196292.28246709358,-203169.78497852385,17271.524809868395,True
2,2000,2400,9,2600,2999,9,1.4711300463745594,1.1212658345173692,0.23782004365922146,still materially drifting,4.4147154590649205,4.692509330667598,0.06292452462191449,still materially drifting,4.3386217571501415,4.483598935511072,0.03341549147998552,slowly stabilizing,0.650102862044592,0.6842757392835295,0.05256533886262675,still materially drifting,-224821.24700077667,-226082.34730982847,17430.254258312314,True
3,2000,2400,9,2600,2999,9,1.4691256624575735,1.114966519195767,0.2410679714554603,still materially drifting,4.409761766524532,4.618038013823975,0.04723072545109204,slowly stabilizing,4.3076974110898805,4.590876335422075,0.06573788669630531,still materially drifting,0.7225893443203467,0.7633458991618596,0.056403481675816394,still materially drifting,-260554.15546759346,-268202.16338965134,21833.198973305865,True
