fold,tren_a01_elbo_tail_range,early_stop_a01_elbo_tail_range,delta_elbo_tail_range,tren_a01_elbo_tail_slope_per_100_iterations,early_stop_a01_elbo_tail_slope_per_100_iterations,delta_elbo_tail_slope_per_100_iterations,tren_a01_gradient_p50,early_stop_a01_gradient_p50,delta_gradient_p50,tren_a01_gradient_p90,early_stop_a01_gradient_p90,delta_gradient_p90,tren_a01_gradient_p95,early_stop_a01_gradient_p95,delta_gradient_p95,tren_a01_fraction_gradient_above_clip,early_stop_a01_fraction_gradient_above_clip,delta_fraction_gradient_above_clip,tren_a01_median_gradient_to_clip_ratio,early_stop_a01_median_gradient_to_clip_ratio,delta_median_gradient_to_clip_ratio,tren_a01_site_precision_min,early_stop_a01_site_precision_min,delta_site_precision_min,tren_a01_site_precision_max,early_stop_a01_site_precision_max,delta_site_precision_max,tren_a01_site_precision_tail_range,early_stop_a01_site_precision_tail_range,delta_site_precision_tail_range,tren_a01_spatial_lengthscale_x_initial_km,early_stop_a01_spatial_lengthscale_x_initial_km,delta_spatial_lengthscale_x_initial_km,tren_a01_spatial_lengthscale_x_final_km,early_stop_a01_spatial_lengthscale_x_final_km,delta_spatial_lengthscale_x_final_km,tren_a01_spatial_lengthscale_y_initial_km,early_stop_a01_spatial_lengthscale_y_initial_km,delta_spatial_lengthscale_y_initial_km,tren_a01_spatial_lengthscale_y_final_km,early_stop_a01_spatial_lengthscale_y_final_km,delta_spatial_lengthscale_y_final_km,tren_a01_kernel_variance_initial,early_stop_a01_kernel_variance_initial,delta_kernel_variance_initial,tren_a01_kernel_variance_final,early_stop_a01_kernel_variance_final,delta_kernel_variance_final,tren_a01_temporal_lengthscale_initial_years,early_stop_a01_temporal_lengthscale_initial_years,delta_temporal_lengthscale_initial_years,tren_a01_temporal_lengthscale_final_years,early_stop_a01_temporal_lengthscale_final_years,delta_temporal_lengthscale_final_years,tren_a01_temporal_trend_initial,early_stop_a01_temporal_trend_initial,delta_temporal_trend_initial,tren_a01_temporal_trend_final,early_stop_a01_temporal_trend_final,delta_temporal_trend_final,tren_a01_linear_intercept_initial,early_stop_a01_linear_intercept_initial,delta_linear_intercept_initial,tren_a01_linear_intercept_final,early_stop_a01_linear_intercept_final,delta_linear_intercept_final
1,21069.521754003857,37171.815729853464,16102.293975849607,-1983.4539111068477,2992.6093568681363,4976.063267974984,54361.40723527041,54384.114983629246,22.707748358836398,85913.40140075354,84139.73625280043,-1773.6651479531138,93969.79717873488,90298.318990095,-3671.478188639885,1.0,1.0,0.0,5436.140723527041,5438.411498362924,2.270774835883458,0.000990000075674,1.004851217825338,1.003861217749664,23.946009396766307,24.01797806008584,0.07196866331953444,0.9322039284611199,0.9796781768975942,0.0474742484364743,2.002000983642102,2.10247986374339,0.1004788801012877,4.116194479595778,4.891004865368339,0.774810385772561,2.0020009835132098,2.102894010272746,0.10089302675953604,4.177571011722713,5.153611642570321,0.9760406308476082,0.9990005105951396,0.9488811840040848,-0.05011932659105478,0.5850211456822949,0.6484347274818848,0.06341358179958989,7.492503821479682,7.155684544630189,-0.33681927684949287,2.232847107745252,0.7691519973799703,-1.4636951103652815,-0.0009999923559922,-0.036731239860209,-0.0357312475042168,-0.2963026184274863,-0.463627499433218,-0.16732488100573173,-0.0009999928872838,-0.0344959917953496,-0.0334959989080658,-0.2539487919104092,-0.4081880903356097,-0.1542392984252005
2,70102.82244114584,62630.91866174381,-7471.903779402026,-9317.055771976651,18437.21731248776,27754.27308446441,72747.56884673498,74799.84819763765,2052.279350902667,136271.15278853112,118918.64407895507,-17352.508709576054,147955.15366019815,134418.4977269112,-13536.655933286936,1.0,1.0,0.0,7274.7568846734985,7479.984819763764,205.22793509026542,0.0009900000472408,0.6879634360589025,0.6869734360116617,9.845332883044764,9.906049297339727,0.06071641429496388,0.9152015940480069,1.2269575045307208,0.3117559104827139,2.0020009828758445,2.102933779321108,0.10093279644526332,4.137894342592689,4.921415412533235,0.7835210699405462,2.0020009832610737,2.101864634351863,0.09986365109078932,3.89113409823512,4.765992680888976,0.874858582653856,0.9990005120562544,0.94956919600324,-0.04943131605301443,0.6190215066900459,0.7579548974332877,0.13893339074324185,7.492503815621137,7.152278915541547,-0.3402249000795896,2.193995821638323,0.7442512700997882,-1.4497445515385348,-0.0009999926574735,-0.0378930962240312,-0.0368931035665577,-0.292797523463745,-0.5470874179896501,-0.2542898945259051,-0.0009999928475112,-0.0363049821188833,-0.0353049892713721,-0.2972333080845081,-0.519828493277985,-0.22259518519347687
3,69565.38512253066,98317.40433209715,28752.019209566497,-30366.155959452895,-39791.991247891805,-9425.83528843891,79797.15148076779,86933.93477026577,7136.78328949798,153893.12937169665,123646.06037246388,-30247.068999232768,158147.4018104584,133525.06493835044,-24622.33687210796,1.0,1.0,0.0,7979.715148076779,8693.393477026577,713.678328949798,0.0009900000472412,0.3300702443500977,0.3290802443028565,8.416511422098246,8.298482418723761,-0.11802900337448463,1.611559991661823,0.15132502268718984,-1.4602349689746332,2.002000983073101,2.101549250043104,0.09954826697000296,4.068272776440263,4.841688853691534,0.7734160772512713,2.002000983221708,2.101899668363463,0.09989868514175537,3.9497500131986665,4.98868643857677,1.0389364253781035,0.9990005143448558,0.9497297945286396,-0.049270719816216224,0.6712824158622536,0.8358127431040646,0.16453032724181105,7.49250381133016,7.148375143122725,-0.3441286682074347,2.1641663306737593,0.7371663978847213,-1.426999932789038,-0.0009999927255996,-0.0379963208198309,-0.0369963280942313,-0.2515814471578372,-0.4745634483844559,-0.2229820012266187,-0.000999992834518,-0.0352133560708718,-0.0342133632363538,-0.302681278542575,-0.5695745125457338,-0.2668932340031588
