experiment_id,horizon,fold,source_path,source_sha256,step_years,n_logged_points,iteration_first,iteration_last,elbo_first,elbo_last,elbo_smoothed_last,elbo_tail_mean,elbo_tail_std,elbo_tail_range,elbo_tail_slope_per_100_iterations,gradient_clip_norm,gradient_p50,gradient_p90,gradient_p95,fraction_gradient_above_clip,median_gradient_to_clip_ratio,site_precision_initial,site_precision_final,site_precision_min,site_precision_max,site_precision_tail_range,spatial_lengthscale_x_initial_km,spatial_lengthscale_x_final_km,spatial_lengthscale_x_change_abs_km,spatial_lengthscale_x_change_pct,spatial_lengthscale_y_initial_km,spatial_lengthscale_y_final_km,spatial_lengthscale_y_change_abs_km,spatial_lengthscale_y_change_pct,kernel_variance_initial,kernel_variance_final,kernel_variance_change_pct,temporal_lengthscale_initial_steps,temporal_lengthscale_final_steps,temporal_lengthscale_change_pct,temporal_lengthscale_initial_years,temporal_lengthscale_final_years,linear_intercept_initial,linear_intercept_final,temporal_trend_initial,temporal_trend_final
TREN-A01,annual_1y,1,reports/modeling/st_svgp_improvements/annual/temporal/time_trend/metrics/st_svgp_training_history.csv,9d80d7cff98dd48786b25ae493b64506ddbef17260a461a2d9f7b862188b7632,1.0,31,0.0,1499.0,-219798.2092472659,-208491.2748620521,-198122.55775852047,-198122.55775852047,9051.142438574725,21069.521754003857,-1983.4539111068477,10.0,54361.40723527041,85913.40140075354,93969.79717873488,1.0,5436.140723527041,0.000990000075674,2.283948748960714,0.000990000075674,23.946009396766307,0.9322039284611199,2.002000983642102,4.116194479595778,2.114193495953676,105.6040188405637,2.0020009835132098,4.177571011722713,2.175570028209503,108.66977819320078,0.9990005105951396,0.5850211456822949,-41.43935468723862,7.492503821479682,2.232847107745252,-70.1989193339605,7.492503821479682,2.232847107745252,-0.0009999928872838,-0.2539487919104092,-0.0009999923559922,-0.2963026184274863
TREN-A01,annual_1y,2,reports/modeling/st_svgp_improvements/annual/temporal/time_trend/metrics/st_svgp_training_history.csv,9d80d7cff98dd48786b25ae493b64506ddbef17260a461a2d9f7b862188b7632,1.0,31,0.0,1499.0,-310678.8540401018,-248463.30542710793,-241785.18528718496,-241785.18528718496,25021.76995819196,70102.82244114584,-9317.055771976651,10.0,72747.56884673498,136271.15278853112,147955.15366019815,1.0,7274.7568846734985,0.0009900000472408,2.7381721246343025,0.0009900000472408,9.845332883044764,0.9152015940480069,2.0020009828758445,4.137894342592689,2.135893359716844,106.68792762772101,2.0020009832610737,3.89113409823512,1.8891331149740465,94.36224711022989,0.9990005120562544,0.6190215066900459,-38.035916977068744,7.492503815621137,2.193995821638323,-70.71745473036589,7.492503815621137,2.193995821638323,-0.0009999928475112,-0.2972333080845081,-0.0009999926574735,-0.292797523463745
TREN-A01,annual_1y,3,reports/modeling/st_svgp_improvements/annual/temporal/time_trend/metrics/st_svgp_training_history.csv,9d80d7cff98dd48786b25ae493b64506ddbef17260a461a2d9f7b862188b7632,1.0,31,0.0,1499.0,-383743.1440622472,-271340.64880733093,-243976.06056932072,-243976.06056932072,24373.995686883885,69565.38512253066,-30366.155959452895,10.0,79797.15148076779,153893.12937169665,158147.4018104584,1.0,7979.715148076779,0.0009900000472412,2.568217083825166,0.0009900000472412,8.416511422098246,1.611559991661823,2.002000983073101,4.068272776440263,2.0662717933671617,103.2103286081011,2.002000983221708,3.9497500131986665,1.9477490299769586,97.29011355641572,0.9990005143448558,0.6712824158622536,-32.80459757295717,7.49250381133016,2.1641663306737593,-71.11557918194038,7.49250381133016,2.1641663306737593,-0.000999992834518,-0.302681278542575,-0.0009999927255996,-0.2515814471578372
EARLY-STOP-A01,annual_1y,1,reports/modeling/st_svgp_improvements/annual/combined/time_trend_early_stopping/metrics/st_svgp_training_history.csv,2e6e6b9b95f442d5a851d9bd3e5deb258ccb0483d45660d378dda5d4b963006c,1.0,80,49.0,3999.0,-221937.67377832357,-206593.48289593984,-206196.0704428773,-206196.07044287727,12388.10544149811,37171.815729853464,2992.6093568681363,10.0,54384.114983629246,84139.73625280043,90298.318990095,1.0,5438.411498362924,10.495786450267502,3.527026850236279,1.004851217825338,24.01797806008584,0.9796781768975942,2.10247986374339,4.891004865368339,2.7885250016249494,132.6302833959171,2.102894010272746,5.153611642570321,3.0507176322975753,145.07234398855397,0.9488811840040848,0.6484347274818848,-31.663232614053673,7.155684544630189,0.7691519973799703,-89.25117516594325,7.155684544630189,0.7691519973799703,-0.0344959917953496,-0.4081880903356097,-0.036731239860209,-0.463627499433218
EARLY-STOP-A01,annual_1y,2,reports/modeling/st_svgp_improvements/annual/combined/time_trend_early_stopping/metrics/st_svgp_training_history.csv,2e6e6b9b95f442d5a851d9bd3e5deb258ccb0483d45660d378dda5d4b963006c,1.0,80,49.0,3999.0,-301724.9663347479,-243220.50258266713,-245129.80896261698,-245129.80896261692,21128.853322989813,62630.91866174381,18437.21731248776,10.0,74799.84819763765,118918.64407895507,134418.4977269112,1.0,7479.984819763764,2.339750191502941,1.7339360171160418,0.6879634360589025,9.906049297339727,1.2269575045307208,2.102933779321108,4.921415412533235,2.818481633212127,134.02617148134928,2.101864634351863,4.765992680888976,2.664128046537113,126.7506956916201,0.94956919600324,0.7579548974332877,-20.179076930513496,7.152278915541547,0.7442512700997882,-89.59420795961177,7.152278915541547,0.7442512700997882,-0.0363049821188833,-0.519828493277985,-0.0378930962240312,-0.5470874179896501
EARLY-STOP-A01,annual_1y,3,reports/modeling/st_svgp_improvements/annual/combined/time_trend_early_stopping/metrics/st_svgp_training_history.csv,2e6e6b9b95f442d5a851d9bd3e5deb258ccb0483d45660d378dda5d4b963006c,1.0,80,49.0,3999.0,-299029.7676339707,-287039.6749494795,-275024.982914292,-275024.9829142921,34581.754562960436,98317.40433209715,-39791.991247891805,10.0,86933.93477026577,123646.06037246388,133525.06493835044,1.0,8693.393477026577,0.3300702443500977,1.065600989357273,0.3300702443500977,8.298482418723761,0.15132502268718984,2.101549250043104,4.841688853691534,2.74013960364843,130.38664706964295,2.101899668363463,4.98868643857677,2.8867867702133068,137.341796740515,0.9497297945286396,0.8358127431040646,-11.994680179651851,7.148375143122725,0.7371663978847213,-89.68763693671099,7.148375143122725,0.7371663978847213,-0.0352133560708718,-0.5695745125457338,-0.0379963208198309,-0.4745634483844559
