fold,iteration,elbo_stochastic,regularization_spatial_log_lengthscale,regularization_kernel_log_variance,regularization_total,natural_gradient_gamma,minimum_site_precision_eigenvalue,gradient_global_norm,spatial_lengthscale_x_km,spatial_lengthscale_y_km,temporal_lengthscale_steps,temporal_lengthscale_trainable,kernel_variance,linear_intercept,inducing_mean_displacement_m,inducing_max_displacement_m,inducing_min_pairwise_distance_m,elapsed_seconds,temporal_trend_coefficient,completed_iterations,diagnostic_loss_fixed,site_relative_change_since_checkpoint,diagnostic_elbo_endpoint_relative_change,diagnostic_elbo_relative_range,spatial_lengthscale_x_relative_change_window,spatial_lengthscale_y_relative_change_window,kernel_variance_relative_change_window,temporal_lengthscale_relative_change_window,temporal_trend_absolute_change_window,early_stop_elbo_plateau_pass,early_stop_parameter_stability_pass,early_stop_site_stability_pass,early_stop_convergence_gate_pass,early_stop_eligible,early_stop_consecutive_passes,convergence_gate_result
1,1499,-208491.274862052,0.0,0.0,0.0,0.01,2.2839487489608477,73616.23767772752,4.116194479595787,4.177571011722703,2.2328471077452554,True,0.5850211456822968,-0.2539487919104091,0.0,0.0,1546.5185938841307,968.00646412489,-0.2963026184274863,1500,0.169609676495319,0.0769512328588932,0.0017832956747231,0.0090416076965245,0.0364196013283259,0.0540439716903309,0.0031053759379889,0.1441191060360367,0.0239542336754696,False,False,False,False,True,0,FAIL
1,1549,-197611.68281849285,0.0,0.0,0.0,0.01,2.479290557152057,40890.31432078123,4.158984047871777,4.210829041095201,2.174063901809924,True,0.5831527389360244,-0.2640677478387244,0.0,0.0,1546.5185938841307,1000.3490551249124,-0.2989108565798645,1550,0.1682303205179976,0.0750356061392311,0.0121351117180088,0.0153761335353133,0.0400283444010587,0.0500327928851405,0.004691565013754,0.1396851327700082,0.021381111002455,False,False,False,False,True,0,FAIL
1,1599,-187571.02176744057,0.0,0.0,0.0,0.01,2.2045840521231237,38739.045354801114,4.198287363848181,4.233302615754695,2.11255753521067,True,0.5826593102259051,-0.264782096684137,0.0,0.0,1546.5185938841307,1033.6090099578723,-0.3062339970572043,1600,0.1692467860370665,0.0757165020472789,0.0061163901116879,0.0154068705225829,0.0478432194390759,0.0396918700636029,0.0056187298820647,0.1373798183663644,0.0175005451780236,False,False,False,False,True,0,FAIL
1,1649,-180366.19620070176,0.0,0.0,0.0,0.01,2.6980994887818746,66436.09359095921,4.209251440103669,4.272267179229849,2.052852768966869,True,0.5827969978459202,-0.2685925358673198,0.0,0.0,1546.5185938841307,1069.523954416858,-0.3124362538380343,1650,0.1695014311481382,0.0838697767417864,0.0022797036644949,0.0154244665802718,0.04701002295516,0.0359697376927977,0.0072585142439085,0.1324112061957197,0.0179246545786861,False,False,False,False,True,0,FAIL
1,1699,-170716.529462126,0.0,0.0,0.0,0.01,2.448255054242399,38697.4200053282,4.2262721057956565,4.308166580067501,1.989430099012489,True,0.5840329520347342,-0.2691638204665014,0.0,0.0,1546.5185938841307,1103.611941582989,-0.3066751296429923,1700,0.169422218016407,0.0822633762987539,0.008331536024119,0.0154329978440249,0.0403927240615018,0.0347601841220478,0.0046098093040644,0.1315249894328791,0.0123662529406173,False,False,False,False,True,0,FAIL
1,1749,-175654.6411295587,0.0,0.0,0.0,0.01,2.15993073156186,55037.73108842494,4.252303604862307,4.331777490797493,1.93318995319443,True,0.5845796249429561,-0.2727834961396321,0.0,0.0,1546.5185938841307,1139.0658698747866,-0.3108832162279838,1750,0.1692017368707906,0.0801339118729455,0.0024051671635584,0.0081457467959101,0.0330667382071524,0.036912952201667,0.0007547090265014,0.1342040632837692,0.0145805978004974,False,False,False,False,True,0,FAIL
1,1799,-205370.14280943965,0.0,0.0,0.0,0.01,2.039498072764853,59351.982207196175,4.282063630666872,4.356619314801552,1.872736296369638,True,0.5864798520076598,-0.2770421593880467,0.0,0.0,1546.5185938841307,1171.71985520795,-0.3118783227250127,1800,0.1697631677790454,0.0803782999161654,0.0091115992427998,0.0090521851288507,0.0295936655150376,0.0346227007279383,0.0057053887420744,0.1386010803037705,0.0129674661451482,False,False,False,False,True,0,FAIL
1,1849,-221630.0731928215,0.0,0.0,0.0,0.01,1.8760025841353347,51762.13476943218,4.319843023087662,4.387306495752552,1.827227481398774,True,0.5851187392074417,-0.2853930955442064,0.0,0.0,1546.5185938841307,1204.4243987919765,-0.3193415191783416,1850,0.1683272628054714,0.0789863893765669,0.0054330321604672,0.0084796952563588,0.0289536300650136,0.0363791332622227,0.0042210412472136,0.135063802550325,0.0131075221211373,False,False,False,False,True,0,FAIL
1,1899,-160416.1260348459,0.0,0.0,0.0,0.01,1.9129918586162304,42970.75865793743,4.3676034332713085,4.367992463666214,1.77147705177602,True,0.5891026785509749,-0.2870928347105478,0.0,0.0,1546.5185938841307,1238.75762629183,-0.3209487884863706,1900,0.16920343272858,0.0798467959386441,0.0017580879260995,0.0084807808883643,0.0376199890695385,0.0224062027070182,0.0108196863202129,0.1370657075092899,0.0085125346483362,False,False,False,False,True,0,FAIL
1,1949,-213196.0182930779,0.0,0.0,0.0,0.01,2.0684518600662747,40815.192662880065,4.370884246129145,4.409261000142902,1.7239178768546044,True,0.591226848375238,-0.2957200183225576,0.0,0.0,1546.5185938841307,1272.12162158289,-0.3301849272875922,1950,0.1677661434691656,0.0817703415791838,0.0097748368934763,0.0118025638452509,0.0342174229944105,0.0234657639616657,0.0123176206332891,0.1334614482256395,0.0235097976445999,False,False,False,False,True,0,FAIL
1,1999,-158672.60438959187,0.0,0.0,0.0,0.01,1.6566756123977198,48820.830683619286,4.378344078261316,4.452661329442546,1.6777802122421237,True,0.5914316745650772,-0.2975056905719633,0.0,0.0,1546.5185938841307,1308.0972716249526,-0.3352341367191291,2000,0.1675189148928731,0.0760216377624671,0.0099456542766021,0.013298133720805,0.0296405160851843,0.0279062899472239,0.0117213281643021,0.1321182848743156,0.0243509204911453,False,False,False,False,True,0,FAIL
1,2049,-268328.4004008098,0.0,0.0,0.0,0.01,1.4443767943708352,86495.91083296543,4.381141554907692,4.494979146544655,1.6371821567259923,True,0.5916696609200858,-0.3003953298631527,0.0,0.0,1546.5185938841307,1341.988992624916,-0.3399938964595727,2050,0.1674176318832239,0.0789555693638221,0.0138165181912388,0.0139576430363222,0.0231378916303936,0.0317585315001078,0.0088490830412331,0.1257807306347802,0.02811557373456,False,False,False,False,True,0,FAIL
1,2099,-197601.08255845215,0.0,0.0,0.0,0.01,1.4013114731009677,42129.21655725169,4.353178552855311,4.539268290286215,1.5887917256007715,True,0.5955247764873143,-0.2935664273163428,0.0,0.0,1546.5185938841307,1378.964978666976,-0.3409730914817629,2100,0.1676767971619575,0.0798541055361132,0.0038642916938865,0.0106474194508087,0.0077168382252514,0.0346366944458476,0.0177844881433259,0.1304904606707622,0.0216315723034212,False,False,False,False,True,0,FAIL
1,2149,-191090.39747753716,0.0,0.0,0.0,0.01,1.3913858243659545,41376.0490665629,4.389039027653737,4.5258696171092,1.543248609633492,True,0.5990769776066333,-0.2998563684348981,0.0,0.0,1546.5185938841307,1412.832767332904,-0.3440204967404524,2150,0.1680454068832763,0.0815347561247536,0.0068439855304906,0.0106474194508087,0.0049078618766387,0.0361440993216536,0.0169313422240624,0.1288351107420299,0.0230717082540817,False,False,False,False,True,0,FAIL
1,2199,-227823.21693000468,0.0,0.0,0.0,0.01,1.4744808834629062,64549.117661038574,4.376240481052909,4.589648278804949,1.5031704727495647,True,0.5990811556037771,-0.3036115894461696,0.0,0.0,1546.5185938841307,1446.982421041932,-0.3500375865600486,2200,0.1685149267114465,0.0848434706287822,0.0044632559752348,0.0065423635158819,0.0012254350886796,0.0409110004275549,0.0132847607481352,0.1280498375640764,0.0198526592724563,False,False,False,False,True,0,FAIL
