fold,completed_iterations,final_zero_based_iteration,stop_reason,convergence_demonstrated,first_eligible_checkpoint,eligible_checkpoint_count,convergence_gate_pass_count,convergence_gate_sequence,final_patience_count,final_diagnostic_loss_fixed,final_diagnostic_elbo_endpoint_relative_change,final_diagnostic_elbo_relative_range,final_spatial_lengthscale_x_relative_change,final_spatial_lengthscale_y_relative_change,final_kernel_variance_relative_change,final_temporal_lengthscale_relative_change,final_temporal_trend_absolute_change,final_site_median_relative_change,final_site_maximum_relative_change,final_elbo_plateau_pass,final_parameter_stability_pass,final_site_stability_pass,final_convergence_gate_pass,limiting_components_at_4000,training_runtime_seconds
1,4000,3999,MAX_ITERATIONS,False,1500,51,0,FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL,0,0.1667046067880903,0.000108033409114,0.0055324935790255,0.0058633038867936,0.0090252500355477,0.0169289685425499,0.0620794231076557,0.0119429976953622,0.0916461414559561,0.0985900336204389,False,False,False,False,"ELBO,PARAMETER,CVI_SITE",2683.828388707945
2,4000,3999,MAX_ITERATIONS,False,1500,51,0,FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL,0,0.1488241521090723,0.0076000533595191,0.0114145453439888,0.0222992606151099,0.0013057240867113,0.0215798782777374,0.0664839046149551,0.0189467277844862,0.1155169352317612,0.1206739507677208,False,False,False,False,"ELBO,PARAMETER,CVI_SITE",4040.726310750004
3,4000,3999,MAX_ITERATIONS,False,1500,51,0,FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL,0,0.1338935400152153,0.0087100118960808,0.0156414490877683,0.0069898429134965,0.0293936692233942,0.0105137329860334,0.0685555809015941,0.0207093012626627,0.1283416976968239,0.1318850622208362,False,False,False,False,"ELBO,PARAMETER,CVI_SITE",4737.643108875025
