run,iteration,minibatch_elbo,spatial_lengthscale_x_km,spatial_lengthscale_y_km,temporal_lengthscale_steps,kernel_variance
fold_1,1,-195116.78125,2.0,2.0,1.0,0.9993680119514465
fold_1,100,-151100.828125,2.11071515083313,2.1102967262268066,1.0,0.9429453611373901
fold_1,200,-125655.796875,2.2249767780303955,2.2339797019958496,1.0,0.9031310081481934
fold_1,300,-105982.328125,2.3281424045562744,2.336087226867676,1.0,0.8681160807609558
fold_1,400,-97699.4140625,2.419740676879883,2.4363181591033936,1.0,0.8509738445281982
fold_1,500,-73879.171875,2.5109987258911133,2.5250651836395264,1.0,0.8296980857849121
fold_1,600,-85078.7109375,2.584263801574707,2.606397867202759,1.0,0.8225937485694885
fold_1,700,-61748.10546875,2.661090135574341,2.680659294128418,1.0,0.8077588677406311
fold_1,800,-75326.1640625,2.722393751144409,2.7486019134521484,1.0,0.8051810264587402
fold_1,900,-42764.69921875,2.7867367267608643,2.8106048107147217,1.0,0.7928785085678101
fold_1,1000,-70638.0859375,2.8404958248138428,2.869145393371582,1.0,0.7922045588493347
fold_2,1,-361979.375,2.0,2.0,1.0,0.9993680119514465
fold_2,100,-263868.03125,2.114579200744629,2.1097137928009033,1.0493892431259155,0.9430898427963257
fold_2,200,-210189.265625,2.2269318103790283,2.227613925933838,1.1679837703704834,0.9045629501342773
fold_2,300,-155597.6875,2.34503173828125,2.3427162170410156,1.311532974243164,0.8768975138664246
fold_2,400,-181934.265625,2.425415515899658,2.4312844276428223,1.3678184747695923,0.8566510677337646
fold_2,500,-108899.3828125,2.5027384757995605,2.5047249794006348,1.3678812980651855,0.8286082744598389
fold_2,600,-199061.765625,2.5734198093414307,2.5737056732177734,1.4071139097213745,0.8173937201499939
fold_2,700,-95367.515625,2.6401991844177246,2.6379587650299072,1.4645321369171143,0.8122506141662598
fold_2,800,-162242.390625,2.702409505844116,2.70320200920105,1.4720754623413086,0.7917425036430359
fold_2,900,-127219.640625,2.755498170852661,2.749272584915161,1.4791359901428223,0.7804021835327148
fold_2,1000,-112284.015625,2.8099398612976074,2.7973217964172363,1.5116428136825562,0.7677069306373596
fold_3,1,-500346.03125,2.0,2.0,1.0,0.9993680119514465
fold_3,100,-354404.90625,2.111931324005127,2.1137819290161133,1.0523637533187866,0.9429318904876709
fold_3,200,-274448.71875,2.2305915355682373,2.2308266162872314,1.1712595224380493,0.9051734805107117
fold_3,300,-204587.09375,2.340425968170166,2.3456149101257324,1.3189011812210083,0.8762738108634949
fold_3,400,-239719.609375,2.454338788986206,2.4641051292419434,1.4714194536209106,0.8651912808418274
fold_3,500,-256130.609375,2.553776502609253,2.5606093406677246,1.5728777647018433,0.8689244985580444
fold_3,600,-191121.796875,2.606839895248413,2.6109859943389893,1.574822187423706,0.8261758089065552
fold_3,700,-196735.046875,2.6516060829162598,2.6574060916900635,1.5797456502914429,0.807407796382904
fold_3,800,-136298.859375,2.692671537399292,2.7046000957489014,1.595005750656128,0.7879496216773987
fold_3,900,-150294.71875,2.764667272567749,2.783623456954956,1.6474779844284058,0.7978894710540771
fold_3,1000,-180352.640625,2.820838212966919,2.837642192840576,1.688673496246338,0.8038869500160217
