model,pr_auc,roc_auc,log_loss,brier_score,ece,probability_bias,calibration_slope
TEMP-F02,0.5522792337554875,0.8335070917312405,0.5443059915654772,0.1829965113740997,0.20879166566448826,0.13936952139879735,1.1975621180137923
canonical,0.5491353678076941,0.8338773426364288,0.5056125200824768,0.1701994368812183,0.1573583146511451,0.08717753534230337,1.0690512265660346
TEMP-F02_minus_canonical,0.0031438659477933673,-0.0003702509051882741,0.0386934714830004,0.012797074492881394,0.05143335101334315,0.052191986056493986,0.12851089144775774
