model,fold,elbo_tail_range,elbo_tail_slope_per_100_iterations,gradient_p50,gradient_p90,gradient_p95,fraction_gradient_above_clip,median_gradient_to_clip_ratio,site_precision_min,site_precision_max,site_precision_tail_range,spatial_lengthscale_x_initial_km,spatial_lengthscale_x_final_km,spatial_lengthscale_y_initial_km,spatial_lengthscale_y_final_km,kernel_variance_initial,kernel_variance_final,linear_intercept_initial,linear_intercept_final
TEMP-F02,1,6453.330408575748,-2262.523370475479,10615.118573410917,21418.645669331287,34668.69134629846,1.0,1061.5118573410916,3.7904062724658103,68.53097395881662,7.212308056936351,2.002000980721976,4.737861685050474,2.0020009799261507,3.5680175601010036,0.9990005105930296,0.4798070726875532,-0.0009999916041627,-0.3482441335128273
canonical,1,6453.330411752548,-2262.523374566494,10615.118293039504,21418.64542566827,34668.69119853465,1.0,1061.5118293039504,3.790406272465795,68.53097395157826,7.21230805353084,2.002000980721976,4.7378616824602044,2.0020009799261507,3.568017561044325,0.9990005105930296,0.4798070724021864,-0.0009999916041627,-0.3482441348893026
TEMP-F02,2,19283.227501537433,6763.809830268788,24581.20123704911,47750.406798647135,52250.38312784068,1.0,2458.120123704911,1.5754212412803674,58.94111684444993,15.230250958473588,2.0020009815028037,4.359937374372826,2.00200098103722,3.928045554421845,0.9990005103378364,0.4891740012468792,-0.0009999917066265,-0.3024499015842572
canonical,2,19284.0577004682,6762.7880375520235,24581.348509958032,47750.25469821512,52250.39620965819,1.0,2458.1348509958034,1.5754212412803732,58.9414680633853,15.216326430633718,2.002000981502805,4.3598192751750675,2.0020009810372215,3.9273220523321113,0.9990005103378355,0.4892147165985057,-0.0009999917066269,-0.3024344895547398
TEMP-F02,3,13166.813120281411,2026.8969844788016,35363.47251889405,54952.83704666875,73487.90485819128,1.0,3536.347251889405,0.1300298658116356,51.25209218738219,12.73602183362356,2.0020009821596125,4.123815480935868,2.0020009821940516,3.9147998535985264,0.9990005106696536,0.4990392584551836,-0.0009999923375037,-0.2999505667578963
canonical,3,13166.54108444482,2026.63455605574,35363.435860029735,54952.64763714941,73487.93071011313,1.0,3536.3435860029736,0.1300298658116288,51.252237857326705,12.728894983085778,2.002000982159618,4.123683393277425,2.0020009821940574,3.9145825989912177,0.9990005106696488,0.4990640697526461,-0.0009999923375048,-0.2999412495917539
