model,fold,pr_auc,roc_auc,log_loss,brier_score,ece,probability_bias,calibration_slope
TEMP-F02,1,0.6222759833552771,0.8705664012537047,0.45946227566992287,0.14787188461548353,0.18809319762637014,0.18809319762637014,1.4209751643739212
canonical,1,0.6126076379700827,0.8715031463645344,0.34566334330069926,0.11039730207880037,0.0345007725567174,0.034500772556717324,1.0380216417917096
TEMP-F02,2,0.3801924833605492,0.8427084767655905,0.6164219953454584,0.21368759187798958,0.33414858296855837,0.3341485829685583,1.1925047774027429
canonical,2,0.3804221206236642,0.8428602644515566,0.6133215824433311,0.21250143653094422,0.3323030024334553,0.33230300243345534,1.1913041115467995
TEMP-F02,3,0.6543692345506363,0.7872463971744263,0.5570337036810503,0.187430057628826,0.10413321639853632,-0.1041332163985364,0.9792064122647129
canonical,3,0.6543763448293356,0.7872686170931953,0.5578526345034001,0.18769957203391036,0.10527116896326258,-0.1052711689632626,0.9778279263595945
