fold,configured_initial_steps,configured_initial_years,canonical_first_logged_steps,canonical_final_steps,canonical_first_logged_years,canonical_final_years,temp_f02_first_logged_steps,temp_f02_final_steps,temp_f02_first_logged_years,temp_f02_final_years,temp_f02_final_abs_log_distance_from_1p5_years,prior_penalty_first,prior_penalty_final,prior_penalty_min,prior_penalty_max,prior_penalty_late_change_last_5,temp_f01_final_steps,temp_f01_final_years
1,1.5,7.5,1.5,1.5,7.5,7.5,1.4985117962295371,0.5250068145002035,7.492558981147686,2.6250340725010175,0.5596287678515708,2.590290393980234,0.3139154447158072,0.3139154447158072,2.590290393980234,-0.19392980453961733,1.5,7.5
2,1.5,7.5,1.498500814587591,0.7663929372431434,7.4925040729379555,3.831964686215717,1.498500814434285,0.7555285270372273,7.4925040721714256,3.7776426351861363,0.9236350654929433,2.590290393980234,0.8548429919346973,0.8548429919346973,2.590290393980234,-0.22511684920712993,1.5,7.5
3,1.5,7.5,1.498500769874591,0.7846782998935097,7.492503849372954,3.9233914994675483,1.4985007698692003,0.7806254098623915,7.492503849346002,3.9031270493119576,0.9563129312673995,2.590290393980234,0.9154705292306734,0.9154705292306734,2.590290393980234,-0.23525010213284403,1.5,7.5
