feature,coefficient_standardised,odds_ratio_per_standard_deviation
ndbi_t,0.9116796489242839,2.4884988294293158
savi_t,0.7232009650482755,2.0610199158276687
log_distance_to_built_m_t,-0.5273046839681694,0.5901935860393788
built_fraction_11x11_t,-0.02077489856111354,0.9794394129780652
recent_local_growth_5y_t,0.1877909885741183,1.2065812997146532
elevation_m,-0.07079425321581759,0.931653557133039
slope_degrees,0.007682013286373821,1.0077115956526321
log_population_density_t,0.6653066227213092,1.9450868377294488
built_fraction_x_recent_growth_t,-0.12714173429784342,0.8806088512744246
x_center_m,0.05790575081630788,1.0596151231435234
y_center_m,0.06842815149293537,1.0708236851039017
