experiment_id,fold,pr_auc,roc_auc,log_loss,brier_score,ece,probability_bias,calibration_slope
annual_1500,1,0.1313428001633457,0.8899135864024732,0.159568562315512,0.0397696388214087,0.1073573532746614,0.1073573532746614,1.329110520855212
annual_1500,2,0.235851772257908,0.7136965835894253,0.3807785485662138,0.1067874993033636,0.0545573967433677,-0.0100135420943762,0.408611689624224
annual_1500,3,0.1391895520173807,0.7944062459877559,0.1662601831735095,0.0438254234245217,0.0215118886336791,0.0204374152273768,0.7223345364225324
TREN-A01_time_trend,1,0.1315265288607662,0.8900727772925524,0.1473224400324874,0.0359494913597243,0.0969617174337688,0.0969617174337689,1.3161493894149148
TREN-A01_time_trend,2,0.2362855186816536,0.7142149928462667,0.3865043436939746,0.1059377222904669,0.0541179519781533,-0.0232584764364564,0.3984556242487562
TREN-A01_time_trend,3,0.1393470016472066,0.7945967615843808,0.1635760975414477,0.0428263288616561,0.0131992808901054,0.0109747615554734,0.7043522964555631
