experiment_id,fold,elbo_tail_range,elbo_tail_slope_per_100_iterations,gradient_p50,gradient_p90,gradient_p95,fraction_gradient_above_clip,median_gradient_to_clip_ratio,site_precision_min,site_precision_max,site_precision_tail_range,spatial_lengthscale_x_initial_km,spatial_lengthscale_x_final_km,spatial_lengthscale_y_initial_km,spatial_lengthscale_y_final_km,kernel_variance_initial,kernel_variance_final,temporal_lengthscale_initial_years,temporal_lengthscale_final_years,linear_intercept_initial,linear_intercept_final
annual_1500,1,21055.054740230815,-1996.7748360889927,53974.37681530777,84934.64923744365,92914.62028635954,1.0,5397.437681530777,0.0009900000756738,24.392802735601332,0.94411514013548,2.002000983824504,4.120212829625614,2.002000983702679,4.184321697144557,0.999000510370724,0.5848829042032468,7.492503820234345,2.2317189172284175,-0.0009999929112447,-0.3025682654829861
annual_1500,2,70056.3935862543,-9245.642550745835,73181.25531227032,134732.41906032574,146952.1793054528,1.0,7318.125531227032,0.0009900000472447,10.319739841339931,0.8521074322010973,2.00200098336538,4.149352838445437,2.002000983704532,3.8985282574988296,0.99900051139196,0.6187428554599745,7.492503813605355,2.1978923798198178,-0.0009999929045357,-0.3551782513402989
annual_1500,3,69754.14148861397,-30405.632329333264,74359.43638256776,148550.54826135797,155878.06417070306,1.0,7435.943638256776,0.0009900000472417,8.843174297891757,1.5708351648386802,2.0020009836609014,4.0816835309572275,2.0020009837870845,3.948140499443869,0.9990005131614966,0.6704846908122926,7.492503809434663,2.1672547729051095,-0.0009999929084168,-0.3671157758311759
TREN-A01_time_trend,1,21069.521754003857,-1983.4539111068475,54361.40723527041,85913.40140075354,93969.79717873488,1.0,5436.140723527041,0.000990000075674,23.946009396766307,0.93220392846112,2.002000983642102,4.116194479595778,2.0020009835132098,4.177571011722713,0.9990005105951396,0.5850211456822949,7.492503821479682,2.232847107745252,-0.0009999928872838,-0.2539487919104092
TREN-A01_time_trend,2,70102.82244114584,-9317.055771976651,72747.56884673498,136271.15278853112,147955.15366019815,1.0,7274.756884673499,0.0009900000472408,9.845332883044764,0.9152015940480068,2.0020009828758445,4.137894342592689,2.0020009832610737,3.89113409823512,0.9990005120562544,0.6190215066900459,7.492503815621137,2.193995821638323,-0.0009999928475112,-0.2972333080845081
TREN-A01_time_trend,3,69565.38512253066,-30366.155959452895,79797.15148076779,153893.12937169665,158147.4018104584,1.0,7979.715148076779,0.0009900000472412,8.416511422098246,1.611559991661823,2.002000983073101,4.068272776440263,2.002000983221708,3.9497500131986665,0.9990005143448558,0.6712824158622536,7.49250381133016,2.1641663306737593,-0.000999992834518,-0.302681278542575
