year,index_name,threshold,mapping_method,mapping_validation_status,source_composite_asset,source_count_asset
2008,ndbi,-0.054677480911238655,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2008,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2008
2008,ibui,0.11714579201230763,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2008,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2008
2008,ndbsui,-0.039059796103512054,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2008,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2008
2009,ndbi,-0.09372755711824246,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2009,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2009
2009,ibui,0.02345095412253152,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2009,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2009
2009,ndbsui,-0.050779274092271294,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2009,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2009
2010,ndbi,-0.07032236403193173,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2010,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2010
2010,ibui,0.10156561908007,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2010,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2010
2010,ndbsui,-0.04298555967106818,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2010,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2010
2011,ndbi,-0.08592953889986817,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2011,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2011
2011,ibui,0.09388020733069463,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2011,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2011
2011,ndbsui,-0.04101278758357514,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2011,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2011
2012,ndbi,-0.10942785422386128,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2012,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2012
2012,ibui,0.0312023518174084,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2012,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2012
2012,ndbsui,-0.05860492291008392,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2012,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2012
2013,ndbi,-0.12888020589941185,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2013,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2013
2013,ibui,-0.023463991290257155,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2013,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2013
2013,ndbsui,-0.06447376714340894,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2013,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2013
2014,ndbi,-0.1210742857640156,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2014,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2014
2014,ibui,9.36982827737104e-05,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2014,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2014
2014,ndbsui,-0.0663992079561394,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2014,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2014
2015,ndbi,-0.11721394232017193,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2015,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2015
2015,ibui,0.007793729336352206,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2015,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2015
2015,ndbsui,-0.046875290225915786,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2015,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2015
2016,ndbi,-0.0859126898813,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2016,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2016
2016,ibui,0.039010737818748836,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2016,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2016
2016,ndbsui,-0.04491340361814007,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2016,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2016
2017,ndbi,-0.08984054631449388,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2017,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2017
2017,ibui,0.038983632995177556,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2017,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2017
2017,ndbsui,-0.046885834052255354,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2017,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2017
2018,ndbi,-0.0819718470312336,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2018,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2018
2018,ibui,0.07032174822074597,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2018,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2018
2018,ndbsui,-0.03906002127741781,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2018,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2018
2019,ndbi,-0.07814545645938709,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2019,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2019
2019,ibui,0.08591319443643522,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2019,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2019
2019,ndbsui,-0.04687217668757519,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2019,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2019
2020,ndbi,-0.04296461758494903,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2020,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2020
2020,ibui,0.11716369319366349,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2020,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2020
2020,ndbsui,-0.031249017202975283,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2020,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2020
2021,ndbi,-0.06640257314625914,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2021,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2021
2021,ibui,0.10155862290281822,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2021,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2021
2021,ndbsui,-0.046864610937009596,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2021,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2021
2022,ndbi,-0.06246112636015052,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2022,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2022
2022,ibui,0.10155808951125475,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2022,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2022
2022,ndbsui,-0.03711275269173475,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2022,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2022
2023,ndbi,-0.054655926596957345,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2023,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2023
2023,ibui,0.12502086526828404,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2023,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2023
2023,ndbsui,-0.03711320110665798,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2023,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2023
2024,ndbi,-0.07030450440898775,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2024,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2024
2024,ibui,0.08591426702467116,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2024,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2024
2024,ndbsui,-0.035161967889028076,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2024,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2024
2025,ndbi,-0.0742126680631688,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2025,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2025
2025,ibui,0.0782060772084891,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2025,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2025
2025,ndbsui,-0.03710993327144256,ndbi,PROVISIONAL_ANNUAL_PROTOCOL,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2025,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2025
