task_id,state,description,asset_id,product_type,year,band_names,recipe_sha256,error_message
FSUP4JDHT2TQ6KZH2QA7KAIS,COMPLETED,sprawlgp_annual_state_2015,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/annual_dataset/states/state_2015,annual_state,2015,"ndbi,ibui,ndbsui,savi,mndwi,built_state_raw,built_state_final,built_state_valid,persistence_corrected,valid_observation_count",aa07c85daa053e297eded6f8dc861a3740b23c9785f6845c9b54f713fbd811d3,
47Q3CB3D7NUDPUXW547ER6RG,COMPLETED,sprawlgp_annual_state_2016,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/annual_dataset/states/state_2016,annual_state,2016,"ndbi,ibui,ndbsui,savi,mndwi,built_state_raw,built_state_final,built_state_valid,persistence_corrected,valid_observation_count",40afbe5f0b6b789ee4a3bc3fdfa321a011e9530d999d64ec587241f75845f29a,
MEMPBINROFHMQSU6F4R3IKZA,COMPLETED,sprawlgp_annual_state_2017,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/annual_dataset/states/state_2017,annual_state,2017,"ndbi,ibui,ndbsui,savi,mndwi,built_state_raw,built_state_final,built_state_valid,persistence_corrected,valid_observation_count",1efd9e13627cb5370bb978ab75113afe0b6e17ae3a72176ba0a469f742aceda4,
76RXZ5DTITQNS7ITIJ5ZIISE,COMPLETED,sprawlgp_annual_state_2018,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/annual_dataset/states/state_2018,annual_state,2018,"ndbi,ibui,ndbsui,savi,mndwi,built_state_raw,built_state_final,built_state_valid,persistence_corrected,valid_observation_count",6e1b019ace6feaa35ebea5460baa95b67f96f85981a67de82fbe09872701cd39,
JFOU6XV6TDBJHQIV6XEMEZPE,COMPLETED,sprawlgp_annual_state_2019,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/annual_dataset/states/state_2019,annual_state,2019,"ndbi,ibui,ndbsui,savi,mndwi,built_state_raw,built_state_final,built_state_valid,persistence_corrected,valid_observation_count",832ff5c50c1f5f182172738937621f274559078422a3125aedb38490a3e827fe,
X7VGXBXWKOPBJNUPKP2XSWXM,COMPLETED,sprawlgp_annual_state_2020,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/annual_dataset/states/state_2020,annual_state,2020,"ndbi,ibui,ndbsui,savi,mndwi,built_state_raw,built_state_final,built_state_valid,persistence_corrected,valid_observation_count",a7b2037eb385f19e6412778e3fe64928d40971d681131e2f64f3859b1e91a3a9,
5XLBD7R4YLHP6OPWCQVEXJZQ,COMPLETED,sprawlgp_annual_state_2021,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/annual_dataset/states/state_2021,annual_state,2021,"ndbi,ibui,ndbsui,savi,mndwi,built_state_raw,built_state_final,built_state_valid,persistence_corrected,valid_observation_count",ecbd0bc22eb3bbb414e3d1ac7a06bdbaf12ca0ec5f4bc91fd685db56421f34b1,
7WLXZ5BNDT2B24RYZK7Z4OHG,COMPLETED,sprawlgp_annual_state_2022,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/annual_dataset/states/state_2022,annual_state,2022,"ndbi,ibui,ndbsui,savi,mndwi,built_state_raw,built_state_final,built_state_valid,persistence_corrected,valid_observation_count",c0aba62787a8f8714ac3e76649309f0a031b8778f5f4b8a89601a0cb6f95c134,
4H4P3F6PRIN7PJWMABNPYSDK,COMPLETED,sprawlgp_annual_state_2023,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/annual_dataset/states/state_2023,annual_state,2023,"ndbi,ibui,ndbsui,savi,mndwi,built_state_raw,built_state_final,built_state_valid,persistence_corrected,valid_observation_count",fe8e71e8a82dfe97eba9ce5af2e2bbd5f385cd0ed1a0b3052bec204070b04dc1,
CDQGE5GWTBK6Q3RNBF4WWD52,COMPLETED,sprawlgp_annual_state_2024,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/annual_dataset/states/state_2024,annual_state,2024,"ndbi,ibui,ndbsui,savi,mndwi,built_state_raw,built_state_final,built_state_valid,persistence_corrected,valid_observation_count",68b385cb83dcef0e799127f227379c24c60bb5c953428063d49ba83971a0ec8e,
5PPD4JV7KWIDEX3LPYDONT5J,COMPLETED,sprawlgp_annual_state_2025,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/annual_dataset/states/state_2025,annual_state,2025,"ndbi,ibui,ndbsui,savi,mndwi,built_state_raw,built_state_final,built_state_valid,persistence_corrected,valid_observation_count",6805946a741c321a0419b0fae2930d029865692a729dfd9ef353d3c4dfeec41f,
