model,folds,mean_log_loss,std_log_loss,worst_log_loss,mean_brier_score,std_brier_score,worst_brier_score,mean_pr_auc,std_pr_auc,worst_pr_auc,mean_roc_auc,std_roc_auc,worst_roc_auc,mean_ece,std_ece,worst_ece,mean_calibration_intercept,mean_calibration_slope,mean_probability_bias,mean_absolute_probability_bias,coverage_folds,mean_empirical_coverage,worst_fold_empirical_coverage,mean_absolute_coverage_gap,mean_average_set_size,mean_singleton_rate,mean_both_labels_rate,mean_empty_set_rate,mean_positive_class_coverage,worst_positive_class_coverage,mean_negative_class_coverage,worst_negative_class_coverage
logistic_regression,3,0.47576894026923205,0.20339162965464555,0.7105784105848683,0.15168887618179128,0.06474418398099197,0.22643021063583002,0.5545985588681244,0.14293652010823826,0.3939589839089733,0.8360349911096728,0.029503421886600937,0.8025770253742122,0.12839140641777794,0.093783786258472,0.21256029160728238,-0.036457596808441815,0.8359103883451472,-0.03144233690646859,0.1283198469858172,2,0.7153555373455472,0.6507133572424162,0.0846444626544528,0.9315446325524541,0.9315446325524541,0.0,0.06845536744754584,0.3197361220558603,0.035753637201771944,0.8897371524412482,0.8001987597392273
st_svgp,3,0.5056125200824768,0.1412692656286814,0.6133215824433311,0.1701994368812183,0.05325415116051736,0.21250143653094422,0.5491353678076941,0.1475949729825113,0.3804221206236642,0.8338773426364288,0.04282970515475849,0.7872686170931953,0.1573583146511451,0.15558388441391474,0.3323030024334553,-0.760738430160243,1.0690512265660346,0.08717753534230337,0.1573583146511451,2,0.6889907514657608,0.6159108093071031,0.11100924853423921,0.9905139202143534,0.9052947449211017,0.04260958764662584,0.052095667432272424,0.6076594022604448,0.37606530098266283,0.7793115136474811,0.5903164255048498
svgp_strong,3,0.4962041843940381,0.12491666823033566,0.6382721173406279,0.16296897902278068,0.04976607801202478,0.2193546899843877,0.5346036957906781,0.12199683114896918,0.39452860560448544,0.8239258722078286,0.04936213903487936,0.7673262721469136,0.1714189855315562,0.0657249843821396,0.23776927107209644,-0.375800412324056,1.3408055713432898,0.05798564792728653,0.1714189855315562,2,0.705730967372026,0.6539473478145115,0.09426903262797404,0.9728995962560849,0.9728995962560849,0.0,0.027100403743915098,0.36651431689157793,0.01088349711047649,0.8795464482084725,0.7615678168230243
