fold,validation_origin,validation_target_year,temporal_lengthscale_steps,temporal_lengthscale_years,spatial_lengthscale_x_km,spatial_lengthscale_y_km,kernel_variance,mean_latent_variance,median_latent_variance,natural_gradient_gamma,minimum_natural_gradient_gamma,minimum_site_precision_eigenvalue
1,2010,2011,0.8252339352972287,0.8252339352972287,4.787131949837591,5.05899465004188,0.6157967504050428,0.5267231467890415,0.5259738972326169,0.01,0.01,3.548403689528635
2,2015,2016,0.7713176446801897,0.7713176446801897,4.883190846555651,4.652186300517684,0.7291564495093059,0.6432419560163617,0.6426234503936032,0.01,0.01,1.736818646438571
3,2018,2019,0.755441332433209,0.755441332433209,4.793462141001671,4.913798700429934,0.8101736851941784,0.7222489489347436,0.7210007105929375,0.01,0.01,1.1046272454533128
