model,fold,pr_auc,roc_auc,log_loss,brier_score,ece,probability_bias,calibration_slope
TEMP-A01,1,0.13137758799017243,0.8899333754067421,0.15968933260362334,0.03980298198083668,0.10746528071309905,0.10746528071309903,1.3298511257587515
annual_1500,1,0.1313428001633457,0.8899135864024732,0.159568562315512,0.0397696388214087,0.1073573532746614,0.1073573532746614,1.329110520855212
TEMP-A01,2,0.2358985254429808,0.7137472032555169,0.3806902224339136,0.10678000956067385,0.054540242268743,-0.009966534155178342,0.40892179968896175
annual_1500,2,0.235851772257908,0.7136965835894253,0.3807785485662138,0.1067874993033636,0.0545573967433677,-0.0100135420943762,0.408611689624224
TEMP-A01,3,0.13920652717887042,0.7944375508057453,0.16626194633962663,0.043826915520203895,0.021543031890793332,0.020472700431504474,0.7226192804249294
annual_1500,3,0.1391895520173807,0.7944062459877559,0.1662601831735095,0.0438254234245217,0.0215118886336791,0.0204374152273768,0.7223345364225324
