fold,iteration,elbo_stochastic,natural_gradient_gamma,minimum_site_precision_eigenvalue,gradient_global_norm,spatial_lengthscale_x_km,spatial_lengthscale_y_km,temporal_lengthscale_steps,temporal_lengthscale_trainable,kernel_variance,linear_intercept,elapsed_seconds
1,0,-74404.28715316622,0.01,3.7904062724657943,75524.76874087365,2.002000980721976,2.0020009799261507,1.5,False,0.9990005105930295,-0.0009999916041627513,0.10709254187531769
1,50,-63303.58203982016,0.01,61.14757344787697,34668.691198534645,2.108488708574752,2.1077784580283963,1.5,False,0.9481376791119529,-0.03874133074892268,3.2550664169248194
1,100,-64571.250405305735,0.01,68.53097395157847,21418.64542566827,2.23053416060205,2.231888366331677,1.5,False,0.894800881220263,-0.0814217169142685,6.606959333876148
1,150,-64660.031559346986,0.01,62.723106461709975,16434.70281725374,2.3717556487259555,2.3662472645055024,1.5,False,0.8428203576078203,-0.1301600463668371,10.001156250014901
1,200,-61666.35649337472,0.01,53.64593129510856,15883.370184270498,2.5125767531616012,2.5021553576253877,1.5,False,0.7970922605876335,-0.16919737736744733,13.486157542094588
1,250,-52421.49438379702,0.01,44.78819786763219,11466.058631930222,2.661550983350394,2.631885577826997,1.5,False,0.7550396840157642,-0.2100975936063528,16.560533416923136
1,300,-55612.76894532907,0.01,37.624437707254465,12698.157790545542,2.805573783070313,2.7429177728054692,1.5,False,0.7198918561307418,-0.22834408750058602,19.684812041930854
1,350,-51598.9228624943,0.01,31.985405858478295,10615.118293039506,2.959034090313211,2.8561324680930182,1.5,False,0.6870920596206233,-0.2591939571308183,23.08508487488143
1,400,-56209.70261270044,0.01,26.98079733049261,9710.893408847485,3.0983096312162095,2.9626723968764623,1.5,False,0.6596288407022196,-0.2731578207626046,26.272098291898146
1,450,-61126.32280512802,0.01,23.303758849282357,12167.327036164861,3.231536738907156,3.0579915463620804,1.5,False,0.6361204371527202,-0.28125638205267844,29.753315791953355
1,500,-53727.413948638205,0.01,23.74178131365693,5623.3065403866485,3.3647194802506517,3.1435149533308175,1.5,False,0.6150158791640855,-0.2868446580967466,32.83473979192786
1,550,-53103.73337664839,0.01,26.635826794099533,10243.513531784669,3.5125500083684176,3.2264542663482483,1.5,False,0.5941342108512483,-0.30589643329590294,35.906392792006955
1,600,-56248.183602399855,0.01,25.181992907903393,6576.012060896583,3.645249308580618,3.2955270273788932,1.5,False,0.5768802575469996,-0.3153827264545442,39.12852704199031
1,650,-54049.34519026684,0.01,24.57324265614007,9650.774036140552,3.783519492387267,3.3524681222362154,1.5,False,0.5609440109910411,-0.31907316567233257,42.58125733397901
1,700,-53666.51021024692,0.01,24.38820690936009,6543.400170965807,3.921101568010162,3.400500436218529,1.5,False,0.5464775256820203,-0.3216228703102167,45.97912295907736
1,750,-55723.79347201927,0.01,22.89640096351581,5447.422032065199,4.050811648989434,3.4514698811356905,1.5,False,0.5329580178762556,-0.3319173949579014,50.066531541990116
1,800,-49203.515474583444,0.01,20.469386778190625,12497.57253918697,4.192083371345535,3.498482360428171,1.5,False,0.5198339213858437,-0.34630195321978224,54.095369667047635
1,850,-47981.26730413015,0.01,18.867769177590905,9629.793913760603,4.3145997532995635,3.5362948868143915,1.5,False,0.5092266423515397,-0.3425350974305388,57.51585924997926
1,900,-51779.69767291142,0.01,17.250428026919433,4898.326061377199,4.457675610289911,3.542445646367434,1.5,False,0.49881290914262244,-0.34041440417720253,60.7938105838839
1,950,-54434.59771588268,0.01,16.395868557685407,7754.503775342356,4.6031223383119855,3.5638482066939776,1.5,False,0.4883768866374622,-0.356614670419324,63.99086962500587
1,999,-51594.04343061192,0.01,23.608176611216958,15423.355120991488,4.737861682460205,3.5680175610443308,1.5,False,0.479807072402186,-0.3482441348893023,67.2980110840872
2,0,-143391.34976831684,0.01,1.5754212412803703,132838.87081423233,2.002000981503009,2.002000981037443,1.5,False,0.9990005103376924,-0.0009999917066873057,0.1443507089279592
2,50,-126956.74693619084,0.01,56.197236472061114,52251.14487952667,2.1078589448392595,2.107355403258429,1.5,False,0.9483122765127071,-0.0396598794288483,6.220842249924317
2,100,-129482.08611170767,0.01,58.94870812778299,47747.781435026154,2.2282998140569807,2.2324592819789753,1.5,False,0.8955075715220678,-0.08212998890897441,13.18586541689001
2,150,-119353.98638526496,0.01,51.85296473521432,26935.62698564733,2.3605081675545536,2.361729955685569,1.5,False,0.8465204824317473,-0.12235075371786203,19.882747916970402
2,200,-98897.60203201456,0.01,43.62508949108785,34190.06189021406,2.4906384205017242,2.4929901362863554,1.5,False,0.8025016594042198,-0.15788434031947615,26.197219541994855
2,250,-124462.70487935802,0.01,36.318306884306125,23367.83693218222,2.6240263035476925,2.6177410371808336,1.5,False,0.7635508451628303,-0.19238525527934336,32.89148462493904
2,300,-107038.7600547949,0.01,33.67058085520026,32546.67026724848,2.755848705135043,2.740412276793279,1.5,False,0.7288204948676561,-0.21015842272912788,39.50153891695663
2,350,-110950.04672137098,0.01,27.636400002107784,24584.475986032732,2.887537971554782,2.8583952483026787,1.5,False,0.6977636979841444,-0.22948371342362966,45.64413958392106
2,400,-102885.18541529568,0.01,23.305717504022475,33195.691532006764,3.0153923758207664,2.970556459010069,1.5,False,0.6705197979386409,-0.24173135860469527,51.83125024987385
2,450,-111745.39299595011,0.01,19.6547989208502,33685.761375190224,3.145560178342913,3.0723576587458625,1.5,False,0.6463594412832815,-0.2528904200202342,58.4509711668361
2,500,-107504.18767131498,0.01,22.62851553400637,34989.96755569221,3.2770152316456023,3.1614954384935006,1.5,False,0.6243053015775257,-0.26448176742566165,64.64977437490597
2,550,-102208.0024360107,0.01,27.24047141461344,21911.476127602775,3.39281397771882,3.267613126285053,1.5,False,0.604636936707612,-0.27412457471983726,71.68442816683091
2,600,-107953.34647883891,0.01,24.471253881495556,13788.595691314522,3.5228648416329222,3.354538773218504,1.5,False,0.5862275557340044,-0.27946932569356997,78.11177574982867
2,650,-108275.27847917103,0.01,21.85600412432522,24645.81283716211,3.6232718565079396,3.452036617492845,1.5,False,0.5705318907111196,-0.29138052880738585,84.21407783403993
2,700,-101433.68540544056,0.01,23.810632013870816,17217.38943952204,3.722145309940167,3.5414012538462982,1.5,False,0.5562814663982258,-0.288577586536751,90.23353608394973
2,750,-108583.2833864053,0.01,33.900544357895185,13224.479153030537,3.8392062357619765,3.60949688460646,1.5,False,0.5425229438280618,-0.2948281528805157,96.84257654193789
2,800,-111490.52112775507,0.01,32.69971725023503,24275.235894815218,3.9507878050387952,3.670293718211913,1.5,False,0.5306201653233104,-0.30106890866322655,103.09642475005239
2,850,-110354.87781250122,0.01,29.20561884033377,12533.111414187957,4.0723715073788105,3.7295614475985306,1.5,False,0.5188797387907549,-0.3073918079389406,109.25651958398521
2,900,-107341.7568715502,0.01,24.584422102911986,33360.93012617434,4.183375597337213,3.7810635471596883,1.5,False,0.5086142865563581,-0.303782668268879,115.50177741702646
2,950,-92177.93558788106,0.01,21.146139387313603,18017.003408202658,4.271188480017192,3.837272869663459,1.5,False,0.4999691253057602,-0.3019860491675917,122.2507000840269
2,999,-104015.89631169105,0.01,18.3537910316262,21440.24164376866,4.351755255163592,3.8851507212149174,1.5,False,0.49227362878086617,-0.30176056484079977,128.80160558386706
3,0,-164107.3521517256,0.01,0.13002986581163475,128590.23068754037,2.002000982164892,2.0020009821992932,1.5,False,0.9990005106650787,-0.0009999923385870285,0.23941012495197356
3,50,-162338.44051771204,0.01,31.768697116081462,73492.08082614388,2.1077079296211636,2.1066554068316017,1.5,False,0.9478771860052219,-0.0388473978832783,10.488798042060807
3,100,-155473.8554503658,0.01,50.86972213344161,54943.61657745148,2.2268978803300654,2.2246151023232814,1.5,False,0.8966528584665943,-0.07488155872392485,19.25939195905812
3,150,-161114.54743848395,0.01,51.25710650314817,49465.19157439422,2.3509413221359434,2.3481138274525044,1.5,False,0.8492420947993573,-0.11360848991694669,27.927975374972448
3,200,-150655.5250234459,0.01,49.32776035774826,27477.16051455678,2.4810342825110214,2.477414372967415,1.5,False,0.8050936463203122,-0.1389182338048772,37.29371037497185
3,250,-129082.61835298968,0.01,43.704447369586106,42853.33638828254,2.6113769925620582,2.6082285474112865,1.5,False,0.7651006953696904,-0.16931191477005583,46.36476662498899
3,300,-170362.36604547026,0.01,39.91257457070951,45570.817476215285,2.729313483330084,2.7343405060725336,1.5,False,0.731069414066651,-0.202473326704502,55.74353483412415
3,350,-123570.28485419306,0.01,36.58847825039072,31575.339645390784,2.850639482974726,2.8468776800558104,1.5,False,0.7013535514443935,-0.2165779838218711,65.54121787496842
3,400,-145729.72238119907,0.01,29.379458791769988,35362.00098609775,2.9696093808818746,2.9671550822999553,1.5,False,0.6734631401595069,-0.23239387236207296,74.80825125006959
3,450,-138327.05661118848,0.01,22.94204521222613,14740.889227868323,3.0828984306022655,3.072012890124828,1.5,False,0.6504157740191955,-0.23897578003766046,83.71960837510414
3,500,-141767.61855794414,0.01,17.61660885082016,23192.60844064004,3.2004627493993962,3.1712687076318664,1.5,False,0.6289850660684876,-0.25379816380590736,92.85413104202598
3,550,-151215.38187340074,0.01,14.472898048773644,15208.516694628606,3.2978815259025906,3.262895111886478,1.5,False,0.6111347094749058,-0.26747090449619454,102.44149612495676
3,600,-147871.85620353092,0.01,11.882373814311276,40049.44904643153,3.402915295747812,3.347763182163253,1.5,False,0.5942115267476556,-0.2649892429063532,111.44342637504451
3,650,-121533.05932672345,0.01,9.696740220630302,48224.360058232814,3.5101166145488403,3.439518104302488,1.5,False,0.577435932464307,-0.28011615534144063,120.29042745893821
3,700,-136362.10856244297,0.01,17.029432368978437,25694.76443319002,3.595372058667833,3.511270630694094,1.5,False,0.5648699094184877,-0.28491692076558545,129.03317137504928
3,750,-136831.44259905632,0.01,26.192410435379568,50067.79393220266,3.6747369515046846,3.5887265147968503,1.5,False,0.553139927987286,-0.29042565814656207,138.28867999999784
3,800,-143362.6791165424,0.01,25.372827687559738,28342.222911573008,3.7690810303528464,3.6523278516304383,1.5,False,0.5418348141522539,-0.295129910159665,147.09149900008924
3,850,-137514.54125177953,0.01,21.226422696335565,26140.390552751665,3.849948122170495,3.7148173932882416,1.5,False,0.5314300522895304,-0.2904059954779279,156.55615999992006
3,900,-147908.7642803448,0.01,18.173234370932338,16845.518419489825,3.9331083098414132,3.770086923653173,1.5,False,0.5216016872706162,-0.291754640952283,166.04312495910563
3,950,-144760.63256837244,0.01,16.309328030700613,36832.43455419667,4.030370966262789,3.8137456363272664,1.5,False,0.5124355777788975,-0.29120508026521574,175.77086387504824
3,999,-134839.77399126565,0.01,13.886095254059875,25111.799565994123,4.103253059430404,3.88041115560521,1.5,False,0.5037055022453513,-0.2987813452819014,184.98015054198913
