experiment_id,horizon,fold,source_path,source_sha256,step_years,n_logged_points,iteration_first,iteration_last,elbo_first,elbo_last,elbo_smoothed_last,elbo_tail_mean,elbo_tail_std,elbo_tail_range,elbo_tail_slope_per_100_iterations,gradient_clip_norm,gradient_p50,gradient_p90,gradient_p95,fraction_gradient_above_clip,median_gradient_to_clip_ratio,site_precision_initial,site_precision_final,site_precision_min,site_precision_max,site_precision_tail_range,spatial_lengthscale_x_initial_km,spatial_lengthscale_x_final_km,spatial_lengthscale_x_change_abs_km,spatial_lengthscale_x_change_pct,spatial_lengthscale_y_initial_km,spatial_lengthscale_y_final_km,spatial_lengthscale_y_change_abs_km,spatial_lengthscale_y_change_pct,kernel_variance_initial,kernel_variance_final,kernel_variance_change_pct,temporal_lengthscale_initial_steps,temporal_lengthscale_final_steps,temporal_lengthscale_change_pct,temporal_lengthscale_initial_years,temporal_lengthscale_final_years,linear_intercept_initial,linear_intercept_final
annual_1500,annual_1y,1,reports/modeling/st_svgp_annual/experiments/convergence_1500/metrics/st_svgp_training_history.csv,813dde139c2b6cdcafafd3640ed3870ead04189eb3f65f5331e09ca43d7895aa,1.0,31,0.0,1499.0,-219798.20924726603,-208518.0850671249,-198128.0179529525,-198128.0179529525,9046.653131010955,21055.054740230815,-1996.7748360889927,10.0,53974.37681530777,84934.64923744365,92914.62028635954,1.0,5397.437681530777,0.0009900000756738,2.306681130634719,0.0009900000756738,24.392802735601332,0.9441151401354799,2.002000983824504,4.120212829625614,2.11821184580111,105.80473550790191,2.002000983702679,4.184321697144557,2.182320713441878,109.00697508178538,0.999000510370724,0.5848829042032468,-41.453192652904676,7.492503820234345,2.2317189172284175,-70.21397691915203,7.492503820234345,2.2317189172284175,-0.0009999929112447,-0.3025682654829861
annual_1500,annual_1y,2,reports/modeling/st_svgp_annual/experiments/convergence_1500/metrics/st_svgp_training_history.csv,813dde139c2b6cdcafafd3640ed3870ead04189eb3f65f5331e09ca43d7895aa,1.0,31,0.0,1499.0,-310678.8540401009,-248405.09702039475,-241955.94255130133,-241955.94255130127,24967.56941202932,70056.3935862543,-9245.642550745835,10.0,73181.25531227032,134732.41906032574,146952.1793054528,1.0,7318.125531227032,0.0009900000472447,2.7679162860807174,0.0009900000472447,10.319739841339931,0.8521074322010973,2.00200098336538,4.149352838445437,2.147351855080057,107.26027973624372,2.002000983704532,3.8985282574988296,1.8965272737942978,94.73158551025963,0.99900051139196,0.6187428554599745,-38.06380993760979,7.492503813605355,2.1978923798198178,-70.66544863375648,7.492503813605355,2.1978923798198178,-0.0009999929045357,-0.3551782513402989
annual_1500,annual_1y,3,reports/modeling/st_svgp_annual/experiments/convergence_1500/metrics/st_svgp_training_history.csv,813dde139c2b6cdcafafd3640ed3870ead04189eb3f65f5331e09ca43d7895aa,1.0,31,0.0,1499.0,-383743.14406224806,-271441.1664108506,-244047.38430080895,-244047.38430080895,24441.558636442605,69754.14148861397,-30405.632329333264,10.0,74359.43638256776,148550.54826135797,155878.06417070306,1.0,7435.943638256776,0.0009900000472417,2.5915716072730226,0.0009900000472417,8.843174297891757,1.5708351648386802,2.0020009836609014,4.0816835309572275,2.079682547296326,103.88019607729535,2.0020009837870845,3.948140499443869,1.9461395156567844,97.20971824775881,0.9990005131614966,0.6704846908122926,-32.884449809696626,7.492503809434663,2.1672547729051095,-71.07435874538932,7.492503809434663,2.1672547729051095,-0.0009999929084168,-0.3671157758311759
OPT-A01_clip_100k,annual_1y,1,reports/modeling/st_svgp_improvements/annual/optimizer/clip_100k/metrics/st_svgp_training_history.csv,ab28ef2beb649b06f16e8332c7b1be3bd1dddaa39b2e309cf623b8b2a0014964,1.0,31,0.0,1499.0,-219798.2092472659,-209064.86978568733,-198711.47561203572,-198711.47561203572,9095.638686313288,21345.48732276971,-1860.5239939533108,100000.0,53284.42710788818,86735.81912265526,92443.25907567727,0.03225806451612903,0.5328442710788818,0.0009900000756741,2.2310937444256274,0.0009900000756741,24.36906149901061,0.9106800550826692,2.0020009869682656,3.9283496126079367,1.9263486256396711,96.22116263573083,2.002000986968253,3.971307724910796,1.969306737942543,98.36692143317967,0.9990005065028288,0.5891229375866901,-41.0287648753037,7.492503798770462,2.469634234064943,-67.03859883968006,7.492503798770462,2.469634234064943,-0.0009999933242193,-0.2493343181772578
OPT-A01_clip_100k,annual_1y,2,reports/modeling/st_svgp_improvements/annual/optimizer/clip_100k/metrics/st_svgp_training_history.csv,ab28ef2beb649b06f16e8332c7b1be3bd1dddaa39b2e309cf623b8b2a0014964,1.0,31,0.0,1499.0,-310678.85404010117,-248551.61141042068,-242756.2189323663,-242756.2189323663,25044.10317677273,70194.00170132055,-8879.428220619713,100000.0,73060.84710362837,134557.9482734941,146684.57704859469,0.22580645161290322,0.7306084710362838,0.000990000047244,2.6725237112864875,0.000990000047244,10.331142364391162,0.7303440917329644,2.0020009869682194,3.990960293984923,1.9889593070167035,99.34856775613953,2.0020009869682536,3.8059414058699024,1.8039404189016488,90.10686960916341,0.9990005065029308,0.6136868371528077,-38.569917316552704,7.492503798769797,2.3673033292608436,-68.4043759891115,7.492503798769797,2.3673033292608436,-0.0009999933242186,-0.3074013471781972
OPT-A01_clip_100k,annual_1y,3,reports/modeling/st_svgp_improvements/annual/optimizer/clip_100k/metrics/st_svgp_training_history.csv,ab28ef2beb649b06f16e8332c7b1be3bd1dddaa39b2e309cf623b8b2a0014964,1.0,31,0.0,1499.0,-383743.14406224946,-272149.54929586186,-244609.01360908165,-244609.0136090816,24550.75195385899,70100.82198095447,-30522.902965006455,100000.0,77094.73408856594,150074.2814389186,156522.9607367817,0.3548387096774194,0.7709473408856593,0.00099000004724,2.744934253913997,0.00099000004724,8.867167753111877,1.7267925954711594,2.002000986968249,3.995322077939189,1.99332109097094,99.5664389751149,2.0020009869682616,3.849745177168749,1.8477441902004874,92.29486909487625,0.999000506503108,0.6569614301608085,-34.238128420932426,7.4925037987693806,2.2733533345052725,-69.65829587061853,7.4925037987693806,2.2733533345052725,-0.000999993324219,-0.3300643113487561
OPT-A02_adam_lr_5e_4,annual_1y,1,reports/modeling/st_svgp_improvements/annual/optimizer/adam_lr_5e_4/metrics/st_svgp_training_history.csv,506e5901fd4008418efa406d1ef6801b5e84a035051bcddd6ea62d534471a5f8,1.0,31,0.0,1499.0,-219798.209247266,-211575.0875967089,-201500.61231505894,-201500.6123150589,9456.681923051314,23080.375828484364,-1284.0517611103928,10.0,61192.89064723701,88571.7521149896,114299.15312517883,1.0,6119.289064723701,0.000990000075674,2.171032011167128,0.000990000075674,24.401584116973492,0.7628593440230576,2.0010002417913415,3.438502520832598,1.4375022790412566,71.8391856741792,2.0010002417304595,3.4384373141776736,1.437437072447214,71.83592697640668,0.9995001302504788,0.6298402362677605,-36.98447681943573,7.496250973103661,3.6770909062670016,-50.94760141488991,7.496250973103661,3.6770909062670016,-0.0004999964556223,-0.2145760942909268
OPT-A02_adam_lr_5e_4,annual_1y,2,reports/modeling/st_svgp_improvements/annual/optimizer/adam_lr_5e_4/metrics/st_svgp_training_history.csv,506e5901fd4008418efa406d1ef6801b5e84a035051bcddd6ea62d534471a5f8,1.0,31,0.0,1499.0,-310678.85404010105,-252003.40077051497,-248635.9600565058,-248635.9600565058,25312.27523381578,70307.12166537007,-7732.518627267258,10.0,82662.34033957038,146185.31731278854,171596.92232993466,1.0,8266.234033957038,0.0009900000472449,2.4148825240653036,0.0009900000472449,10.035259917885208,0.92687256191557,2.0010002415618944,3.412976476467384,1.4119762349054894,70.5635214618146,2.0010002417313855,3.341834945188456,1.3408347034570705,67.00822296237705,0.999500130761352,0.6436630623457312,-35.60150293773028,7.49625096978751,3.69579711886398,-50.69806048704447,7.49625096978751,3.69579711886398,-0.0004999964522678,-0.2365863385550159
OPT-A02_adam_lr_5e_4,annual_1y,3,reports/modeling/st_svgp_improvements/annual/optimizer/adam_lr_5e_4/metrics/st_svgp_training_history.csv,506e5901fd4008418efa406d1ef6801b5e84a035051bcddd6ea62d534471a5f8,1.0,31,0.0,1499.0,-383743.1440622496,-278952.52532316715,-250405.06980063068,-250405.06980063068,25103.025298527973,71470.73717341362,-31198.383493316534,10.0,82688.42826552708,147098.8982988141,167919.0251593677,1.0,8268.842826552707,0.0009900000472408,2.323699018150068,0.0009900000472408,9.051025303889938,1.4150561089871243,2.001000241709581,3.3949399178438284,1.3939396761342473,69.66214431555072,2.001000241772642,3.332797128199716,1.3317968864270742,66.556557996578,0.9995001316465628,0.6639980714275778,-33.56698509546802,7.49625096770112,3.669591339133306,-51.04764561719761,7.49625096770112,3.669591339133306,-0.0004999964542084,-0.2429415373469444
OPT-A03_adam_lr_5e_4_clip_100k,annual_1y,1,reports/modeling/st_svgp_improvements/annual/optimizer/adam_lr_5e_4_clip_100k/metrics/st_svgp_training_history.csv,86389a6a6a6b547da5f1de27467650f85bcf30985f46bf2854e4f0162ecab89f,1.0,31,0.0,1499.0,-219798.20924726603,-212702.8812124113,-202695.490413587,-202695.49041358696,9748.89469154745,24322.24213886037,-891.8576853367643,100000.0,62996.94364494491,92197.03723107082,114439.21725549104,0.0967741935483871,0.6299694364494491,0.0009900000756748,2.2069542359917715,0.0009900000756748,24.464874440886003,0.7379382430412913,2.0010002433624368,3.2599520225811687,1.258951779218732,62.91612324360426,2.0010002433624305,3.261146171601842,1.2601459282394116,62.975800848574316,0.999500128315564,0.6546666972247603,-34.50058897660614,7.496250962366351,3.943983637893668,-47.387251871718746,7.496250962366351,3.943983637893668,-0.0004999966621096,-0.170377968225716
