dependency_name,dependency_path,observed_sha256,status
grid_specification,/Users/omer/Documents/MIORPA/Pending.../SprawlGP/data/metadata/grid_specification.json,2e7b714996005503134f3bb5d6404ef0d3c0cba198f170c7bcd347ccac7ac525,PASS
grid_reference,/Users/omer/Documents/MIORPA/Pending.../SprawlGP/tests/reference/grid_v1.json,2e7b714996005503134f3bb5d6404ef0d3c0cba198f170c7bcd347ccac7ac525,PASS
built_up_version,/Users/omer/Documents/MIORPA/Pending.../SprawlGP/data/metadata/built_up_candidates/built_up_candidates_version.json,c1111134937904e4a5bfe3bd3c0b022caffea51acc5e2c7b6fb3ec1873f5bf15,PASS
built_up_output_manifest,/Users/omer/Documents/MIORPA/Pending.../SprawlGP/data/metadata/built_up_candidates/output_manifest.csv,7fcf8ab17a7d505f97aa6df48c9abed3fee8bb76a80810c0e7d6ff5b1c4dd43f,PASS
core_boundary,/Users/omer/Documents/MIORPA/Pending.../SprawlGP/data/processed/boundaries/yaounde_core.gpkg,8c499234ee75f6d76803c192f62f0e2079d3a87c512bcb28031160b38e37b521,PASS
terrain_asset,projects/urban-sprawl-ssa/assets/sprawlgp/v1/terrain/elevation_slope,cc7891e82f695eeee14b15a2134b13e3179b3e7c24fc1895d916effa18eb763b,PASS
