epoch,asset_id,count_asset_id,selected_scene_count,selected_scene_ids_sha256,sensors,band_names,crs,transform,width,height,status
2015,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2015,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2015,19,cd57592203f1718314031f08cf3d079edf2426e125792f1d22d738d9b8c9c390,"{""LC08"": 19}","blue,green,red,nir,swir1,swir2",EPSG:32632,"[30, 0, 762570, 0, -30, 444150]",946,1278,PASS
2016,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2016,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2016,15,ff246b2363e7284732de482d509dc2271eeee627c2aeb72ac03cff2f8e54d159,"{""LC08"": 15}","blue,green,red,nir,swir1,swir2",EPSG:32632,"[30, 0, 762570, 0, -30, 444150]",946,1278,PASS
2017,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2017,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2017,34,0d5412666c5fce2dd40114aef7ae2887019e93bed2f16f2453555db77ebe7d7d,"{""LC08"": 15, ""LE07"": 19}","blue,green,red,nir,swir1,swir2",EPSG:32632,"[30, 0, 762570, 0, -30, 444150]",946,1278,PASS
2018,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2018,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2018,21,e0ea70fbd273ce91b2ced96b8f6ab32b65fc4e5545326c3dd95871d0a949a7a8,"{""LC08"": 21}","blue,green,red,nir,swir1,swir2",EPSG:32632,"[30, 0, 762570, 0, -30, 444150]",946,1278,PASS
2019,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2019,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2019,16,57e9c709d92989fc154b21aecf8a04329fd9851cccd8f1cec4693681b2bc72ca,"{""LC08"": 16}","blue,green,red,nir,swir1,swir2",EPSG:32632,"[30, 0, 762570, 0, -30, 444150]",946,1278,PASS
2020,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2020,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2020,25,ab59038ffcaef078ab5893c626f7892a070e406096bb516077fe62a75881dd80,"{""LC08"": 25}","blue,green,red,nir,swir1,swir2",EPSG:32632,"[30, 0, 762570, 0, -30, 444150]",946,1278,PASS
2021,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2021,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2021,25,c538ffd7e0c439605b8afe78185d5fc06aacfe32a782f386e135f9e437b46596,"{""LC08"": 23, ""LC09"": 2}","blue,green,red,nir,swir1,swir2",EPSG:32632,"[30, 0, 762570, 0, -30, 444150]",946,1278,PASS
2022,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2022,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2022,34,446966a3a9572aa30e35b1bc0132ddae0f2ca6e7d572b9e0314b386b6e8bca01,"{""LC08"": 14, ""LC09"": 20}","blue,green,red,nir,swir1,swir2",EPSG:32632,"[30, 0, 762570, 0, -30, 444150]",946,1278,PASS
2023,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2023,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2023,35,9fc03a1faccc543995f5269f421f2f6770d887db46acb5032a5eee8166b45146,"{""LC08"": 18, ""LC09"": 17}","blue,green,red,nir,swir1,swir2",EPSG:32632,"[30, 0, 762570, 0, -30, 444150]",946,1278,PASS
2024,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2024,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2024,49,af240b4de412b91b9a420512655df1200edd00cfe756635b161ed16e679cc53c,"{""LC08"": 19, ""LC09"": 30}","blue,green,red,nir,swir1,swir2",EPSG:32632,"[30, 0, 762570, 0, -30, 444150]",946,1278,PASS
2025,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/composite_2025,projects/urban-sprawl-ssa/assets/sprawlgp/annual_v1/landsat/valid_count_2025,28,01726c010e5a4c63f7bf68fca3547eb5384857f77c2ed6a12e45df5a2b9385c7,"{""LC08"": 17, ""LC09"": 11}","blue,green,red,nir,swir1,swir2",EPSG:32632,"[30, 0, 762570, 0, -30, 444150]",946,1278,PASS
