common_valid_area_ha,common_valid_cells,common_valid_pct_of_core,demand_scope,eligible_nonbuilt_area_ha,eligible_nonbuilt_cells,new_built_cells,observed_new_built_area_ha,period_end,period_start,population_change,population_end,population_start,quality_flag
27187.56199785164,302420,93.83790787752017,PAIRWISE_COMMON_VALID_SUPPORT,17753.399999999998,197260,30314,2728.2599999999998,2005,2000,4118088.356593974,21203251.860646777,17085163.504052803,PASS
27336.37359761638,304075,94.35153132014196,PAIRWISE_COMMON_VALID_SUPPORT,15205.05,168945,33774,3039.66,2010,2005,5040082.113971956,25989619.932522073,20949537.818550117,PASS
28057.136936096533,312092,96.83924698082308,PAIRWISE_COMMON_VALID_SUPPORT,12617.46,140194,14414,1297.26,2015,2010,6715867.195241515,33281433.832223237,26565566.636981722,PASS
28416.465722251432,316089,98.0794707837374,PAIRWISE_COMMON_VALID_SUPPORT,11493.539999999999,127706,44471,4002.39,2020,2015,8609191.423221327,42587785.33084362,33978593.90762229,PASS
28940.420800271713,321917,99.88790246095476,PAIRWISE_COMMON_VALID_SUPPORT,7785.0,86500,5314,478.26,2025,2020,9174024.782044195,51869049.37300535,42695024.59096116,PASS
