epoch,tracking_support_area_ha,tracking_support_pct_of_core,built_area_ha,pba,nump,mps_ha,tracking_quality_flag
2000,85398.20999999999,294.75204005119525,12494.52,0.14630892146334218,4079,3.0631331208629566,PASS
2005,85398.20999999999,294.75204005119525,15922.08,0.1864451257233612,4625,3.4426118918918918,PASS
2010,85398.20999999999,294.75204005119525,20901.51,0.24475349073475897,5348,3.9082853403141358,PASS
2015,85398.20999999999,294.75204005119525,24021.989999999998,0.281293835081555,6357,3.778824917413874,PASS
2020,85398.20999999999,294.75204005119525,36681.39,0.4295334761700509,5191,7.066343671739549,PASS
2025,85398.20999999999,294.75204005119525,38197.08,0.4472819746456045,5392,7.084028189910979,PASS
