method,mean_yearly_weighted_f1,minimum_yearly_weighted_f1,reversal_rate,reviewed_samples,uncertain_samples,rank,selected
ndbi,0.8859474144768109,0.5400964542736986,0.09462226236840035,205,65,1,True
ibui,0.8859474144768109,0.5400964542736986,0.10549514009077142,205,65,2,False
ndbsui,0.8606461631101912,0.4420018799942016,0.06202885884784652,205,65,3,False
vbswir1_bi,0.242232984635388,0.041698166917945124,0.42849011161245687,205,65,4,False
