scope,fold,distance_context,feature,mean_absolute_shap,rank
fold_x_distance_context,2,peripheral,recent_local_growth_1y_t,0.012957383635825931,6
fold_x_distance_context,2,peripheral,savi_t,0.034068854502779584,2
fold_x_distance_context,2,peripheral,slope_degrees,0.006166784328006042,8
fold_x_distance_context,3,near_built,built_fraction_11x11_t,0.006538716404746724,8
fold_x_distance_context,3,near_built,built_fraction_x_recent_growth_t,0.006783645303157207,7
fold_x_distance_context,3,near_built,elevation_m,0.026551470325469125,3
fold_x_distance_context,3,near_built,log_distance_to_built_m_t,0.021149723273994274,4
fold_x_distance_context,3,near_built,log_population_density_t,0.02838830799777827,2
fold_x_distance_context,3,near_built,ndbi_t,0.09846190159676702,1
fold_x_distance_context,3,near_built,recent_local_growth_1y_t,0.01419702782164103,6
fold_x_distance_context,3,near_built,savi_t,0.020288691328590958,5
fold_x_distance_context,3,near_built,slope_degrees,0.006071257878380499,9
fold_x_distance_context,3,peripheral,built_fraction_11x11_t,0.007763168925298138,7
fold_x_distance_context,3,peripheral,built_fraction_x_recent_growth_t,0.003529375788465143,9
fold_x_distance_context,3,peripheral,elevation_m,0.01990122781003393,4
fold_x_distance_context,3,peripheral,log_distance_to_built_m_t,0.0290895173011396,2
fold_x_distance_context,3,peripheral,log_population_density_t,0.023465746281372643,3
fold_x_distance_context,3,peripheral,ndbi_t,0.07119034125681503,1
fold_x_distance_context,3,peripheral,recent_local_growth_1y_t,0.007961265423833224,6
fold_x_distance_context,3,peripheral,savi_t,0.01987363213118695,5
fold_x_distance_context,3,peripheral,slope_degrees,0.004335314373782104,8
