fold,iteration,elbo_stochastic,natural_gradient_gamma,minimum_site_precision_eigenvalue,gradient_global_norm,spatial_lengthscale_x_km,spatial_lengthscale_y_km,temporal_lengthscale_steps,temporal_lengthscale_trainable,kernel_variance,linear_intercept,elapsed_seconds
1,0,-74404.28715316622,0.01,3.7904062724657956,75524.76874087367,2.002000980721976,2.0020009799261507,1.5,True,0.9990005105930295,-0.0009999916041627515,0.13307700003497303
1,50,-63303.582039820176,0.01,61.14757344787702,34668.69119853465,2.108488708574752,2.1077784580283963,1.5,True,0.9481376791119529,-0.03874133074892268,3.5254399580881
1,100,-64571.250405305735,0.01,68.53097395157826,21418.64542566827,2.23053416060205,2.231888366331677,1.5,True,0.894800881220263,-0.08142171691426849,7.068091083085164
1,150,-64660.03155934698,0.01,62.72310646171012,16434.702817253736,2.3717556487259555,2.3662472645055024,1.5,True,0.8428203576078203,-0.1301600463668371,11.039844250073656
1,200,-61666.356493374726,0.01,53.64593129510848,15883.370184270498,2.5125767531616017,2.502155357625388,1.5,True,0.7970922605876335,-0.16919737736744733,14.79718920798041
1,250,-52421.494383797035,0.01,44.78819786763211,11466.058631930231,2.6615509833503945,2.6318855778269974,1.5,True,0.7550396840157643,-0.21009759360635283,18.601040750043467
1,300,-55612.76894532907,0.01,37.624437707254444,12698.157790545547,2.805573783070314,2.74291777280547,1.5,True,0.719891856130742,-0.22834408750058607,23.15910004102625
1,350,-51598.9228624943,0.01,31.98540585847868,10615.118293039503,2.959034090313212,2.856132468093019,1.5,True,0.6870920596206234,-0.2591939571308183,26.408782083075494
1,400,-56209.70261270044,0.01,26.980797330492567,9710.893408847474,3.0983096312162104,2.9626723968764637,1.5,True,0.6596288407022198,-0.27315782076260464,29.555274041136727
1,450,-61126.32280512804,0.01,23.30375884928253,12167.327036164857,3.231536738907156,3.0579915463620817,1.5,True,0.6361204371527205,-0.2812563820526785,32.734979290980846
1,500,-53727.413948638205,0.01,23.741781313656972,5623.306540386653,3.3647194802506517,3.1435149533308193,1.5,True,0.6150158791640858,-0.28684465809674664,35.90642570797354
1,550,-53103.73337664841,0.01,26.635826794099707,10243.513531784685,3.5125500083684176,3.226454266348248,1.5,True,0.5941342108512485,-0.30589643329590294,39.57668116618879
1,600,-56248.183602399855,0.01,25.181992907903528,6576.012060896606,3.6452493085806195,3.295527027378893,1.5,True,0.5768802575469998,-0.31538272645454435,43.26984937512316
1,650,-54049.34519026683,0.01,24.573242656140334,9650.774036140563,3.7835194923872684,3.352468122236214,1.5,True,0.5609440109910415,-0.3190731656723328,46.82436633296311
1,700,-53666.5102102469,0.01,24.388206909359944,6543.400170965801,3.921101568010164,3.4005004362185276,1.5,True,0.5464775256820207,-0.32162287031021686,50.380997208179906
1,750,-55723.793472019286,0.01,22.896400963515926,5447.422032065185,4.050811648989436,3.4514698811356905,1.5,True,0.5329580178762563,-0.3319173949579016,54.098625250160694
1,800,-49203.51547458344,0.01,20.469386778190394,12497.572539186956,4.192083371345538,3.498482360428171,1.5,True,0.5198339213858443,-0.3463019532197825,57.616311999969184
