acquisition_date,acquisition_month,acquisition_year,candidate_for_composite,cloud_cover_land_pct,cloud_cover_scene_pct,collection_id,day_of_year,earth_engine_asset_id,epoch,has_positive_core_coverage,landsat7_orbit_drift_period,landsat_product_id,landsat_scene_id,relative_year,sensor_key,sensor_role,slc_off,system_index,valid_area_context_m2,valid_area_core_m2,valid_fraction_context,valid_fraction_core,wrs_path,wrs_row,selected_window_name,selected_sensor_mode,selection_status
2009-02-20,2,2009,True,19.0,19.0,LANDSAT/LE07/C02/T1_L2,51,LANDSAT/LE07/C02/T1_L2/LE07_185058_20090220,2010,True,False,LE07_L2SP_185058_20090220_20200912_02_T1,LE71850582009051ASN00,-1,LE07,supplemental,True,LE07_185058_20090220,132003831.81303231,24592792.98330175,0.1667330796444573,0.0848820590312714,185,58,Feb-Jan_12m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2009-03-24,3,2009,True,18.0,18.0,LANDSAT/LE07/C02/T1_L2,83,LANDSAT/LE07/C02/T1_L2/LE07_185057_20090324,2010,True,False,LE07_L2SP_185057_20090324_20200912_02_T1,LE71850572009083ASN00,-1,LE07,supplemental,True,LE07_185057_20090324,264031932.500347,112061126.28190848,0.3334968131274662,0.386779132513751,185,57,Feb-Jan_12m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2009-03-24,3,2009,True,16.0,16.0,LANDSAT/LE07/C02/T1_L2,83,LANDSAT/LE07/C02/T1_L2/LE07_185058_20090324,2010,True,False,LE07_L2SP_185058_20090324_20200912_02_T1,LE71850582009083ASN00,-1,LE07,supplemental,True,LE07_185058_20090324,5484731.604132439,1318823.6604714787,0.0069277245881433,0.0045519216900653,185,58,Feb-Jan_12m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2009-05-11,5,2009,True,44.0,44.0,LANDSAT/LE07/C02/T1_L2,131,LANDSAT/LE07/C02/T1_L2/LE07_185057_20090511,2010,True,False,LE07_L2SP_185057_20090511_20200912_02_T1,LE71850572009131ASN00,-1,LE07,supplemental,True,LE07_185057_20090511,233950186.09920892,73030108.40126356,0.2955007780907762,0.252063520259176,185,57,Feb-Jan_12m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2009-05-11,5,2009,True,84.0,84.0,LANDSAT/LE07/C02/T1_L2,131,LANDSAT/LE07/C02/T1_L2/LE07_185058_20090511,2010,True,False,LE07_L2SP_185058_20090511_20200912_02_T1,LE71850582009131ASN01,-1,LE07,supplemental,True,LE07_185058_20090511,70666668.75908826,10435726.628604429,0.0892585552145638,0.0360189249071817,185,58,Feb-Jan_12m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2009-05-27,5,2009,True,84.0,84.0,LANDSAT/LE07/C02/T1_L2,147,LANDSAT/LE07/C02/T1_L2/LE07_185058_20090527,2010,True,False,LE07_L2SP_185058_20090527_20200912_02_T1,LE71850582009147ASN00,-1,LE07,supplemental,True,LE07_185058_20090527,4026477.3457713407,34164.64892578125,0.0050858142431045,0.0001179193330692,185,58,Feb-Jan_12m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2009-10-18,10,2009,True,76.0,76.0,LANDSAT/LE07/C02/T1_L2,291,LANDSAT/LE07/C02/T1_L2/LE07_185058_20091018,2010,True,False,LE07_L2SP_185058_20091018_20200911_02_T1,LE71850582009291ASN00,-1,LE07,supplemental,True,LE07_185058_20091018,60395033.96090329,9631466.109183757,0.0762845280263964,0.0332430186108802,185,58,Feb-Jan_12m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2009-12-21,12,2009,True,74.0,74.0,LANDSAT/LE07/C02/T1_L2,355,LANDSAT/LE07/C02/T1_L2/LE07_185057_20091221,2010,True,False,LE07_L2SP_185057_20091221_20200911_02_T1,LE71850572009355ASN00,-1,LE07,supplemental,True,LE07_185057_20091221,335520097.9896385,124108830.93608162,0.4237929948856189,0.4283618018080116,185,57,Feb-Jan_12m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2009-12-21,12,2009,True,65.0,65.0,LANDSAT/LE07/C02/T1_L2,355,LANDSAT/LE07/C02/T1_L2/LE07_185058_20091221,2010,True,False,LE07_L2SP_185058_20091221_20200911_02_T1,LE71850582009355ASN00,-1,LE07,supplemental,True,LE07_185058_20091221,44918641.47252651,8376105.052926576,0.0567364092639936,0.0289101381871263,185,58,Feb-Jan_12m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2010-01-22,1,2010,True,4.0,4.0,LANDSAT/LE07/C02/T1_L2,22,LANDSAT/LE07/C02/T1_L2/LE07_185057_20100122,2010,True,False,LE07_L2SP_185057_20100122_20200911_02_T1,LE71850572010022ASN00,0,LE07,supplemental,True,LE07_185057_20100122,542954747.865403,199853664.62063447,0.685802192071222,0.6897952001410732,185,57,Feb-Jan_12m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2010-01-22,1,2010,True,52.0,52.0,LANDSAT/LE07/C02/T1_L2,22,LANDSAT/LE07/C02/T1_L2/LE07_185058_20100122,2010,True,False,LE07_L2SP_185058_20100122_20200911_02_T1,LE71850582010022ASN00,0,LE07,supplemental,True,LE07_185058_20100122,123406698.00870912,20990587.63182039,0.1558741024797598,0.07244904227328,185,58,Feb-Jan_12m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2015-03-01,3,2015,True,61.29,61.29,LANDSAT/LC08/C02/T1_L2,60,LANDSAT/LC08/C02/T1_L2/LC08_185057_20150301,2015,True,False,LC08_L2SP_185057_20150301_20200909_02_T1,LC81850572015060LGN01,0,LC08,primary,False,LC08_185057_20150301,156613577.627603,67482319.03880209,0.1978174705486731,0.2329153175935717,185,57,Mar-May_3m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2015-03-09,3,2015,True,35.0,35.0,LANDSAT/LE07/C02/T1_L2,68,LANDSAT/LE07/C02/T1_L2/LE07_185057_20150309,2015,True,False,LE07_L2SP_185057_20150309_20200905_02_T1,LE71850572015068ASN00,0,LE07,supplemental,True,LE07_185057_20150309,412824836.7306842,174746268.86061198,0.5214360480029014,0.6031369889134683,185,57,Mar-May_3m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2015-03-09,3,2015,True,76.0,76.0,LANDSAT/LE07/C02/T1_L2,68,LANDSAT/LE07/C02/T1_L2/LE07_185058_20150309,2015,True,False,LE07_L2SP_185058_20150309_20200905_02_T1,LE71850582015068ASN00,0,LE07,supplemental,True,LE07_185058_20150309,39774092.24024157,4665453.652727675,0.050238366554928,0.0161028197418398,185,58,Mar-May_3m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2015-03-25,3,2015,True,26.0,26.0,LANDSAT/LE07/C02/T1_L2,84,LANDSAT/LE07/C02/T1_L2/LE07_185058_20150325,2015,True,False,LE07_L2SP_185058_20150325_20200905_02_T1,LE71850582015084ASN00,0,LE07,supplemental,True,LE07_185058_20150325,26419893.80029225,6646362.891173838,0.0333707756562816,0.0229399307209606,185,58,Mar-May_3m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2015-04-10,4,2015,True,37.0,37.0,LANDSAT/LE07/C02/T1_L2,100,LANDSAT/LE07/C02/T1_L2/LE07_185057_20150410,2015,True,False,LE07_L2SP_185057_20150410_20200905_02_T1,LE71850572015100ASN00,0,LE07,supplemental,True,LE07_185057_20150410,493193114.5111,174425929.3855938,0.6229486349937814,0.6020313367719242,185,57,Mar-May_3m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2015-04-10,4,2015,True,41.0,41.0,LANDSAT/LE07/C02/T1_L2,100,LANDSAT/LE07/C02/T1_L2/LE07_185058_20150410,2015,True,False,LE07_L2SP_185058_20150410_20200905_02_T1,LE71850582015100ASN00,0,LE07,supplemental,True,LE07_185058_20150410,138660492.71091217,27574310.90307857,0.1751410595978298,0.0951727722593755,185,58,Mar-May_3m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2015-04-18,4,2015,True,66.63,66.63,LANDSAT/LC08/C02/T1_L2,108,LANDSAT/LC08/C02/T1_L2/LC08_185057_20150418,2015,True,False,LC08_L2SP_185057_20150418_20200909_02_T1,LC81850572015108LGN01,0,LC08,primary,False,LC08_185057_20150418,313178190.4369861,109076677.09141606,0.3955730939916683,0.3764783020007136,185,57,Mar-May_3m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2015-04-18,4,2015,True,71.43,71.43,LANDSAT/LC08/C02/T1_L2,108,LANDSAT/LC08/C02/T1_L2/LC08_185058_20150418,2015,True,False,LC08_L2SP_185058_20150418_20200909_02_T1,LC81850582015108LGN01,0,LC08,primary,False,LC08_185058_20150418,203792217.6752384,87440160.36830935,0.2574084675715563,0.301799834574552,185,58,Mar-May_3m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
2015-04-26,4,2015,True,82.0,82.0,LANDSAT/LE07/C02/T1_L2,116,LANDSAT/LE07/C02/T1_L2/LE07_185057_20150426,2015,True,False,LE07_L2SP_185057_20150426_20200904_02_T1,LE71850572015116ASN00,0,LE07,supplemental,True,LE07_185057_20150426,11822924.374623016,2900950.924333639,0.0149334497666438,0.0100126361317847,185,57,Mar-May_3m,primary_plus_supplemental,PASS_SHORTEST_ACCEPTABLE
