epoch,asset_id,count_asset_id,selected_scene_count,selected_scene_ids_sha256,sensors,band_names,crs,transform,width,height,status
2000,projects/urban-sprawl-ssa/assets/sprawlgp/v2/landsat/composite_2000,projects/urban-sprawl-ssa/assets/sprawlgp/v2/landsat/valid_count_2000,6,3e7dbf9251583f59176eb5b9fd2a60c5dbae99c3af444bb7031c3798a6b367f5,"{""LE07"": 6}","blue,green,red,nir,swir1,swir2",EPSG:32632,"[30, 0, 762570, 0, -30, 444150]",946,1278,PASS
2005,projects/urban-sprawl-ssa/assets/sprawlgp/v2/landsat/composite_2005,projects/urban-sprawl-ssa/assets/sprawlgp/v2/landsat/valid_count_2005,6,acee020ad1149c8531009fc3a9d0ea43ec662cdf9b7fbef5cdae31df7ed4d275,"{""LE07"": 6}","blue,green,red,nir,swir1,swir2",EPSG:32632,"[30, 0, 762570, 0, -30, 444150]",946,1278,PASS
2010,projects/urban-sprawl-ssa/assets/sprawlgp/v2/landsat/composite_2010,projects/urban-sprawl-ssa/assets/sprawlgp/v2/landsat/valid_count_2010,12,75b633c152619482506f5ad2b979085c6c7007b8d9a88e7221f112eeb2351522,"{""LE07"": 12}","blue,green,red,nir,swir1,swir2",EPSG:32632,"[30, 0, 762570, 0, -30, 444150]",946,1278,PASS
2015,projects/urban-sprawl-ssa/assets/sprawlgp/v2/landsat/composite_2015,projects/urban-sprawl-ssa/assets/sprawlgp/v2/landsat/valid_count_2015,16,53fb8c303f680c4df664bc81ea93d2a33cfb6084787ed69d1e1d999ccfc581df,"{""LC08"": 7, ""LE07"": 9}","blue,green,red,nir,swir1,swir2",EPSG:32632,"[30, 0, 762570, 0, -30, 444150]",946,1278,PASS
2020,projects/urban-sprawl-ssa/assets/sprawlgp/v2/landsat/composite_2020,projects/urban-sprawl-ssa/assets/sprawlgp/v2/landsat/valid_count_2020,12,1772d1782b52ea6a3cc3939c03b83a9847f6a3c6096c13ee2a9199febb271a04,"{""LC08"": 12}","blue,green,red,nir,swir1,swir2",EPSG:32632,"[30, 0, 762570, 0, -30, 444150]",946,1278,PASS
2025,projects/urban-sprawl-ssa/assets/sprawlgp/v2/landsat/composite_2025,projects/urban-sprawl-ssa/assets/sprawlgp/v2/landsat/valid_count_2025,19,3e9d016e76c8fb47fbc84ddae4045e314f03b7b94e2805993758e167792fb32b,"{""LC08"": 10, ""LC09"": 9}","blue,green,red,nir,swir1,swir2",EPSG:32632,"[30, 0, 762570, 0, -30, 444150]",946,1278,PASS
