epoch,minimum_observation_count,maximum_observation_count,mean_observation_count,median_observation_count,covered_grid_pct,selected_scene_count
2000,0.0,6.0,1.4938353399702893,1.0,89.58988836508904,6
2005,0.0,5.0,1.7449486678114257,2.0,90.05309915160551,6
2010,0.0,10.0,3.1699686018388933,3.0,98.65076011807517,12
2015,0.0,13.0,3.7377103825679,4.0,96.72509924827314,16
2020,2.0,12.0,6.466802813592857,6.0,99.89027450457924,12
2025,1.0,18.0,7.879031884518291,7.0,99.89027450457924,19
