run,iteration,minibatch_elbo,spatial_lengthscale_x_km,spatial_lengthscale_y_km,temporal_lengthscale_steps,kernel_variance
fold_1,1,-195116.78125,2.0,2.0,1.0,0.9993680119514465
fold_1,100,-151100.828125,2.11071515083313,2.1102967262268066,1.0,0.9429453611373901
fold_1,200,-125655.796875,2.2249767780303955,2.233980178833008,1.0,0.9031310081481934
fold_1,300,-105982.3203125,2.3281424045562744,2.336087465286255,1.0,0.8681161403656006
fold_1,400,-97699.40625,2.419740676879883,2.4363181591033936,1.0,0.8509738445281982
fold_1,500,-73879.1796875,2.5109987258911133,2.5250654220581055,1.0,0.8296980857849121
fold_1,600,-85078.7109375,2.584263801574707,2.606397867202759,1.0,0.8225937485694885
fold_1,700,-61748.09765625,2.661090135574341,2.680659294128418,1.0,0.8077589273452759
fold_1,800,-75326.1640625,2.722393751144409,2.7486019134521484,1.0,0.8051810264587402
fold_1,900,-42764.69921875,2.7867367267608643,2.8106048107147217,1.0,0.7928785085678101
fold_1,1000,-70638.0859375,2.8404958248138428,2.869145393371582,1.0,0.7922045588493347
fold_2,1,-361979.375,2.0,2.0,1.0,0.9993680119514465
fold_2,100,-263868.03125,2.114579200744629,2.1097137928009033,1.0514622926712036,0.9430898427963257
fold_2,200,-210171.59375,2.2269341945648193,2.2276196479797363,1.1702150106430054,0.9045666456222534
fold_2,300,-155544.921875,2.3450303077697754,2.342681646347046,1.3139193058013916,0.8769100308418274
fold_2,400,-181923.5,2.4254257678985596,2.4312548637390137,1.370157241821289,0.856684684753418
fold_2,500,-108895.5390625,2.50274920463562,2.504713773727417,1.3702200651168823,0.8286460638046265
fold_2,600,-199053.671875,2.573439836502075,2.573711395263672,1.4094805717468262,0.8174375891685486
fold_2,700,-95355.4921875,2.640190839767456,2.637946605682373,1.4669190645217896,0.8122982382774353
fold_2,800,-162239.625,2.7024009227752686,2.7031972408294678,1.4744536876678467,0.7917948961257935
fold_2,900,-127217.078125,2.7554917335510254,2.7492752075195312,1.4815220832824707,0.7804570198059082
fold_2,1000,-112279.21875,2.809926748275757,2.797327995300293,1.5140713453292847,0.7677618265151978
fold_3,1,-500346.03125,2.0,2.0,1.0,0.9993680119514465
fold_3,100,-354404.40625,2.111931085586548,2.113781690597534,1.0533438920974731,0.9429318904876709
fold_3,200,-274440.5625,2.2305943965911865,2.230823516845703,1.172102928161621,0.9051749110221863
fold_3,300,-204647.125,2.340413808822632,2.3456201553344727,1.319809079170227,0.8762791752815247
fold_3,400,-239683.671875,2.4543161392211914,2.4641246795654297,1.4723694324493408,0.8651977181434631
fold_3,500,-256108.78125,2.553694725036621,2.5605294704437256,1.5738531351089478,0.8689383268356323
fold_3,600,-191113.46875,2.606776714324951,2.6109189987182617,1.575799584388733,0.8261914253234863
fold_3,700,-196729.953125,2.6515626907348633,2.657351493835449,1.5807232856750488,0.8074273467063904
fold_3,800,-136308.234375,2.692646026611328,2.7045669555664062,1.5959820747375488,0.7879722714424133
fold_3,900,-150284.8125,2.7646617889404297,2.7836010456085205,1.6484533548355103,0.7979183197021484
fold_3,1000,-180345.96875,2.820810556411743,2.837585210800171,1.6896733045578003,0.8039153218269348
final_fit,1,-626484.125,2.0,2.0,1.0,0.9993680119514465
final_fit,100,-453169.6875,2.1104395389556885,2.109708070755005,1.0522799491882324,0.9431286454200745
final_fit,200,-345878.09375,2.2116634845733643,2.222928524017334,1.1710680723190308,0.9023241996765137
final_fit,300,-273401.15625,2.3333206176757812,2.340548276901245,1.3141573667526245,0.8732564449310303
final_fit,400,-300165.1875,2.4559030532836914,2.4664275646209717,1.473272681236267,0.8605870008468628
final_fit,500,-361886.96875,2.541419506072998,2.559215545654297,1.5722050666809082,0.8500656485557556
final_fit,600,-296717.25,2.584329128265381,2.5922956466674805,1.5410743951797485,0.8099807500839233
final_fit,700,-327188.46875,2.6435201168060303,2.6506409645080566,1.5387502908706665,0.7760844230651855
final_fit,800,-230629.140625,2.6940419673919678,2.708228588104248,1.5409772396087646,0.7569565176963806
final_fit,900,-227336.640625,2.7468414306640625,2.7540719509124756,1.5545754432678223,0.7397068738937378
final_fit,1000,-248069.015625,2.816777229309082,2.8251802921295166,1.6009684801101685,0.7481099367141724
final_fit,1100,-285622.8125,2.8886969089508057,2.8917245864868164,1.6424734592437744,0.7588487863540649
final_fit,1200,-288673.4375,2.916982650756836,2.901620626449585,1.4921059608459473,0.7347652912139893
