fold,validation_origin,validation_target_year,temporal_lengthscale_steps,temporal_lengthscale_years,spatial_lengthscale_x_km,spatial_lengthscale_y_km,kernel_variance,mean_latent_variance,median_latent_variance,natural_gradient_gamma,minimum_natural_gradient_gamma,minimum_site_precision_eigenvalue
1,2010,2011,3.943983637893668,3.943983637893668,3.2599520225811687,3.261146171601842,0.6546666972247603,0.10359199557766068,0.09654504488307716,0.01,0.01,2.2069542359917715
2,2015,2016,3.862759631840035,3.862759631840035,3.288722377900505,3.242854097182416,0.6580939032603219,0.10857761017773507,0.10140394640545869,0.01,0.01,2.4662817603990925
3,2018,2019,3.7824861963655,3.7824861963655,3.3130520419326484,3.2608747991885014,0.6715635809373156,0.12187209589895495,0.11073328688627926,0.01,0.01,2.2841225211651635
