fold,iteration,elbo_stochastic,natural_gradient_gamma,minimum_site_precision_eigenvalue,gradient_global_norm,spatial_lengthscale_x_km,spatial_lengthscale_y_km,temporal_lengthscale_steps,kernel_variance,linear_intercept,elapsed_seconds
3,50,-162354.3286689981,0.01,31.401073427516447,73432.00257975893,2.1077694710978667,2.106665724260608,0.9896756979703524,0.947907619868925,-0.038806265290204714,9.110546374926344
3,100,-155402.2920297491,0.01,51.78564975305702,55040.85686738554,2.2271142623518467,2.2246004837428077,0.9887737389789921,0.8966749036883019,-0.07487843967437142,18.339460167102516
3,150,-161112.0991180125,0.01,51.86950250719771,49384.23580370547,2.3513353198826357,2.348225260206429,0.9794977474520072,0.849213157478246,-0.11363117517090648,27.20298008294776
3,200,-150696.36699900375,0.01,49.271784674226815,27472.579506011512,2.4814178095563078,2.477652604851085,0.9712146080877591,0.805025325427881,-0.13902415518923725,36.90321179199964
3,250,-128934.6431626864,0.01,43.607965702700824,42975.24568348382,2.6116981046388883,2.6089919540319104,0.9546244918923765,0.7649247308406505,-0.169426521789037,46.07774862507358
3,300,-170264.26517884436,0.01,39.78795090428122,45406.44262837111,2.729414602676179,2.7358969954696137,0.935068760674869,0.7307994692224569,-0.20264157657410511,55.24115475011058
3,350,-123475.70399904544,0.01,37.209542007536264,31588.003021140215,2.851543385255116,2.8493949159513097,0.8956210157975282,0.7008272769779292,-0.216810921147654,64.57704129209742
3,400,-145605.16592561456,0.01,29.755137045138465,35357.48267948904,2.9714905048866074,2.969474912480484,0.8798481824222778,0.6728000270424022,-0.23276302725349024,74.35382433305494
3,450,-138284.83233072908,0.01,23.116226353773104,14549.431476328833,3.085622684132756,3.075155699624271,0.8618099107883579,0.6495567877369797,-0.23934958037638804,83.57963054208085
3,500,-141566.77177344117,0.01,17.62276760100433,23246.45589374618,3.2039828260839145,3.1757438037037744,0.8414968074949981,0.6278716811865497,-0.25424204397562455,92.97017062501982
3,550,-151255.75364262055,0.01,14.366838927135564,15119.861197182665,3.3029333286500298,3.270011665258037,0.8035475739239089,0.6095745896094295,-0.2680172356401063,101.94887329195626
3,600,-147668.21599164343,0.01,11.594902806263455,39877.87141998124,3.409043964059339,3.3586579639629477,0.7731372500531194,0.5922188083336958,-0.26576407757846215,111.98916162503883
3,650,-121197.27400288805,0.01,9.36558460039545,48420.142663988576,3.517823048928979,3.454892191818815,0.7412411442827097,0.5749719977421969,-0.2809865659167882,121.14340141694993
3,700,-136256.4774482061,0.01,17.234434824620386,25674.04493657601,3.6064223234187507,3.5296086540257012,0.7122397096239395,0.5619070428251319,-0.2858596973788571,131.14716558298096
3,750,-136625.56995371328,0.01,27.64941977688378,50305.79032553516,3.687008286304554,3.6119186965322703,0.6944282707943402,0.5497740240148651,-0.29145739966179945,140.3114612500649
3,800,-143455.4505386301,0.01,27.74682809420731,28299.883558677113,3.782823992430614,3.680182962290224,0.6763342817294349,0.5380402384488442,-0.2961845587867747,149.55213783308864
3,850,-137027.18928481737,0.01,23.426955130108826,25902.48499662615,3.865938360137573,3.747681648581331,0.6555860392267674,0.527201670045861,-0.29170936614800463,158.98373120790347
3,900,-147678.80013484968,0.01,19.87348552986048,16926.020060483486,3.9527647185527046,3.8078077278202866,0.6359472295573075,0.5168517577384517,-0.29311506319554176,168.1489709999878
3,950,-144693.44801141284,0.01,17.63892947079632,36965.73727425249,4.0536819421648,3.8541314819870403,0.625858741251978,0.5073462884063836,-0.29272068761336184,177.28840508288704
3,999,-134503.5097545861,0.01,14.647772031436661,24967.27464649155,4.128920600528876,3.9240888142018524,0.6173148715831511,0.4983018899841518,-0.30032301402129885,186.851049042074
